year,Date,lat,lon,block,exclusion,water,unique.plot,tag,canopy,species,abundance
2014,October ,-32.39824503,118.387495,bb1,c,d,bb1cd,399,0.37986,Waitzia.acuminata,36
2014,October ,-32.39824503,118.387495,bb1,c,d,bb1cd,399,0.37986,Gonocarpus.nodulosus,32
2014,October ,-32.39824503,118.387495,bb1,c,d,bb1cd,399,0.37986,Phyllangium.sulcatum,200
2014,October ,-32.39824503,118.387495,bb1,c,d,bb1cd,399,0.37986,Rhodanthe.laevis,5
2014,October ,-32.39824503,118.387495,bb1,c,d,bb1cd,399,0.37986,Lawrencella.rosea,3
2014,October ,-32.39824503,118.387495,bb1,c,d,bb1cd,399,0.37986,Hypochaeris.glabra,6
2014,October ,-32.39824503,118.387495,bb1,c,d,bb1cd,399,0.37986,Nicotiana.rotundifolia,10
2014,October ,-32.39824503,118.387495,bb1,c,d,bb1cd,399,0.37986,Ceratogyne.obionoides,7
2014,October ,-32.39824503,118.387495,bb1,c,d,bb1cd,399,0.37986,Trachymene.cyanopetala,116
2014,October ,-32.39824503,118.387495,bb1,c,d,bb1cd,399,0.37986,Lobelia.sp,6
2014,October ,-32.39824503,118.387495,bb1,c,w,bb1cw,285,0.34813,Ursinia.anthemoides,17
2014,October ,-32.39824503,118.387495,bb1,c,w,bb1cw,285,0.34813,Goodenia.berardiana,1
2014,October ,-32.39824503,118.387495,bb1,c,w,bb1cw,285,0.34813,Lawrencella.rosea,4
2014,October ,-32.39824503,118.387495,bb1,c,w,bb1cw,285,0.34813,Waitzia.acuminata,9
2014,October ,-32.39824503,118.387495,bb1,c,w,bb1cw,285,0.34813,Podotheca.gnaphalioides,1
2014,October ,-32.39824503,118.387495,bb1,c,w,bb1cw,285,0.34813,Trachymene.cyanopetala,80
2014,October ,-32.39824503,118.387495,bb1,c,w,bb1cw,285,0.34813,Gonocarpus.nodulosus,120
2014,October ,-32.39824503,118.387495,bb1,c,w,bb1cw,285,0.34813,Ceratogyne.obionoides,8
2014,October ,-32.39824503,118.387495,bb1,c,w,bb1cw,285,0.34813,Hypochaeris.glabra,5
2014,October ,-32.39824503,118.387495,bb1,c,w,bb1cw,285,0.34813,Pentaschistis.airoides,2
2014,October ,-32.39824503,118.387495,bb1,c,w,bb1cw,285,0.34813,Phyllangium.sulcatum,3
2014,October ,-32.39824503,118.387495,bb1,c,w,bb1cw,285,0.34813,Lobelia.sp,1
2014,October ,-32.39824503,118.387495,bb1,k,d,bb1kd,333,NA,Waitzia.acuminata,50
2014,October ,-32.39824503,118.387495,bb1,k,d,bb1kd,333,NA,Hypochaeris.glabra,3
2014,October ,-32.39824503,118.387495,bb1,k,d,bb1kd,333,NA,Ursinia.anthemoides,1
2014,October ,-32.39824503,118.387495,bb1,k,d,bb1kd,333,NA,Gonocarpus.nodulosus,20
2014,October ,-32.39824503,118.387495,bb1,k,d,bb1kd,333,NA,Hyalosperma.glutinosum.subsp.glutinosum,20
2014,October ,-32.39824503,118.387495,bb1,k,d,bb1kd,333,NA,Trachymene.cyanopetala,10
2014,October ,-32.39824503,118.387495,bb1,k,w,bb1kw,436,NA,Trachymene.ornata,150
2014,October ,-32.39824503,118.387495,bb1,k,w,bb1kw,436,NA,Ursinia.anthemoides,1
2014,October ,-32.39824503,118.387495,bb1,k,w,bb1kw,436,NA,Waitzia.acuminata,15
2014,October ,-32.39824503,118.387495,bb1,k,w,bb1kw,436,NA,Lawrencella.rosea,3
2014,October ,-32.39824503,118.387495,bb1,k,w,bb1kw,436,NA,Hypochaeris.glabra,3
2014,October ,-32.39824503,118.387495,bb1,k,w,bb1kw,436,NA,Rhodanthe.laevis,40
2014,October ,-32.39824503,118.387495,bb1,k,w,bb1kw,436,NA,Gonocarpus.nodulosus,50
2014,October ,-32.39824503,118.387495,bb1,o,d,bb1od,218,0.40063,Waitzia.acuminata,17
2014,October ,-32.39824503,118.387495,bb1,o,d,bb1od,218,0.40063,Gonocarpus.nodulosus,80
2014,October ,-32.39824503,118.387495,bb1,o,d,bb1od,218,0.40063,Phyllangium.sulcatum,100
2014,October ,-32.39824503,118.387495,bb1,o,d,bb1od,218,0.40063,Nicotiana.rotundifolia,1
2014,October ,-32.39824503,118.387495,bb1,o,d,bb1od,218,0.40063,Hypochaeris.glabra,5
2014,October ,-32.39824503,118.387495,bb1,o,d,bb1od,218,0.40063,Rhodanthe.laevis,26
2014,October ,-32.39824503,118.387495,bb1,o,d,bb1od,218,0.40063,Trachymene.cyanopetala,23
2014,October ,-32.39824503,118.387495,bb1,o,d,bb1od,218,0.40063,Lobelia.sp,2
2014,October ,-32.39824503,118.387495,bb1,o,w,bb1ow,416,0.28781,Lawrencella.rosea,4
2014,October ,-32.39824503,118.387495,bb1,o,w,bb1ow,416,0.28781,Waitzia.acuminata,31
2014,October ,-32.39824503,118.387495,bb1,o,w,bb1ow,416,0.28781,Trachymene.cyanopetala,120
2014,October ,-32.39824503,118.387495,bb1,o,w,bb1ow,416,0.28781,Hypochaeris.glabra,14
2014,October ,-32.39824503,118.387495,bb1,o,w,bb1ow,416,0.28781,Lobelia.sp,1
2014,October ,-32.39824503,118.387495,bb1,o,w,bb1ow,416,0.28781,Gonocarpus.nodulosus,80
2014,October ,-32.39824503,118.387495,bb1,o,w,bb1ow,416,0.28781,Rhodanthe.laevis,5
2014,October ,-32.39824503,118.387495,bb1,o,w,bb1ow,416,0.28781,Rhodanthe.citrina,7
2014,October ,-32.39849397,118.387509,bb2,c,d,bb2cd,461,0.12472,Waitzia.acuminata,95
2014,October ,-32.39849397,118.387509,bb2,c,d,bb2cd,461,0.12472,Ursinia.anthemoides,24
2014,October ,-32.39849397,118.387509,bb2,c,d,bb2cd,461,0.12472,Lawrencella.rosea,26
2014,October ,-32.39849397,118.387509,bb2,c,d,bb2cd,461,0.12472,Hypochaeris.glabra,14
2014,October ,-32.39849397,118.387509,bb2,c,d,bb2cd,461,0.12472,Gonocarpus.nodulosus,170
2014,October ,-32.39849397,118.387509,bb2,c,d,bb2cd,461,0.12472,Trachymene.cyanopetala,17
2014,October ,-32.39849397,118.387509,bb2,c,d,bb2cd,461,0.12472,Podotheca.gnaphalioides,10
2014,October ,-32.39849397,118.387509,bb2,c,d,bb2cd,461,0.12472,Ceratogyne.obionoides,1
2014,October ,-32.39849397,118.387509,bb2,c,w,bb2cw,317,0.16264,Lawrencella.rosea,5
2014,October ,-32.39849397,118.387509,bb2,c,w,bb2cw,317,0.16264,Waitzia.acuminata,90
2014,October ,-32.39849397,118.387509,bb2,c,w,bb2cw,317,0.16264,Gonocarpus.nodulosus,60
2014,October ,-32.39849397,118.387509,bb2,c,w,bb2cw,317,0.16264,Ursinia.anthemoides,2
2014,October ,-32.39849397,118.387509,bb2,c,w,bb2cw,317,0.16264,sedge,11
2014,October ,-32.39849397,118.387509,bb2,c,w,bb2cw,317,0.16264,Trachymene.cyanopetala,4
2014,October ,-32.39849397,118.387509,bb2,c,w,bb2cw,317,0.16264,Rhodanthe.laevis,1
2014,October ,-32.39849397,118.387509,bb2,c,w,bb2cw,317,0.16264,Hypochaeris.glabra,4
2014,October ,-32.39849397,118.387509,bb2,c,w,bb2cw,317,0.16264,Rhodanthe.citrina,2
2014,October ,-32.39849397,118.387509,bb2,c,w,bb2cw,317,0.16264,Lobelia.sp,2
2014,October ,-32.39849397,118.387509,bb2,k,d,bb2kd,324,NA,Waitzia.acuminata,60
2014,October ,-32.39849397,118.387509,bb2,k,d,bb2kd,324,NA,Gonocarpus.nodulosus,20
2014,October ,-32.39849397,118.387509,bb2,k,d,bb2kd,324,NA,Trachymene.ornata,10
