"","height_id","individual_id","height_mm","date_collected","Days_after_planting","notes"
"1",1,"DENS1_1",10,"2-Mar-12",10,NA
"2",2,"DENS1_2",17,"12-Mar-12",20,NA
"3",3,"DENS1_3",24,"22-Mar-12",30,NA
"4",4,"DENS1_4",56,"1-Apr-12",40,NA
"5",5,"DENS1_5",73,"21-Apr-12",60,NA
"6",6,"DENS1_6",111,"1-May-12",70,NA
"7",7,"DENS1_7",167,"11-May-12",80,NA
"8",8,"DENS1_8",245,"21-May-12",90,NA
"9",9,"DENS1_9",320,"31-May-12",100,NA
"10",10,"DENS1_10",335,"10-Jun-12",110,NA
"11",11,"DENS1_11",350,"20-Jun-12",120,NA
"12",12,"DENS1_12",8,"2-Mar-12",10,NA
"13",13,"DENS1_13",10,"12-Mar-12",20,NA
"14",14,"DENS1_14",16,"22-Mar-12",30,NA
"15",15,"DENS1_15",27,"1-Apr-12",40,NA
"16",16,"DENS1_16",70,"21-Apr-12",60,NA
"17",17,"DENS1_17",87,"1-May-12",70,NA
"18",18,"DENS1_18",140,"11-May-12",80,NA
"19",19,"DENS1_19",200,"21-May-12",90,NA
"20",20,"DENS1_20",275,"31-May-12",100,NA
"21",21,"DENS1_21",310,"10-Jun-12",110,NA
"22",22,"DENS1_22",325,"20-Jun-12",120,NA
"23",23,"DENS1_23",2,"2-Mar-12",10,NA
"24",24,"DENS1_24",1,"12-Mar-12",20,NA
"25",25,"DENS1_25",2,"22-Mar-12",30,NA
"26",26,"DENS1_26",0,"1-Apr-12",40,NA
"27",27,"DENS1_27",0,"21-Apr-12",60,NA
"28",28,"DENS1_28",0,"1-May-12",70,NA
"29",29,"DENS1_29",0,"11-May-12",80,NA
"30",30,"DENS1_30",0,"21-May-12",90,NA
"31",31,"DENS1_31",0,"31-May-12",100,NA
"32",32,"DENS1_32",0,"10-Jun-12",110,NA
"33",33,"DENS1_33",0,"20-Jun-12",120,NA
"34",34,"DENS1_34",9,"2-Mar-12",10,NA
"35",35,"DENS1_35",14,"12-Mar-12",20,NA
"36",36,"DENS1_36",25,"22-Mar-12",30,NA
"37",37,"DENS1_37",33,"1-Apr-12",40,NA
"38",38,"DENS1_38",56,"21-Apr-12",60,NA
"39",39,"DENS1_39",80,"1-May-12",70,NA
"40",40,"DENS1_40",130,"11-May-12",80,NA
"41",41,"DENS1_41",210,"21-May-12",90,NA
"42",42,"DENS1_42",275,"31-May-12",100,NA
"43",43,"DENS1_43",302,"10-Jun-12",110,NA
"44",44,"DENS1_44",310,"20-Jun-12",120,NA
"45",45,"DENS1_45",7,"2-Mar-12",10,NA
"46",46,"DENS1_46",10,"12-Mar-12",20,NA
"47",47,"DENS1_47",15,"22-Mar-12",30,NA
"48",48,"DENS1_48",45,"1-Apr-12",40,NA
"49",49,"DENS1_49",84,"21-Apr-12",60,NA
"50",50,"DENS1_50",110,"1-May-12",70,NA
"51",51,"DENS1_51",120,"11-May-12",80,NA
"52",52,"DENS1_52",125,"21-May-12",90,NA
"53",53,"DENS1_53",135,"31-May-12",100,NA
"54",54,"DENS1_54",167,"10-Jun-12",110,NA
"55",55,"DENS1_55",180,"20-Jun-12",120,NA
"56",56,"DENS1_56",6,"2-Mar-12",10,NA
"57",57,"DENS1_57",8,"12-Mar-12",20,NA
"58",58,"DENS1_58",25,"22-Mar-12",30,NA
"59",59,"DENS1_59",45,"1-Apr-12",40,NA
"60",60,"DENS1_60",65,"21-Apr-12",60,NA
"61",61,"DENS1_61",85,"1-May-12",70,NA
"62",62,"DENS1_62",115,"11-May-12",80,NA
"63",63,"DENS1_63",140,"21-May-12",90,NA
"64",64,"DENS1_64",175,"31-May-12",100,NA
"65",65,"DENS1_65",205,"10-Jun-12",110,NA
