"","individual_id","plot_id","species"
"1","DENS1_1","A1","W.nitida1"
"2","DENS1_2","A1","W.nitida1"
"3","DENS1_3","A1","W.nitida1"
"4","DENS1_4","A1","W.nitida1"
"5","DENS1_5","A1","W.nitida1"
"6","DENS1_6","A1","W.nitida1"
"7","DENS1_7","A1","W.nitida1"
"8","DENS1_8","A1","W.nitida1"
"9","DENS1_9","A1","W.nitida1"
"10","DENS1_10","A1","W.nitida1"
"11","DENS1_11","A1","W.nitida1"
"12","DENS1_12","A2","W.nitida1"
"13","DENS1_13","A2","W.nitida1"
"14","DENS1_14","A2","W.nitida1"
"15","DENS1_15","A2","W.nitida1"
"16","DENS1_16","A2","W.nitida1"
"17","DENS1_17","A2","W.nitida1"
"18","DENS1_18","A2","W.nitida1"
"19","DENS1_19","A2","W.nitida1"
"20","DENS1_20","A2","W.nitida1"
"21","DENS1_21","A2","W.nitida1"
"22","DENS1_22","A2","W.nitida1"
"23","DENS1_23","A3","W.nitida1"
"24","DENS1_24","A3","W.nitida1"
"25","DENS1_25","A3","W.nitida1"
"26","DENS1_26","A3","W.nitida1"
"27","DENS1_27","A3","W.nitida1"
"28","DENS1_28","A3","W.nitida1"
"29","DENS1_29","A3","W.nitida1"
"30","DENS1_30","A3","W.nitida1"
"31","DENS1_31","A3","W.nitida1"
"32","DENS1_32","A3","W.nitida1"
"33","DENS1_33","A3","W.nitida1"
"34","DENS1_34","A4","W.nitida1"
"35","DENS1_35","A4","W.nitida1"
"36","DENS1_36","A4","W.nitida1"
"37","DENS1_37","A4","W.nitida1"
"38","DENS1_38","A4","W.nitida1"
"39","DENS1_39","A4","W.nitida1"
"40","DENS1_40","A4","W.nitida1"
"41","DENS1_41","A4","W.nitida1"
"42","DENS1_42","A4","W.nitida1"
"43","DENS1_43","A4","W.nitida1"
"44","DENS1_44","A4","W.nitida1"
"45","DENS1_45","ACE-H-1","W.nitida1"
"46","DENS1_46","ACE-H-1","W.nitida1"
"47","DENS1_47","ACE-H-1","W.nitida1"
"48","DENS1_48","ACE-H-1","W.nitida1"
"49","DENS1_49","ACE-H-1","W.nitida1"
"50","DENS1_50","ACE-H-1","W.nitida1"
"51","DENS1_51","ACE-H-1","W.nitida1"
"52","DENS1_52","ACE-H-1","W.nitida1"
"53","DENS1_53","ACE-H-1","W.nitida1"
"54","DENS1_54","ACE-H-1","W.nitida1"
"55","DENS1_55","ACE-H-1","W.nitida1"
"56","DENS1_56","ACE-H-2","W.nitida1"
"57","DENS1_57","ACE-H-2","W.nitida1"
"58","DENS1_58","ACE-H-2","W.nitida1"
"59","DENS1_59","ACE-H-2","W.nitida1"
"60","DENS1_60","ACE-H-2","W.nitida1"
"61","DENS1_61","ACE-H-2","W.nitida1"
"62","DENS1_62","ACE-H-2","W.nitida1"
"63","DENS1_63","ACE-H-2","W.nitida1"
"64","DENS1_64","ACE-H-2","W.nitida1"
"65","DENS1_65","ACE-H-2","W.nitida1"
"66","DENS1_66","ACE-H-2","W.nitida1"
"67","DENS1_67","ACE-H-3","W.nitida1"
"68","DENS1_68","ACE-H-3","W.nitida1"
"69","DENS1_69","ACE-H-3","W.nitida1"
"70","DENS1_70","ACE-H-3","W.nitida1"
"71","DENS1_71","ACE-H-3","W.nitida1"
"72","DENS1_72","ACE-H-3","W.nitida1"
"73","DENS1_73","ACE-H-3","W.nitida1"
"74","DENS1_74","ACE-H-3","W.nitida1"
"75","DENS1_75","ACE-H-3","W.nitida1"
"76","DENS1_76","ACE-H-3","W.nitida1"
"77","DENS1_77","ACE-H-3","W.nitida1"
"78","DENS1_78","ACE-L-1","W.nitida1"
"79","DENS1_79","ACE-L-1","W.nitida1"
"80","DENS1_80","ACE-L-1","W.nitida1"
"81","DENS1_81","ACE-L-1","W.nitida1"
"82","DENS1_82","ACE-L-1","W.nitida1"
"83","DENS1_83","ACE-L-1","W.nitida1"
"84","DENS1_84","ACE-L-1","W.nitida1"
"85","DENS1_85","ACE-L-1","W.nitida1"
"86","DENS1_86","ACE-L-1","W.nitida1"
"87","DENS1_87","ACE-L-1","W.nitida1"
"88","DENS1_88","ACE-L-1","W.nitida1"
"89","DENS1_89","ACE-L-2","W.nitida1"
"90","DENS1_90","ACE-L-2","W.nitida1"
"91","DENS1_91","ACE-L-2","W.nitida1"
"92","DENS1_92","ACE-L-2","W.nitida1"
"93","DENS1_93","ACE-L-2","W.nitida1"
"94","DENS1_94","ACE-L-2","W.nitida1"
"95","DENS1_95","ACE-L-2","W.nitida1"
"96","DENS1_96","ACE-L-2","W.nitida1"
"97","DENS1_97","ACE-L-2","W.nitida1"
"98","DENS1_98","ACE-L-2","W.nitida1"
"99","DENS1_99","ACE-L-2","W.nitida1"
"100","DENS1_100","ACE-L-3","W.nitida1"
"101","DENS1_101","ACE-L-3","W.nitida1"
"102","DENS1_102","ACE-L-3","W.nitida1"
"103","DENS1_103","ACE-L-3","W.nitida1"
"104","DENS1_104","ACE-L-3","W.nitida1"
"105","DENS1_105","ACE-L-3","W.nitida1"
"106","DENS1_106","ACE-L-3","W.nitida1"
"107","DENS1_107","ACE-L-3","W.nitida1"
"108","DENS1_108","ACE-L-3","W.nitida1"
"109","DENS1_109","ACE-L-3","W.nitida1"
"110","DENS1_110","ACE-L-3","W.nitida1"
"111","DENS1_111","ACE-M-1","W.nitida1"
"112","DENS1_112","ACE-M-1","W.nitida1"
"113","DENS1_113","ACE-M-1","W.nitida1"
"114","DENS1_114","ACE-M-1","W.nitida1"
"115","DENS1_115","ACE-M-1","W.nitida1"
"116","DENS1_116","ACE-M-1","W.nitida1"
"117","DENS1_117","ACE-M-1","W.nitida1"
"118","DENS1_118","ACE-M-1","W.nitida1"
"119","DENS1_119","ACE-M-1","W.nitida1"
"120","DENS1_120","ACE-M-1","W.nitida1"
"121","DENS1_121","ACE-M-1","W.nitida1"
"122","DENS1_122","ACE-M-2","W.nitida1"
"123","DENS1_123","ACE-M-2","W.nitida1"
"124","DENS1_124","ACE-M-2","W.nitida1"
"125","DENS1_125","ACE-M-2","W.nitida1"
"126","DENS1_126","ACE-M-2","W.nitida1"
"127","DENS1_127","ACE-M-2","W.nitida1"
"128","DENS1_128","ACE-M-2","W.nitida1"
"129","DENS1_129","ACE-M-2","W.nitida1"
"130","DENS1_130","ACE-M-2","W.nitida1"
"131","DENS1_131","ACE-M-2","W.nitida1"
"132","DENS1_132","ACE-M-2","W.nitida1"
"133","DENS1_133","ACE-M-3","W.nitida1"
"134","DENS1_134","ACE-M-3","W.nitida1"
"135","DENS1_135","ACE-M-3","W.nitida1"
"136","DENS1_136","ACE-M-3","W.nitida1"
"137","DENS1_137","ACE-M-3","W.nitida1"
"138","DENS1_138","ACE-M-3","W.nitida1"
"139","DENS1_139","ACE-M-3","W.nitida1"
"140","DENS1_140","ACE-M-3","W.nitida1"
"141","DENS1_141","ACE-M-3","W.nitida1"
"142","DENS1_142","ACE-M-3","W.nitida1"
"143","DENS1_143","ACE-M-3","W.nitida1"
"144","DENS1_144","AC-H-1","W.nitida1"
"145","DENS1_145","AC-H-1","W.nitida1"
"146","DENS1_146","AC-H-1","W.nitida1"
"147","DENS1_147","AC-H-1","W.nitida1"
"148","DENS1_148","AC-H-1","W.nitida1"
"149","DENS1_149","AC-H-1","W.nitida1"
"150","DENS1_150","AC-H-1","W.nitida1"
"151","DENS1_151","AC-H-1","W.nitida1"
"152","DENS1_152","AC-H-1","W.nitida1"
"153","DENS1_153","AC-H-1","W.nitida1"
"154","DENS1_154","AC-H-1","W.nitida1"
"155","DENS1_155","AC-H-2","W.nitida1"
"156","DENS1_156","AC-H-2","W.nitida1"
"157","DENS1_157","AC-H-2","W.nitida1"
"158","DENS1_158","AC-H-2","W.nitida1"
"159","DENS1_159","AC-H-2","W.nitida1"
"160","DENS1_160","AC-H-2","W.nitida1"
"161","DENS1_161","AC-H-2","W.nitida1"
"162","DENS1_162","AC-H-2","W.nitida1"
"163","DENS1_163","AC-H-2","W.nitida1"
"164","DENS1_164","AC-H-2","W.nitida1"
"165","DENS1_165","AC-H-2","W.nitida1"
"166","DENS1_166","AC-H-3","W.nitida1"
"167","DENS1_167","AC-H-3","W.nitida1"
"168","DENS1_168","AC-H-3","W.nitida1"
"169","DENS1_169","AC-H-3","W.nitida1"
"170","DENS1_170","AC-H-3","W.nitida1"
"171","DENS1_171","AC-H-3","W.nitida1"
"172","DENS1_172","AC-H-3","W.nitida1"
"173","DENS1_173","AC-H-3","W.nitida1"
"174","DENS1_174","AC-H-3","W.nitida1"
"175","DENS1_175","AC-H-3","W.nitida1"
"176","DENS1_176","AC-H-3","W.nitida1"
"177","DENS1_177","AC-L-1","W.nitida1"
"178","DENS1_178","AC-L-1","W.nitida1"
"179","DENS1_179","AC-L-1","W.nitida1"
"180","DENS1_180","AC-L-1","W.nitida1"
"181","DENS1_181","AC-L-1","W.nitida1"
"182","DENS1_182","AC-L-1","W.nitida1"
"183","DENS1_183","AC-L-1","W.nitida1"
"184","DENS1_184","AC-L-1","W.nitida1"
"185","DENS1_185","AC-L-1","W.nitida1"
"186","DENS1_186","AC-L-1","W.nitida1"
"187","DENS1_187","AC-L-1","W.nitida1"
"188","DENS1_188","AC-L-2","W.nitida1"
"189","DENS1_189","AC-L-2","W.nitida1"
"190","DENS1_190","AC-L-2","W.nitida1"
"191","DENS1_191","AC-L-2","W.nitida1"
"192","DENS1_192","AC-L-2","W.nitida1"
"193","DENS1_193","AC-L-2","W.nitida1"
"194","DENS1_194","AC-L-2","W.nitida1"
"195","DENS1_195","AC-L-2","W.nitida1"
"196","DENS1_196","AC-L-2","W.nitida1"
"197","DENS1_197","AC-L-2","W.nitida1"
"198","DENS1_198","AC-L-2","W.nitida1"
"199","DENS1_199","AC-L-3","W.nitida1"
"200","DENS1_200","AC-L-3","W.nitida1"
"201","DENS1_201","AC-L-3","W.nitida1"
"202","DENS1_202","AC-L-3","W.nitida1"
"203","DENS1_203","AC-L-3","W.nitida1"
"204","DENS1_204","AC-L-3","W.nitida1"
"205","DENS1_205","AC-L-3","W.nitida1"
"206","DENS1_206","AC-L-3","W.nitida1"
"207","DENS1_207","AC-L-3","W.nitida1"
"208","DENS1_208","AC-L-3","W.nitida1"
"209","DENS1_209","AC-L-3","W.nitida1"
"210","DENS1_210","AC-M-1","W.nitida1"
"211","DENS1_211","AC-M-1","W.nitida1"
"212","DENS1_212","AC-M-1","W.nitida1"
"213","DENS1_213","AC-M-1","W.nitida1"
"214","DENS1_214","AC-M-1","W.nitida1"
"215","DENS1_215","AC-M-1","W.nitida1"
"216","DENS1_216","AC-M-1","W.nitida1"
