Pot_num,Pot_ID_let,Density,Species_combo_ID,Replicate,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,minWnit,maxWnit,rangeWnit,,mean.Wnit,mean.Brubens,range.Wnit,range.Brubens,,,,,,,,,,,,,,
1,A1,control,A,1,350,,,,,,,,,,,,,,,,,,,,350,350,0,,,,,,,,,,,,,,,,,,10-Jun-12,110
2,A2,control,A,2,325,,,,,,,,,,,,,,,,,,,,325,325,0,,,,,,,,,,,,,,,,,,10-Jun-12,110
3,A3,control,A,3,0,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,10-Jun-12,110
4,A4,control,A,4,310,,,,,,,,,,,,,,,,,,,,310,310,0,,,,,,,,,,,,,,,,,,10-Jun-12,110
25,A-H-1,high,A,1,275,135,,,,,,,,,,,,,,,,,,,135,275,140,,,,,,,,,,,,,,,,,,10-Jun-12,110
26,A-H-2,high,A,2,175,100,265,80,85,90,65,175,165,180,160,155,130,95,,,,,,,65,265,200,,,,,,,,,,,,,,,,,,10-Jun-12,110
27,A-H-3,high,A,3,200,85,215,190,135,,,,,,,,,,,,,,,,85,215,130,,,,,,,,,,,,,,,,,,10-Jun-12,110
76,A-L-1,low,A,1,40,80,25,270,70,250,190,170,205,240,,,,,,,,,,,25,270,245,,,,,,,,,,,,,,,,,,10-Jun-12,110
77,A-L-2,low,A,2,174,145,120,135,305,145,260,255,225,165,105,185,,,,,,,,,105,305,200,,,,,,,,,,,,,,,,,,10-Jun-12,110
78,A-L-3,low,A,3,255,,,,,,,,,,,,,,,,,,,,255,255,0,,,,,,,,,,,,,,,,,,10-Jun-12,110
127,A-M-1,medium,A,1,200,275,85,250,150,180,120,65,,,,,,,,,,,,,65,275,210,,,,,,,,,,,,,,,,,,10-Jun-12,110
128,A-M-2,medium,A,2,290,145,185,160,140,90,,,,,,,,,,,,,,,90,290,200,,,,,,,,,,,,,,,,,,10-Jun-12,110
129,A-M-3,medium,A,3,260,210,90,250,130,65,50,20,30,55,255,,,,,,,,,,20,260,240,,,,,,,,,,,,,,,,,,10-Jun-12,110
55,AC-H-1,high,AC,1,310,220,270,20,25,88,46,53,165,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
56,AC-H-2,high,AC,2,55,56,145,75,190,200,215,235,250,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
57,AC-H-3,high,AC,3,gber,50,w acu,140,245,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
106,AC-L-1,low,AC,1,150,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
107,AC-L-2,low,AC,2,130,155,55,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
108,AC-L-3,low,AC,3,110,45,70,85,182,41,165,66,190,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
157,AC-M-1,medium,AC,1,235,150,25,195,40,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
158,AC-M-2,medium,AC,2,g ber,80,w acu,210,24,110,115,220,230,205,55,32,170,26,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
159,AC-M-3,medium,AC,3,84,97,205,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
73,ACE-H-1,high,ACE,1,,,w acu,180,205,175,pair,100,60,60,45,70,70,50,45,55,45,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
74,ACE-H-2,high,ACE,2,p air,90,75,90,87,85,90,69,68,45,38,w acu,230,120,150,160,115,140,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
75,ACE-H-3,high,ACE,3,90,215,50,45,100,200,195,230,240,85,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
124,ACE-L-1,low,ACE,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
125,ACE-L-2,low,ACE,2,W. acu:,155,300,230,170,,p. air:,42,100,70,55,70,50,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
126,ACE-L-3,low,ACE,3,w acu,75,130,165,125,125,135,p air,100,100,75,62,80,105,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
175,ACE-M-1,medium,ACE,1,p air,55,90,88,w acu,230,255,145,25,70,175,170,150,170,160,180,130,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
176,ACE-M-2,medium,ACE,2,w acu:,90,135,115,250,265,p air,95,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
177,ACE-M-3,medium,ACE,3,w acu:,215,115,255,255,215,p air,60,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
