Pot_ID_num,Pot_ID_let,Density,Number_species,Species_combo_ID,Replicate,W.nitida1,W.nitida2,W.nitida3,W.nitida4,W.nitida5,mean_W.nitida,R.spicata1,R.spicata2,R.spicata3,R.spicata4,R.spicata5,mean_R.spicata,G.berardiana1,G.berardiana2,G.berardiana3,G.berardiana4,G.berardiana5,mean_G.berardiana,H.glabra1,H.glabra2,H.glabra3,H.glabra4,H.glabra5,mean_H.glabra,P.airoides1,P.airoides2,P.airoides3,P.airoides4,P.airoides5,mean_P.airoides,B.rubens1,B.rubens2,B.rubens3,B.rubens4,B.rubens5,mean_B.rubens,Date,Days_after_planting
1,A1,control,1,A,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Mar-12,10
1,A1,control,1,A,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar-12,20
1,A1,control,1,A,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22-Mar-12,30
1,A1,control,1,A,1,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr-12,40
1,A1,control,1,A,1,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21-Apr-12,60
1,A1,control,1,A,1,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-May-12,70
1,A1,control,1,A,1,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-May-12,80
1,A1,control,1,A,1,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21-May-12,90
1,A1,control,1,A,1,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-May-12,100
1,A1,control,1,A,1,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
1,A1,control,1,A,1,350,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-Jun-12,120
2,A2,control,1,A,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Mar-12,10
2,A2,control,1,A,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar-12,20
2,A2,control,1,A,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22-Mar-12,30
2,A2,control,1,A,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr-12,40
2,A2,control,1,A,2,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21-Apr-12,60
2,A2,control,1,A,2,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-May-12,70
2,A2,control,1,A,2,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-May-12,80
2,A2,control,1,A,2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21-May-12,90
2,A2,control,1,A,2,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-May-12,100
2,A2,control,1,A,2,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-12,110
2,A2,control,1,A,2,325,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-Jun-12,120
3,A3,control,1,A,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Mar-12,10
3,A3,control,1,A,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar-12,20
