Pot.ID,Species.combo,Density,Density.bin.adjusted,Trtmnt.replicate,Species,Final.density,Starting.density,Competitor.ID,Conspecific.abundance,Rel.freq,Plant.rep.unique,Plant.replicate,Height,Biomass.plant,Biomass.sp,Finalcount.sp,Budding.binomial,Repro.count.sp,Number.flowers.plant,Mean.biomass.plant,Root.biomass.sp
Ac.L.5,Ac,L,control,5,A.cupaniana,1,1,Control,1,NA,Ac.L.5.1,1,,,,,,,,,
Wa.Ac.H.1,Wa.Ac,H,mix.high,1,A.cupaniana,8,10,W.acuminata,10,0.17,Wa.Ac.H.1.1,1,220,NA,0.115,8,NA,7,NA,0.014375,
Wa.Ac.H.1,Wa.Ac,H,mix.high,1,A.cupaniana,8,10,W.acuminata,10,0.17,Wa.Ac.H.1.2,2,140,NA,0.115,8,NA,7,NA,0.014375,
Wa.Ac.H.1,Wa.Ac,H,mix.high,1,A.cupaniana,8,10,W.acuminata,10,0.17,Wa.Ac.H.1.3,3,160,NA,0.115,8,NA,7,NA,0.014375,
Wa.Ac.H.1,Wa.Ac,H,mix.high,1,A.cupaniana,8,10,W.acuminata,10,0.17,Wa.Ac.H.1.4,4,140,NA,0.115,8,NA,7,NA,0.014375,
Wa.Ac.H.1,Wa.Ac,H,mix.high,1,A.cupaniana,8,10,W.acuminata,10,0.17,Wa.Ac.H.1.5,5,140,NA,0.115,8,NA,7,NA,0.014375,
Wa.Ac.H.2,Wa.Ac,H,mix.high,2,A.cupaniana,8,10,W.acuminata,10,0.17,Wa.Ac.H.2.1,1,60,0.002,0.304,8,0,2,NA,0.038,
Wa.Ac.H.2,Wa.Ac,H,mix.high,2,A.cupaniana,8,10,W.acuminata,10,0.17,Wa.Ac.H.2.2,2,220,0.0137,0.304,8,1,2,NA,0.038,
Wa.Ac.H.2,Wa.Ac,H,mix.high,2,A.cupaniana,8,10,W.acuminata,10,0.17,Wa.Ac.H.2.3,3,55,0.0011,0.304,8,0,2,NA,0.038,
Wa.Ac.H.2,Wa.Ac,H,mix.high,2,A.cupaniana,8,10,W.acuminata,10,0.17,Wa.Ac.H.2.4,4,140,0.0077,0.304,8,0,2,NA,0.038,
Wa.Ac.H.2,Wa.Ac,H,mix.high,2,A.cupaniana,8,10,W.acuminata,10,0.17,Wa.Ac.H.2.5,5,126,0.0056,0.304,8,0,2,NA,0.038,
Wa.Ac.H.2,Wa.Ac,H,mix.high,2,A.cupaniana,8,10,W.acuminata,10,0.17,Wa.Ac.H.2.6,6,153,0.0232,0.304,8,0,2,NA,0.038,
Wa.Ac.H.2,Wa.Ac,H,mix.high,2,A.cupaniana,8,10,W.acuminata,10,0.17,Wa.Ac.H.2.7,7,129,0.0087,0.304,8,0,2,NA,0.038,
Wa.Ac.H.2,Wa.Ac,H,mix.high,2,A.cupaniana,8,10,W.acuminata,10,0.17,Wa.Ac.H.2.8,8,170,0.242,0.304,8,1,2,NA,0.038,
Wa.Ac.H.4,Wa.Ac,H,mix.high,4,A.cupaniana,8,10,W.acuminata,10,0.17,Wa.Ac.H.4.1,1,140,NA,0.272,8,NA,3,NA,0.034,
Wa.Ac.H.4,Wa.Ac,H,mix.high,4,A.cupaniana,8,10,W.acuminata,10,0.17,Wa.Ac.H.4.2,2,130,NA,0.272,8,NA,3,NA,0.034,
Wa.Ac.H.4,Wa.Ac,H,mix.high,4,A.cupaniana,8,10,W.acuminata,10,0.17,Wa.Ac.H.4.3,3,85,NA,0.272,8,NA,3,NA,0.034,
Wa.Ac.H.4,Wa.Ac,H,mix.high,4,A.cupaniana,8,10,W.acuminata,10,0.17,Wa.Ac.H.4.4,4,65,NA,0.272,8,NA,3,NA,0.034,
Wa.Ac.H.4,Wa.Ac,H,mix.high,4,A.cupaniana,8,10,W.acuminata,10,0.17,Wa.Ac.H.4.5,5,80,NA,0.272,8,NA,3,NA,0.034,
Wa.Ac.H.5,Wa.Ac,H,mix.high,5,A.cupaniana,10,10,W.acuminata,10,0.17,Wa.Ac.H.5.1,1,210,NA,0.2207,10,NA,6,NA,0.02207,
Wa.Ac.H.5,Wa.Ac,H,mix.high,5,A.cupaniana,10,10,W.acuminata,10,0.17,Wa.Ac.H.5.2,2,250,NA,0.2207,10,NA,6,NA,0.02207,
Wa.Ac.H.5,Wa.Ac,H,mix.high,5,A.cupaniana,10,10,W.acuminata,10,0.17,Wa.Ac.H.5.3,3,250,NA,0.2207,10,NA,6,NA,0.02207,
Wa.Ac.H.5,Wa.Ac,H,mix.high,5,A.cupaniana,10,10,W.acuminata,10,0.17,Wa.Ac.H.5.4,4,260,NA,0.2207,10,NA,6,NA,0.02207,
Wa.Ac.H.5,Wa.Ac,H,mix.high,5,A.cupaniana,10,10,W.acuminata,10,0.17,Wa.Ac.H.5.5,5,185,NA,0.2207,10,NA,6,NA,0.02207,
Ac.4,Ac,60,mono.low,4,A.cupaniana,12,12,A.cupaniana,10,NA,Ac.4.1,1,230,NA,0.4255,12,NA,4,NA,0.0354583333,
Ac.4,Ac,60,mono.low,4,A.cupaniana,12,12,A.cupaniana,10,NA,Ac.4.2,2,165,NA,0.4255,12,NA,4,NA,0.0354583333,
Ac.4,Ac,60,mono.low,4,A.cupaniana,12,12,A.cupaniana,10,NA,Ac.4.3,3,190,NA,0.4255,12,NA,4,NA,0.0354583333,
Ac.4,Ac,60,mono.low,4,A.cupaniana,12,12,A.cupaniana,10,NA,Ac.4.4,4,180,NA,0.4255,12,NA,4,NA,0.0354583333,
Ac.4,Ac,60,mono.low,4,A.cupaniana,12,12,A.cupaniana,10,NA,Ac.4.5,5,150,NA,0.4255,12,NA,4,NA,0.0354583333,
Ac.L.1,Ac,L,mono.low,1,A.cupaniana,8,10,A.cupaniana,10,NA,Ac.L.1.1,1,202,NA,0.2227,8,NA,8,NA,0.0278375,0.07
Ac.L.1,Ac,L,mono.low,1,A.cupaniana,8,10,A.cupaniana,10,NA,Ac.L.1.2,2,220,NA,0.2227,8,NA,8,NA,0.0278375,0.07
Ac.L.1,Ac,L,mono.low,1,A.cupaniana,8,10,A.cupaniana,10,NA,Ac.L.1.3,3,150,NA,0.2227,8,NA,8,NA,0.0278375,0.07
Ac.L.1,Ac,L,mono.low,1,A.cupaniana,8,10,A.cupaniana,10,NA,Ac.L.1.4,4,155,NA,0.2227,8,NA,8,NA,0.0278375,0.07
Ac.L.1,Ac,L,mono.low,1,A.cupaniana,8,10,A.cupaniana,10,NA,Ac.L.1.5,5,165,NA,0.2227,8,NA,8,NA,0.0278375,0.07
Ac.L.2,Ac,L,mono.low,2,A.cupaniana,6,10,A.cupaniana,10,NA,Ac.L.2.1,1,55,NA,0.0088,6,NA,3,NA,0.0014666667,
Ac.L.2,Ac,L,mono.low,2,A.cupaniana,6,10,A.cupaniana,10,NA,Ac.L.2.2,2,60,NA,0.0088,6,NA,3,NA,0.0014666667,
Ac.L.2,Ac,L,mono.low,2,A.cupaniana,6,10,A.cupaniana,10,NA,Ac.L.2.3,3,75,NA,0.0088,6,NA,3,NA,0.0014666667,
Ac.L.2,Ac,L,mono.low,2,A.cupaniana,6,10,A.cupaniana,10,NA,Ac.L.2.4,4,72,NA,0.0088,6,NA,3,NA,0.0014666667,
Ac.L.2,Ac,L,mono.low,2,A.cupaniana,6,10,A.cupaniana,10,NA,Ac.L.2.5,5,53,NA,0.0088,6,NA,3,NA,0.0014666667,
Ac.L.3,Ac,L,mono.low,3,A.cupaniana,3,10,A.cupaniana,10,NA,Ac.L.3.1,1,145,NA,0.0366,3,NA,0,NA,0.0122,
Ac.L.3,Ac,L,mono.low,3,A.cupaniana,3,10,A.cupaniana,10,NA,Ac.L.3.2,2,145,NA,0.0366,3,NA,0,NA,0.0122,
Ac.L.3,Ac,L,mono.low,3,A.cupaniana,3,10,A.cupaniana,10,NA,Ac.L.3.3,3,167,NA,0.0366,3,NA,0,NA,0.0122,
Wa.Ac.H.3,Wa.Ac,H,mix.med,3,A.cupaniana,11,30,W.acuminata,30,0.5,Wa.Ac.H.3.1,1,220,NA,0.283,12,NA,11,NA,0.0235833333,
Wa.Ac.H.3,Wa.Ac,H,mix.med,3,A.cupaniana,11,30,W.acuminata,30,0.5,Wa.Ac.H.3.2,2,260,NA,0.283,12,NA,11,NA,0.0235833333,
Wa.Ac.H.3,Wa.Ac,H,mix.med,3,A.cupaniana,11,30,W.acuminata,30,0.5,Wa.Ac.H.3.3,3,250,NA,0.283,12,NA,11,NA,0.0235833333,
Wa.Ac.H.3,Wa.Ac,H,mix.med,3,A.cupaniana,11,30,W.acuminata,30,0.5,Wa.Ac.H.3.4,4,170,NA,0.283,12,NA,11,NA,0.0235833333,
Wa.Ac.H.3,Wa.Ac,H,mix.med,3,A.cupaniana,11,30,W.acuminata,30,0.5,Wa.Ac.H.3.5,5,185,NA,0.283,12,NA,11,NA,0.0235833333,
Wa.Ac.M.1,Wa.Ac,M,mix.med,1,A.cupaniana,29,30,W.acuminata,30,0.5,Wa.Ac.M.1.1,1,190,NA,0.6308,29,NA,14,NA,0.0217517241,
Wa.Ac.M.1,Wa.Ac,M,mix.med,1,A.cupaniana,29,30,W.acuminata,30,0.5,Wa.Ac.M.1.2,2,190,NA,0.6308,29,NA,14,NA,0.0217517241,
Wa.Ac.M.1,Wa.Ac,M,mix.med,1,A.cupaniana,29,30,W.acuminata,30,0.5,Wa.Ac.M.1.3,3,150,NA,0.6308,29,NA,14,NA,0.0217517241,
Wa.Ac.M.1,Wa.Ac,M,mix.med,1,A.cupaniana,29,30,W.acuminata,30,0.5,Wa.Ac.M.1.4,4,185,NA,0.6308,29,NA,14,NA,0.0217517241,
Wa.Ac.M.1,Wa.Ac,M,mix.med,1,A.cupaniana,29,30,W.acuminata,30,0.5,Wa.Ac.M.1.5,5,140,NA,0.6308,29,NA,14,NA,0.0217517241,
Wa.Ac.M.2,Wa.Ac,M,mix.med,2,A.cupaniana,27,30,W.acuminata,30,0.5,Wa.Ac.M.2.1,1,230,NA,0.4517,27,NA,17,NA,0.0167296296,
Wa.Ac.M.2,Wa.Ac,M,mix.med,2,A.cupaniana,27,30,W.acuminata,30,0.5,Wa.Ac.M.2.2,2,210,NA,0.4517,27,NA,17,NA,0.0167296296,
Wa.Ac.M.2,Wa.Ac,M,mix.med,2,A.cupaniana,27,30,W.acuminata,30,0.5,Wa.Ac.M.2.3,3,170,NA,0.4517,27,NA,17,NA,0.0167296296,
Wa.Ac.M.2,Wa.Ac,M,mix.med,2,A.cupaniana,27,30,W.acuminata,30,0.5,Wa.Ac.M.2.4,4,175,NA,0.4517,27,NA,17,NA,0.0167296296,
Wa.Ac.M.2,Wa.Ac,M,mix.med,2,A.cupaniana,27,30,W.acuminata,30,0.5,Wa.Ac.M.2.5,5,180,NA,0.4517,27,NA,17,NA,0.0167296296,
Wa.Ac.M.3,Wa.Ac,M,mix.med,3,A.cupaniana,30,30,W.acuminata,30,0.5,Wa.Ac.M.3.1,1,90,NA,1.0613,30,NA,14,NA,0.0353766667,
Wa.Ac.M.3,Wa.Ac,M,mix.med,3,A.cupaniana,30,30,W.acuminata,30,0.5,Wa.Ac.M.3.2,2,190,NA,1.0613,30,NA,14,NA,0.0353766667,
Wa.Ac.M.3,Wa.Ac,M,mix.med,3,A.cupaniana,30,30,W.acuminata,30,0.5,Wa.Ac.M.3.3,3,170,NA,1.0613,30,NA,14,NA,0.0353766667,
Wa.Ac.M.3,Wa.Ac,M,mix.med,3,A.cupaniana,30,30,W.acuminata,30,0.5,Wa.Ac.M.3.4,4,185,NA,1.0613,30,NA,14,NA,0.0353766667,
Wa.Ac.M.3,Wa.Ac,M,mix.med,3,A.cupaniana,30,30,W.acuminata,30,0.5,Wa.Ac.M.3.5,5,190,NA,1.0613,30,NA,14,NA,0.0353766667,
Wa.Ac.M.4,Wa.Ac,M,mix.med,4,A.cupaniana,12,30,W.acuminata,30,0.5,Wa.Ac.M.4.1,1,130,NA,0.413,12,NA,4,NA,0.0344166667,
Wa.Ac.M.4,Wa.Ac,M,mix.med,4,A.cupaniana,12,30,W.acuminata,30,0.5,Wa.Ac.M.4.2,2,140,NA,0.413,12,NA,4,NA,0.0344166667,
Wa.Ac.M.4,Wa.Ac,M,mix.med,4,A.cupaniana,12,30,W.acuminata,30,0.5,Wa.Ac.M.4.3,3,160,NA,0.413,12,NA,4,NA,0.0344166667,
Wa.Ac.M.4,Wa.Ac,M,mix.med,4,A.cupaniana,12,30,W.acuminata,30,0.5,Wa.Ac.M.4.4,4,185,NA,0.413,12,NA,4,NA,0.0344166667,
Wa.Ac.M.4,Wa.Ac,M,mix.med,4,A.cupaniana,12,30,W.acuminata,30,0.5,Wa.Ac.M.4.5,5,110,NA,0.413,12,NA,4,NA,0.0344166667,
Wa.Ac.M.5,Wa.Ac,M,mix.med,5,A.cupaniana,30,30,W.acuminata,30,0.5,Wa.Ac.M.5.1,1,190,NA,0.5711,30,NA,21,NA,0.0190366667,
Wa.Ac.M.5,Wa.Ac,M,mix.med,5,A.cupaniana,30,30,W.acuminata,30,0.5,Wa.Ac.M.5.2,2,210,NA,0.5711,30,NA,21,NA,0.0190366667,
Wa.Ac.M.5,Wa.Ac,M,mix.med,5,A.cupaniana,30,30,W.acuminata,30,0.5,Wa.Ac.M.5.3,3,220,NA,0.5711,30,NA,21,NA,0.0190366667,
Wa.Ac.M.5,Wa.Ac,M,mix.med,5,A.cupaniana,30,30,W.acuminata,30,0.5,Wa.Ac.M.5.4,4,165,NA,0.5711,30,NA,21,NA,0.0190366667,
Wa.Ac.M.5,Wa.Ac,M,mix.med,5,A.cupaniana,30,30,W.acuminata,30,0.5,Wa.Ac.M.5.5,5,170,NA,0.5711,30,NA,21,NA,0.0190366667,
Ac.H.2,Ac,H,mono.med,2,A.cupaniana,35,35,A.cupaniana,30,NA,Ac.H.2.,,,,,,,,,,
Ac.H.3,Ac,H,mono.med,3,A.cupaniana,27,30,A.cupaniana,30,NA,Ac.H.3.1,1,200,NA,0.3543,27,NA,20,NA,0.0131222222,
Ac.H.3,Ac,H,mono.med,3,A.cupaniana,27,30,A.cupaniana,30,NA,Ac.H.3.2,2,180,NA,0.3543,27,NA,20,NA,0.0131222222,
Ac.H.3,Ac,H,mono.med,3,A.cupaniana,27,30,A.cupaniana,30,NA,Ac.H.3.3,3,175,NA,0.3543,27,NA,20,NA,0.0131222222,
Ac.H.3,Ac,H,mono.med,3,A.cupaniana,27,30,A.cupaniana,30,NA,Ac.H.3.4,4,150,NA,0.3543,27,NA,20,NA,0.0131222222,
Ac.H.3,Ac,H,mono.med,3,A.cupaniana,27,30,A.cupaniana,30,NA,Ac.H.3.5,5,160,NA,0.3543,27,NA,20,NA,0.0131222222,
Ac.L.4,Ac,L,mono.med,4,A.cupaniana,10,30,A.cupaniana,30,NA,Ac.L.4.1,1,160,,0.2061,10,NA,10,NA,0.02061,
Ac.L.4,Ac,L,mono.med,4,A.cupaniana,10,30,A.cupaniana,30,NA,Ac.L.4.2,2,145,,0.2061,10,NA,10,NA,0.02061,
Ac.L.4,Ac,L,mono.med,4,A.cupaniana,10,30,A.cupaniana,30,NA,Ac.L.4.3,3,140,,0.2061,10,NA,10,NA,0.02061,
Ac.L.4,Ac,L,mono.med,4,A.cupaniana,10,30,A.cupaniana,30,NA,Ac.L.4.4,4,150,,0.2061,10,NA,10,NA,0.02061,
Ac.L.4,Ac,L,mono.med,4,A.cupaniana,10,30,A.cupaniana,30,NA,Ac.L.4.5,5,135,,0.2061,10,NA,10,NA,0.02061,
Ac.M.1,Ac,M,NA,1,A.cupaniana,0,30,A.cupaniana,30,NA,Ac.M.1.NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ac.M.4,Ac,M,mono.med,4,A.cupaniana,10,30,A.cupaniana,30,NA,Ac.M.4.1,1,130,NA,0.0327,10,NA,7,NA,0.00327,
Ac.M.4,Ac,M,mono.med,4,A.cupaniana,10,30,A.cupaniana,30,NA,Ac.M.4.2,2,135,NA,0.0327,10,NA,7,NA,0.00327,
