Pot.ID.number,Pot.ID,Species.combo,Density.bin.adjusted,Trtmnt.replicate,Species,Mix.type.forplottingWA,Mix.type.forplottingWP,Final.density,Starting.density,Competitor.ID,Conspecific.abundance,Rel.freq,Biomass.sp,Finalcount.sp,Repro.count.sp,Mean.biomass.plant,Root.biomass.sp,Root.biomass.perindivid,Dead.density,propsurv
1,Wa.Ac.H.1,Wa.Ac,mix.high,1,A.cupaniana,A.cupaniana,A.cupaniana,8,10,W.acuminata,10,0.17,0.115,8,7,0.014375,NA,NA,2,0.8
2,Wa.Ac.H.2,Wa.Ac,mix.high,2,A.cupaniana,A.cupaniana,A.cupaniana,8,10,W.acuminata,10,0.17,0.304,8,2,0.038,NA,NA,2,0.8
3,Wa.Ac.H.4,Wa.Ac,mix.high,4,A.cupaniana,A.cupaniana,A.cupaniana,8,10,W.acuminata,10,0.17,0.272,8,3,0.034,NA,NA,2,0.8
4,Wa.Ac.H.5,Wa.Ac,mix.high,5,A.cupaniana,A.cupaniana,A.cupaniana,10,10,W.acuminata,10,0.17,0.2207,10,6,0.02207,NA,NA,0,1
5,Wa.Ac.H.3,Wa.Ac,mix.med,3,A.cupaniana,A.cupaniana,A.cupaniana,11,30,W.acuminata,30,0.5,0.283,12,11,0.023583333,NA,NA,19,0.3666666667
6,Wa.Ac.M.1,Wa.Ac,mix.med,1,A.cupaniana,A.cupaniana,A.cupaniana,29,30,W.acuminata,30,0.5,0.6308,29,14,0.021751724,NA,NA,1,0.9666666667
7,Wa.Ac.M.2,Wa.Ac,mix.med,2,A.cupaniana,A.cupaniana,A.cupaniana,27,30,W.acuminata,30,0.5,0.4517,27,17,0.01672963,NA,NA,3,0.9
8,Wa.Ac.M.3,Wa.Ac,mix.med,3,A.cupaniana,A.cupaniana,A.cupaniana,30,30,W.acuminata,30,0.5,1.0613,30,14,0.035376667,NA,NA,0,1
9,Wa.Ac.M.4,Wa.Ac,mix.med,4,A.cupaniana,A.cupaniana,A.cupaniana,12,30,W.acuminata,30,0.5,0.413,12,4,0.03441667,NA,NA,18,0.4
10,Wa.Ac.M.5,Wa.Ac,mix.med,5,A.cupaniana,A.cupaniana,A.cupaniana,30,30,W.acuminata,30,0.5,0.5711,30,21,0.019036667,NA,NA,0,1
11,Wa.Ac.L.1,Wa.Ac,mix.low,1,A.cupaniana,A.cupaniana,A.cupaniana,50,50,W.acuminata,50,0.83,0.913,50,36,0.01826,NA,NA,0,1
12,Wa.Ac.L.2,Wa.Ac,mix.low,2,A.cupaniana,A.cupaniana,A.cupaniana,50,50,W.acuminata,50,0.83,0.761,50,26,0.01522,NA,NA,0,1
13,Wa.Ac.L.3,Wa.Ac,mix.low,3,A.cupaniana,A.cupaniana,A.cupaniana,44,50,W.acuminata,50,0.83,0.1941,44,13,0.004411364,NA,NA,6,0.88
14,Wa.Ac.L.4,Wa.Ac,mix.low,4,A.cupaniana,A.cupaniana,A.cupaniana,46,50,W.acuminata,50,0.83,1.0308,46,28,0.022408696,NA,NA,4,0.92
15,Wa.Ac.L.5,Wa.Ac,mix.low,5,A.cupaniana,A.cupaniana,A.cupaniana,50,50,W.acuminata,50,0.83,0.8594,50,19,0.017188,NA,NA,0,1
16,Ac.1,Ac,mono.60,1,A.cupaniana,A.cupaniana,A.cupaniana,55,60,A.cupaniana,60,1,0.7548,33,22,0.022872727,NA,NA,5,0.9166666667
17,Ac.3,Ac,mono.60,3,A.cupaniana,A.cupaniana,A.cupaniana,57,60,A.cupaniana,60,1,0.7592,57,26,0.013319298,NA,NA,3,0.95
18,Ac.H.4,Ac,mono.60,4,A.cupaniana,A.cupaniana,A.cupaniana,50,60,A.cupaniana,60,1,1.392,50,32,0.02784,0.28,0.0056,10,0.8333333333
19,Ac.L.5,Ac,control,5,A.cupaniana,NA,NA,1,1,Control,1,NA,NA,NA,NA,NA,NA,NA,0,1
20,Ac.4,Ac,mono.low,4,A.cupaniana,NA,NA,12,12,A.cupaniana,10,NA,0.4255,12,4,0.035458333,NA,NA,0,1
21,Ac.L.1,Ac,mono.low,1,A.cupaniana,NA,NA,8,10,A.cupaniana,10,NA,0.2227,8,8,0.0278375,0.07,0.00875,2,0.8
22,Ac.L.2,Ac,mono.low,2,A.cupaniana,NA,NA,6,10,A.cupaniana,10,NA,0.0088,6,3,0.001466667,NA,NA,4,0.6
23,Ac.L.3,Ac,mono.low,3,A.cupaniana,NA,NA,3,10,A.cupaniana,10,NA,0.0366,3,0,0.0122,NA,NA,7,0.3
24,Ac.H.3,Ac,mono.med,3,A.cupaniana,NA,NA,27,30,A.cupaniana,30,NA,0.3543,27,20,0.013122222,NA,NA,3,0.9
25,Ac.L.4,Ac,mono.med,4,A.cupaniana,NA,NA,10,30,A.cupaniana,30,NA,0.2061,10,10,0.02061,NA,NA,20,0.3333333333
26,Ac.M.4,Ac,mono.med,4,A.cupaniana,NA,NA,10,30,A.cupaniana,30,NA,0.0327,10,7,0.00327,NA,NA,20,0.3333333333
27,Ac.H.1,Ac,mono.high,1,A.cupaniana,NA,NA,50,50,A.cupaniana,50,NA,2.871,50,30,0.05742,0.96,0.0192,0,1
