Plot.ID,Species.combo,Replicate,Treatment,Treatment.col,Species,Waitzia.Density,Density.treatment,Density.for.x,Final.density,Max.density,propsurv,Dead.density,CSBP.Label,CSBP,Serial,Colour,Gravel,Texture,mean.compaction,Euc.litter,Jam.litter,Soilmoisture.2months,Herbaceous.litter,Moss,Bare,Ammonium.Nitrogen,Nitrate.Nitrogen,Phosphorus.Colwell,Potassium.Colwell,Organic.Carbon,Conductivity,pHCaCl2,pH.H2O,Sulfur,Soil.compaction.1,Soil.compaction.2,Soil.compaction.3,Soilmoisture.1,Soilmoisture.2,Soilmoisture.3,Nearesttree.sp,Canopycover.N,Canopycover.E,Canopycover.S,Canopycover.W,Meancanopycover.alldirections,Meancanopy.NWE.raw,Meancanopy.NWE,CWD,Notes,Photo,Nitrate.IEMs,Ammonium.IEMs
W11,W,11,Monoculture,1,W.acuminata,High,High.Monoculture,2,11,16,0.6875,5,B80,B80,80,BRGR,0,1.0,13.5,3,85,3,5,3,3,2,6,4,210,2.46,0.029,4.2,5.1,3.7,13,14,13.5,3,3,3,A.acuminata,21.75,4.75,4.75,21.5,13.1875,16,33.44,5,,8575,1.2450603625,0
W12,W,12,Monoculture,1,W.acuminata,Low,Low.Monoculture,1,6,8,0.75,2,B81,B81,81,BR,5,1.5,11.5,0,90,6,10,0,5,2,5,5,162,3.36,0.030,4.1,4.9,3.8,9.5,13.5,11.5,6,6,6,A.acuminata,10.5,12.25,20,19,15.4375,13.9166666667,42.1066666667,3,,8581,0.05628856,0
W13,W,13,Monoculture,1,W.acuminata,Low,Low.Monoculture,1,3,8,0.375,5,B82,B82,82,BR,0,1.5,10.8333333333,5,45,7.3333333333,30,50,0,2,1,3,166,2.01,0.014,4.1,5.1,2.7,11.5,8,13,8,7,7,E.loxophleba,19.75,8.5,5.25,10,10.875,12.75,46.96,5,,8592,NA,0
W14,W,14,Monoculture,1,W.acuminata,Low,Low.Monoculture,1,1,5,0.2,4,B83,B83,83,BR,0,1.0,9,3,30,6.6666666667,40,0,0,1,1,7,205,0.92,0.010,4.5,5.5,1.8,14,8,5,7,6,7,A.acuminata,5.5,6,7.75,6.75,6.5,6.0833333333,74.6933333333,0,,8593,5.018378425,0
W15,W,15,Monoculture,1,W.acuminata,High,High.Monoculture,2,10,15,0.6666666667,5,B84,B84,84,BR,0,1.0,9.8333333333,0,50,6.3333333333,20,0,10,1,1,2,179,1.21,0.013,4.3,5.3,2.1,11,9.5,9,6,7,6,A.acuminata,18,18,19.5,21.5,19.25,19.1666666667,20.2666666667,5,,8594,0.58736382,0
W16,W,16,Monoculture,1,W.acuminata,High,High.Monoculture,2,13,18,0.7222222222,5,B85,B85,85,BR,0,1.0,14.3333333333,0,35,5.6666666667,10,10,85,1,1,2,124,1.49,0.010,4.4,5.4,1.9,14.5,14.5,14,6,6,5,A.acuminata,11.75,5.5,7.25,17.5,10.5,11.5833333333,51.8133333333,0,,8600,0,0
W19,W,19,Monoculture,1,W.acuminata,Low,Low.Monoculture,1,5,5,1,0,B88,B88,88,BR,0,1.0,9.6666666667,0,70,4.3333333333,25,0,20,2,1,2,90,1.56,0.018,4.3,5.2,2.3,9,8.5,11.5,4,5,4,A.acuminata,23.25,16,6,4.25,12.375,14.5,39.68,5,,8611,NA,0
W21,W,21,Monoculture,1,W.acuminata,High,High.Monoculture,2,16,23,0.6956521739,7,B90,B90,90,GRBR,0,1.0,12.6666666667,0,40,6,5,65,5,4,2,4,101,3.33,0.022,4.0,4.9,3.4,13,13,12,6,6,6,A.acuminata,7.25,7.5,9.75,12,9.125,8.9166666667,62.9066666667,2,,8614,NA,0
WA1,WA,1,Mixture,152,W.acuminata,Low,Low.Mixture,1,8,9,0.8888888889,1,B98,B98,98,LTBR,0,1.0,12.6666666667,0,70,6,5,20,0,2,1,2,133,1.93,0.017,4.2,5.2,2.4,12,13,13,6,6,6,A.acuminata,13,18,21,17.25,17.3125,16.0833333333,33.0933333333,10,,8577,0,0
WA10,WA,10,Mixture,152,W.acuminata,High,High.Mixture,2,15,19,0.7894736842,4,B99,B99,99,LTBR,0,1.0,12.5,0,50,5,15,5,5,1,1,2,96,1.21,0.013,4.4,5.4,1.9,15,15.5,7,4,5,6,A.acuminata,14.25,24,19.5,21.5,19.8125,19.9166666667,17.1466666667,40,,8613,0,0
