month,site,plot,treatment,species,focal,colour,abundance,flower.head,flower.herbivory,note
aug,Bendering,B.Hygl.E1,E,Hypochaeris.glabra,1,,1,,,
aug,Bendering,B.Hygl.E1,E,Arctotheca.calendula,0,,1,,,
aug,Bendering,B.Hygl.E1,E,Nicotiana.rotundifolia,0,,1,,,
aug,Bendering,B.Hygl.E1,E,Oxalis.sp,0,,1,,,
aug,Bendering,B.Hygl.E10,E,Hypochaeris.glabra,1,,5,,,
aug,Bendering,B.Hygl.E10,E,grass,0,,1,,,
aug,Bendering,B.Hygl.E10,E,Nicotiana.rotundifolia,0,,1,,,
aug,Bendering,B.Hygl.E11,E,Hypochaeris.glabra,1,,2,,,
aug,Bendering,B.Hygl.E11,E,Arctotheca.calendula,0,,1,,,
aug,Bendering,B.Hygl.E11,E,Nicotiana.rotundifolia,0,,1,,,
aug,Bendering,B.Hygl.E12,E,Hypochaeris.glabra,1,,4,,,
aug,Bendering,B.Hygl.E12,E,Arctotheca.calendula,0,,1,,,
aug,Bendering,B.Hygl.E12,E,Nicotiana.rotundifolia,0,,1,,,
aug,Bendering,B.Hygl.E12,E,Ursinia.anthemoides,0,,1,,,
aug,Bendering,B.Hygl.E13,E,Hypochaeris.glabra,1,,4,,,
aug,Bendering,B.Hygl.E13,E,Arctotheca.calendula,0,,1,,,
aug,Bendering,B.Hygl.E13,E,Monoculus.monstrosus,0,,1,,,
aug,Bendering,B.Hygl.E13,E,Nicotiana.rotundifolia,0,,1,,,
aug,Bendering,B.Hygl.E14,E,Hypochaeris.glabra,1,,4,,,
aug,Bendering,B.Hygl.E14,E,Arctotheca.calendula,0,,1,,,
aug,Bendering,B.Hygl.E14,E,Monoculus.monstrosus,0,,1,,,
aug,Bendering,B.Hygl.E14,E,Nicotiana.rotundifolia,0,,1,,,
aug,Bendering,B.Hygl.E14,E,Ursinia.anthemoides,0,,1,,,
aug,Bendering,B.Hygl.E14,E,Zaluzianskya.divaricata,0,,1,,,
aug,Bendering,B.Hygl.E15,E,Hypochaeris.glabra,1,,5,,,
aug,Bendering,B.Hygl.E15,E,Monoculus.monstrosus,0,,1,,,
aug,Bendering,B.Hygl.E15,E,Nicotiana.rotundifolia,0,,1,,,
aug,Bendering,B.Hygl.E15,E,Ursinia.anthemoides,0,,1,,,
aug,Bendering,B.Hygl.E2,E,Hypochaeris.glabra,1,,2,,,
aug,Bendering,B.Hygl.E2,E,grass,0,,1,,,
aug,Bendering,B.Hygl.E2,E,Nicotiana.rotundifolia,0,,1,,,
aug,Bendering,B.Hygl.E2,E,Oxalis.sp,0,,1,,,
aug,Bendering,B.Hygl.E3,E,Hypochaeris.glabra,1,,2,,,
aug,Bendering,B.Hygl.E3,E,grass,0,,1,,,
aug,Bendering,B.Hygl.E3,E,Nicotiana.rotundifolia,0,,1,,,
aug,Bendering,B.Hygl.E3,E,Ursinia.anthemoides,0,,1,,,
aug,Bendering,B.Hygl.E4,E,Hypochaeris.glabra,1,,4,,,
aug,Bendering,B.Hygl.E4,E,Nicotiana.rotundifolia,0,,1,,,
aug,Bendering,B.Hygl.E4,E,Ursinia.anthemoides,0,,1,,,
aug,Bendering,B.Hygl.E5,E,Hypochaeris.glabra,1,,3,,,
aug,Bendering,B.Hygl.E5,E,Arctotheca.calendula,0,,1,,,
aug,Bendering,B.Hygl.E5,E,grass,0,,1,,,
aug,Bendering,B.Hygl.E5,E,Nicotiana.rotundifolia,0,,1,,,
aug,Bendering,B.Hygl.E5,E,Ursinia.anthemoides,0,,1,,,
aug,Bendering,B.Hygl.E6,E,Hypochaeris.glabra,1,,5,,,
aug,Bendering,B.Hygl.E6,E,Arctotheca.calendula,0,,1,,,
aug,Bendering,B.Hygl.E6,E,Nicotiana.rotundifolia,0,,1,,,
aug,Bendering,B.Hygl.E6,E,Ursinia.anthemoides,0,,1,,,
aug,Bendering,B.Hygl.E7,E,Hypochaeris.glabra,1,,3,,,
aug,Bendering,B.Hygl.E7,E,Aira.caryophylla,0,,1,,,
aug,Bendering,B.Hygl.E8,E,Hypochaeris.glabra,1,,5,,,
aug,Bendering,B.Hygl.E8,E,grass,0,,1,,,
aug,Bendering,B.Hygl.E8,E,Nicotiana.rotundifolia,0,,1,,,
aug,Bendering,B.Hygl.E9,E,Hypochaeris.glabra,1,,2,,,
aug,Bendering,B.Hygl.E9,E,grass,0,,1,,,
aug,Bendering,B.Hygl.E9,E,Nicotiana.rotundifolia,0,,1,,,
aug,Bendering,B.Hygl.M1,M,Hypochaeris.glabra,1,,4,,,
aug,Bendering,B.Hygl.M2,M,Hypochaeris.glabra,1,,5,,,
aug,Bendering,B.Hygl.M3,M,Hypochaeris.glabra,1,,6,,,
aug,Bendering,B.Hygl.M4,M,Hypochaeris.glabra,1,,13,,,
aug,Bendering,B.Hygl.M5,M,Hypochaeris.glabra,1,,8,,,
aug,Bendering,B.Hygl.N1,N,Hypochaeris.glabra,1,,1,,,
aug,Bendering,B.Hygl.N1,N,Ceratogyne.obionoides,0,,1,,,
aug,Bendering,B.Hygl.N1,N,Lobelia.gibbosa,0,,1,,,
aug,Bendering,B.Hygl.N1,N,Rhodanthe.laevis,0,,1,,,
aug,Bendering,B.Hygl.N1,N,Rhodanthe.manglesii,0,,1,,,
aug,Bendering,B.Hygl.N1,N,Trachymene.cyanopetala,0,,1,,,
aug,Bendering,B.Hygl.N10,N,Hypochaeris.glabra,1,,2,,,
aug,Bendering,B.Hygl.N10,N,Gonocarpus.nodulosus,0,,1,,,
aug,Bendering,B.Hygl.N10,N,Hydrocotyle.pilifera,0,,1,,,
aug,Bendering,B.Hygl.N10,N,Lobelia.gibbosa,0,,1,,,
aug,Bendering,B.Hygl.N10,N,Rhodanthe.citrina,0,,1,,,
aug,Bendering,B.Hygl.N10,N,Rhodanthe.laevis,0,,1,,,
aug,Bendering,B.Hygl.N10,N,Trachymene.cyanopetala,0,,1,,,
aug,Bendering,B.Hygl.N10,N,Waitzia.acuminata,0,,1,,,
aug,Bendering,B.Hygl.N11,N,Hypochaeris.glabra,1,,3,,,
aug,Bendering,B.Hygl.N11,N,Ceratogyne.obionoides,0,,1,,,
aug,Bendering,B.Hygl.N11,N,Gonocarpus.nodulosus,0,,1,,,
aug,Bendering,B.Hygl.N11,N,Trachymene.cyanopetala,0,,1,,,
aug,Bendering,B.Hygl.N11,N,Waitzia.acuminata,0,,1,,,
aug,Bendering,B.Hygl.N12,N,Hypochaeris.glabra,1,,2,,,
aug,Bendering,B.Hygl.N12,N,Gonocarpus.nodulosus,0,,1,,,
aug,Bendering,B.Hygl.N12,N,Lawrencella.rosea,0,,1,,,
aug,Bendering,B.Hygl.N12,N,Podotheca.gnaphalioides,0,,1,,,
aug,Bendering,B.Hygl.N12,N,Waitzia.acuminata,0,,1,,,
aug,Bendering,B.Hygl.N13,N,Hypochaeris.glabra,1,,6,,,
aug,Bendering,B.Hygl.N13,N,Gonocarpus.nodulosus,0,,1,,,
aug,Bendering,B.Hygl.N13,N,Hydrocotyle.pilifera,0,,1,,,
aug,Bendering,B.Hygl.N13,N,Lawrencella.rosea,0,,1,,,
aug,Bendering,B.Hygl.N13,N,Podotheca.gnaphalioides,0,,1,,,
aug,Bendering,B.Hygl.N13,N,Trachymene.cyanopetala,0,,1,,,
aug,Bendering,B.Hygl.N13,N,Waitzia.acuminata,0,,1,,,
aug,Bendering,B.Hygl.N14,N,Hypochaeris.glabra,1,,2,,,
aug,Bendering,B.Hygl.N14,N,Gonocarpus.nodulosus,0,,1,,,
aug,Bendering,B.Hygl.N14,N,Lobelia.gibbosa,0,,1,,,
aug,Bendering,B.Hygl.N14,N,Rhodanthe.citrina,0,,1,,,
aug,Bendering,B.Hygl.N14,N,Rhodanthe.laevis,0,,1,,,
aug,Bendering,B.Hygl.N14,N,Trachymene.cyanopetala,0,,1,,,
aug,Bendering,B.Hygl.N14,N,Waitzia.acuminata,0,,1,,,
aug,Bendering,B.Hygl.N15,N,Hypochaeris.glabra,1,,3,,,
aug,Bendering,B.Hygl.N15,N,Gonocarpus.nodulosus,0,,1,,,
aug,Bendering,B.Hygl.N15,N,Rhodanthe.citrina,0,,1,,,
aug,Bendering,B.Hygl.N15,N,Trachymene.cyanopetala,0,,1,,,
aug,Bendering,B.Hygl.N15,N,Waitzia.acuminata,0,,1,,,
aug,Bendering,B.Hygl.N2,N,Hypochaeris.glabra,1,,7,,,
aug,Bendering,B.Hygl.N2,N,Calandrinia.eremaea,0,,1,,,
aug,Bendering,B.Hygl.N2,N,Crassula.closiana,0,,1,,,
aug,Bendering,B.Hygl.N2,N,Gonocarpus.nodulosus,0,,1,,,
aug,Bendering,B.Hygl.N2,N,Lobelia.gibbosa,0,,1,,,
aug,Bendering,B.Hygl.N2,N,Trachymene.cyanopetala,0,,1,,,
aug,Bendering,B.Hygl.N3,N,Hypochaeris.glabra,1,,1,,,
aug,Bendering,B.Hygl.N3,N,Calandrinia.eremaea,0,,1,,,
aug,Bendering,B.Hygl.N3,N,Crassula.closiana,0,,1,,,
aug,Bendering,B.Hygl.N3,N,Gonocarpus.nodulosus,0,,1,,,
aug,Bendering,B.Hygl.N3,N,Lawrencella.rosea,0,,1,,,
aug,Bendering,B.Hygl.N3,N,Lobelia.gibbosa,0,,1,,,
aug,Bendering,B.Hygl.N3,N,Trachymene.cyanopetala,0,,1,,,
aug,Bendering,B.Hygl.N3,N,Waitzia.acuminata,0,,1,,,
aug,Bendering,B.Hygl.N4,N,Hypochaeris.glabra,1,,3,,,
aug,Bendering,B.Hygl.N4,N,Podolepis.lessonii,0,,1,,,
aug,Bendering,B.Hygl.N4,N,Trachymene.cyanopetala,0,,1,,,
aug,Bendering,B.Hygl.N4,N,Waitzia.acuminata,0,,1,,,
aug,Bendering,B.Hygl.N5,N,Hypochaeris.glabra,1,,3,,,
aug,Bendering,B.Hygl.N5,N,Calandrinia.eremaea,0,,1,,,
aug,Bendering,B.Hygl.N5,N,Ceratogyne.obionoides,0,,1,,,
aug,Bendering,B.Hygl.N5,N,Crassula.closiana,0,,1,,,
aug,Bendering,B.Hygl.N5,N,Lawrencella.rosea,0,,1,,,
aug,Bendering,B.Hygl.N5,N,Lobelia.gibbosa,0,,1,,,
aug,Bendering,B.Hygl.N5,N,Trachymene.cyanopetala,0,,1,,,
aug,Bendering,B.Hygl.N5,N,Waitzia.acuminata,0,,1,,,
aug,Bendering,B.Hygl.N6,N,Hypochaeris.glabra,1,,4,,,
aug,Bendering,B.Hygl.N6,N,Calandrinia.eremaea,0,,1,,,
aug,Bendering,B.Hygl.N6,N,Crassula.closiana,0,,1,,,
aug,Bendering,B.Hygl.N6,N,Dichopogon.sp,0,,1,,,
aug,Bendering,B.Hygl.N6,N,Gonocarpus.nodulosus,0,,1,,,
aug,Bendering,B.Hygl.N6,N,Lawrencella.rosea,0,,1,,,
aug,Bendering,B.Hygl.N6,N,Lobelia.gibbosa,0,,1,,,
aug,Bendering,B.Hygl.N6,N,Rhodanthe.manglesii,0,,1,,,
aug,Bendering,B.Hygl.N6,N,Trachymene.cyanopetala,0,,1,,,
aug,Bendering,B.Hygl.N6,N,Waitzia.acuminata,0,,1,,,
aug,Bendering,B.Hygl.N7,N,Hypochaeris.glabra,1,,5,,,
aug,Bendering,B.Hygl.N7,N,Brachyscome.iberidifolia,0,,1,,,
aug,Bendering,B.Hygl.N7,N,Ceratogyne.obionoides,0,,1,,,
aug,Bendering,B.Hygl.N7,N,Gonocarpus.nodulosus,0,,1,,,
aug,Bendering,B.Hygl.N7,N,Podotheca.gnaphalioides,0,,1,,,
aug,Bendering,B.Hygl.N7,N,Rhodanthe.citrina,0,,1,,,
aug,Bendering,B.Hygl.N7,N,Rhodanthe.manglesii,0,,1,,,
aug,Bendering,B.Hygl.N7,N,Trachymene.cyanopetala,0,,1,,,
aug,Bendering,B.Hygl.N7,N,Waitzia.acuminata,0,,1,,,
aug,Bendering,B.Hygl.N8,N,Hypochaeris.glabra,1,,2,,,
aug,Bendering,B.Hygl.N8,N,Gonocarpus.nodulosus,0,,1,,,
aug,Bendering,B.Hygl.N8,N,Lawrencella.rosea,0,,1,,,
aug,Bendering,B.Hygl.N8,N,Rhodanthe.citrina,0,,1,,,
aug,Bendering,B.Hygl.N8,N,Trachymene.cyanopetala,0,,1,,,
aug,Bendering,B.Hygl.N8,N,Waitzia.acuminata,0,,1,,,
aug,Bendering,B.Hygl.N9,N,Hypochaeris.glabra,1,,3,,,
aug,Bendering,B.Hygl.N9,N,Gonocarpus.nodulosus,0,,1,,,
aug,Bendering,B.Hygl.N9,N,Lawrencella.rosea,0,,1,,,
aug,Bendering,B.Hygl.N9,N,Lobelia.gibbosa,0,,1,,,
aug,Bendering,B.Hygl.N9,N,Rhodanthe.citrina,0,,1,,,
aug,Bendering,B.Hygl.N9,N,Rhodanthe.manglesii,0,,1,,,
aug,Bendering,B.Hygl.N9,N,Velleia.cycnopotamica,0,,1,,,
aug,Bendering,B.Hygl.N9,N,Waitzia.acuminata,0,,1,,,
aug,Bendering,B.Tror.E1,E,Trachymene.ornata,1,,2,,,
