site,plot,species,treatment,treatment.coarse,total.seed.int,pH,canopy
Bendering,B.Hygl.E1,Hypochaeris.glabra,E,mix,850,5.32,NA
Bendering,B.Hygl.E10,Hypochaeris.glabra,E,mix,202,5.59,NA
Bendering,B.Hygl.E11,Hypochaeris.glabra,E,mix,661,5.38,NA
Bendering,B.Hygl.E12,Hypochaeris.glabra,E,mix,291,5.4,NA
Bendering,B.Hygl.E13,Hypochaeris.glabra,E,mix,253,5.5,NA
Bendering,B.Hygl.E14,Hypochaeris.glabra,E,mix,857,5.54,NA
Bendering,B.Hygl.E15,Hypochaeris.glabra,E,mix,184,5.06,NA
Bendering,B.Hygl.E2,Hypochaeris.glabra,E,mix,372,5.29,NA
Bendering,B.Hygl.E3,Hypochaeris.glabra,E,mix,514,5.12,NA
Bendering,B.Hygl.E4,Hypochaeris.glabra,E,mix,657,5.44,NA
Bendering,B.Hygl.E5,Hypochaeris.glabra,E,mix,816,5.21,NA
Bendering,B.Hygl.E6,Hypochaeris.glabra,E,mix,582,5.29,NA
Bendering,B.Hygl.E7,Hypochaeris.glabra,E,mix,208,5.41,NA
Bendering,B.Hygl.E8,Hypochaeris.glabra,E,mix,230,5.35,NA
Bendering,B.Hygl.E9,Hypochaeris.glabra,E,mix,459,5.1,NA
Bendering,B.Tror.E1,Trachymene.ornata,E,mix,98,5.04,20.45333333
Bendering,B.Tror.E10,Trachymene.cyanopetala,E,mix,100,5.11,16.29333333
Bendering,B.Tror.E11,Trachymene.cyanopetala,E,mix,107,4.65,50.96
Bendering,B.Tror.E12,Trachymene.cyanopetala,E,mix,77,4.58,48.53333333
Bendering,B.Tror.E13,Trachymene.cyanopetala,E,mix,65,5.15,16.64
Bendering,B.Tror.E14,Trachymene.cyanopetala,E,mix,100,4.75,37.44
Bendering,B.Tror.E15,Trachymene.cyanopetala,E,mix,107,5.18,15.25333333
Bendering,B.Tror.E2,Trachymene.ornata,E,mix,70,4.43,31.54666667
Bendering,B.Tror.E3,Trachymene.ornata,E,mix,56,5.51,10.05333333
Bendering,B.Tror.E4,Trachymene.ornata,E,mix,47,5.09,12.48
Bendering,B.Tror.E5,Trachymene.cyanopetala,E,mix,200,5.11,12.48
Bendering,B.Tror.E6,Trachymene.ornata,E,mix,169,5.21,38.48
