site,plot,treatment,species,index,pH,temp,shade1,shade2,shade3,pH.SEP,pH.Oct
Bendering,B.Hygl.E1,E,Hypochaeris.glabra,1,,,,,,5.32,
Bendering,B.Hygl.E2,E,Hypochaeris.glabra,2,,,,,,5.29,
Bendering,B.Hygl.E3,E,Hypochaeris.glabra,3,,,,,,5.12,
Bendering,B.Hygl.E4,E,Hypochaeris.glabra,4,,,,,,5.44,
Bendering,B.Hygl.E5,E,Hypochaeris.glabra,5,,,,,,5.21,
Bendering,B.Hygl.E6,E,Hypochaeris.glabra,6,,,,,,5.29,
Bendering,B.Hygl.E7,E,Hypochaeris.glabra,7,,,,,,5.41,
Bendering,B.Hygl.E8,E,Hypochaeris.glabra,8,,,,,,5.35,
Bendering,B.Hygl.E9,E,Hypochaeris.glabra,9,,,,,,5.1,
Bendering,B.Hygl.E10,E,Hypochaeris.glabra,10,,,,,,5.59,
Bendering,B.Hygl.E11,E,Hypochaeris.glabra,11,,,,,,5.38,
Bendering,B.Hygl.E12,E,Hypochaeris.glabra,12,,,,,,5.4,
Bendering,B.Hygl.E13,E,Hypochaeris.glabra,13,,,,,,5.5,
Bendering,B.Hygl.E14,E,Hypochaeris.glabra,14,,,,,,5.54,
Bendering,B.Hygl.E15,E,Hypochaeris.glabra,15,,,,,,5.06,
Bendering,B.Hygl.M1,M,Hypochaeris.glabra,1,,,,,,5.18,
Bendering,B.Hygl.M2,M,Hypochaeris.glabra,2,,,,,,5.51,
Bendering,B.Hygl.M3,M,Hypochaeris.glabra,3,,,,,,5.16,
Bendering,B.Hygl.M4,M,Hypochaeris.glabra,4,,,,,,5.29,
Bendering,B.Hygl.M5,M,Hypochaeris.glabra,5,,,,,,5.05,
Bendering,B.Hygl.N1,N,Hypochaeris.glabra,1,,,,,,5.22,4.47
Bendering,B.Hygl.N2,N,Hypochaeris.glabra,2,,,,,,4.73,
Bendering,B.Hygl.N3,N,Hypochaeris.glabra,3,,,,,,5.13,
Bendering,B.Hygl.N4,N,Hypochaeris.glabra,4,,,,,,5.93,
Bendering,B.Hygl.N5,N,Hypochaeris.glabra,5,,,,,,5.11,
Bendering,B.Hygl.N6,N,Hypochaeris.glabra,6,,,,,,5.01,
Bendering,B.Hygl.N7,N,Hypochaeris.glabra,7,,,,,,5.27,
Bendering,B.Hygl.N8,N,Hypochaeris.glabra,8,,,,,,4.78,
Bendering,B.Hygl.N9,N,Hypochaeris.glabra,9,,,,,,5.19,
Bendering,B.Hygl.N10,N,Hypochaeris.glabra,10,,,,,,4.78,
Bendering,B.Hygl.N11,N,Hypochaeris.glabra,11,,,,,,4.96,
Bendering,B.Hygl.N12,N,Hypochaeris.glabra,12,,,,,,4.89,
Bendering,B.Hygl.N13,N,Hypochaeris.glabra,13,,,,,,5.06,
Bendering,B.Hygl.N14,N,Hypochaeris.glabra,14,,,,,,5.23,
Bendering,B.Hygl.N15,N,Hypochaeris.glabra,15,,,,,,5.32,
Bendering,B.Tror.E1,E,Trachymene.ornata,1,5.12,19.1,11,6,42,5.04,
Bendering,B.Tror.E2,E,Trachymene.ornata,2,5.05,18.4,30,41,20,4.43,
Bendering,B.Tror.E3,E,Trachymene.ornata,3,6.87,14.7,0,15,14,5.51,
Bendering,B.Tror.E4,E,Trachymene.ornata,4,5.4,19.2,15,7,14,5.09,
Bendering,B.Tror.E5,E,Trachymene.ornata,5,5.68,18.6,11,5,20,5.11,
Bendering,B.Tror.E6,E,Trachymene.ornata,6,7.2,15.1,17,67,27,5.21,
Bendering,B.Tror.E7,E,Trachymene.ornata,7,6.93,13.7,32,32,5,4.46,
Bendering,B.Tror.E8,E,Trachymene.ornata,8,6.93,14.6,1,39,35,5.23,
Bendering,B.Tror.E9,E,Trachymene.ornata,9,6.89,14.8,35,9,36,4.8,
