Site,Block,Plot.ID,CSBP.Label.2013,CSBP.Label.2012,Tree.species,Tree.trtmnt,Tree.ID,GPS.ID,Side,Pair,Pair.unique,Treatment,RL,Block.Xcoord,Block.Ycoord,Dist.to.tree.rel,Dist.to.tree.abs,SM1,SM2,SM3,Mean.SM,canopy.N,canopy.E,canopy.S,canopy.W,meancanopy.NWE,Canopycover.N,Canopycover.E,Canopycover.S,Canopycover.W,Mean.canopycover.all,Mean.canopycover.NWE,Soil.compaction.1,Soil.compaction.2,Soil.compaction.3,Mean.soil.compaction,X,t1.colour,t1.gravel,t1.texture,t1.ammonium,t1.nitrate,t1.phosphorus,t1.potassium,t1.sulfur,t1.organic.c,t1.conductivity,t1.ph.cacl2,t1.ph.h2o,t2.colour,t2.gravel,t2.texture,t2.ammonium,t2.nitrate,t2.phosphorus,t2.potassium,t2.sulfur,t2.organic.c,t2.conductivity,t2.ph.cacl2,t2.ph.h2o,richness.t3,plantdensity.t2,ex.plantdensity.t2,nat.plantdensity.t2,ex.richness.t3,nat.richness.t3,richness.t1,ex.richness.t1,plantdensity.t1,ex.plantdensity.t1,nat.plantdensity.t1,nat.richness.t1,richness.t2,ex.richness.t2,nat.richness.t2,rar5.t2.richness,rar10.t2.richness,rar15.t2.richness,A.calendula,A.calendula.present,A.uliginosum,A.uliginosum.present,B.drummondii,B.drummondii.present,B.iberidifola,B.iberidifola.present,B.tournefortii,B.tournefortii,Bromus.sp,Bromus.sp.present,C.colorata,C.colorata.present,C.eremea,C.eremea.present,C.obionoides,E.botrys,E.longiflora,G.nodulosus,G.tenuissima,H.glabra,H.glabra.present,H.pilifera,L.arvensis,L.arvensis.present,M.crystallinum,M.monstrosus,Millotia.sp,Millotia.sp.present,N.rotundifolia,P.airoides,P.canescens,P.gnaphaloides,P.lessonni,P.lessonni.present,R.laevis,R.laevis.present,R.pygmaea,T.cyanopetala,T.cyanopetala.present,T.isingiana,T.isingiana.present,T.ornata,U.anthemoides,U.anthemoides.present,V.myuros,V.myuros.present,W.acuminata,W.acuminata.present,Euc.litter,Jam.litter,Ammonium.IEMs,Nitrate.IEMs,Nitrate.IEMs.convertedzeros
Kunjin,10,10.N.1.C,K20,K148,E.loxophleba,YG.Control,10,573,North,1,10.North.1,Control,L,0,23,11.5,11.5,5,4,4,4.333333333,17.84,11.6,62.56,25.12,18.18666667,19.75,21.25,9,18,17,19.66666667,11,12,11.5,11.5,K20,BRGR,0,1.5,4,10,4,98,4.9,2.4,0.048,5.8,6.5,GR,0,1.5,2,4,2,100,2.3,1.26,0.027,5.8,6.3,9,45,15,30,6,3,6,3,79,53,26,3,9,5,4,2.8511670469,4.1458927409,5.1522833737,0,0,0,0,0,0,0,0,3,1,9,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0.6,0,0,0.6782420408,0.6782420408
Kunjin,10,10.N.1.L,K19,K146,E.loxophleba,YG.Litter,10,573,North,1,10.North.1,Litter,R,1,23,11.5,11.5,3,4,4,3.666666667,29.28,20.96,54.24,24.08,24.77333333,17,19,11,18.25,16.3125,18.08333333,9.5,5,6,6.833333333,K19,GRBR,0,1.5,3,6,5,84,4.7,2.73,0.047,6.3,6.9,BRGR,0,1.5,1,4,3,44,4.1,1.94,0.043,6.4,6.9,6,33,9,24,2,4,8,3,81,48,33,5,9,3,6,3.6409310008,5.5565973978,6.8179588542,0,0,0,0,0,0,0,0,5,1,3,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5,0,0,3.4342638265,3.4342638265
Kunjin,10,10.N.2.C,K18,K145,E.loxophleba,YG.Control,10,573,North,2,10.North.2,Control,R,1,21,9.5,9.5,4,4,4,4,11.6,23.04,35.52,45.92,26.85333333,21.25,18.5,15.5,13,17.0625,17.58333333,12,9.5,11,10.83333333,K18,GRBR,0,1.5,2,8,7,91,4.1,3.24,0.048,6.4,7,GRBR,0,1.5,7,11,6,69,18.1,3.98,0.093,6,6.6,9,31,17,14,5,4,9,3,89,20,69,6,9,4,5,3.4900859862,5.2707160068,6.5484730753,0,0,0,0,0,0,0,0,0,0,2,1,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,12,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,2,1,0.1,0,0,1.9034051878,1.9034051878
Kunjin,10,10.N.2.L,K17,K144,E.loxophleba,YG.Litter,10,573,North,2,10.North.2,Litter,L,0,21,9.5,9.5,4,4,4,4,20.96,18.88,70.88,58.4,32.74666667,19,19.5,7,10,13.875,16.16666667,11,13,8,10.66666667,K17,BRGR,0,1,11,7,13,85,16.5,3.6,0.115,6.1,6.6,BRGR,0,1.5,4,8,6,79,13.4,2.71,0.072,6,6.5,6,18,7,11,3,3,6,3,46,18,28,3,8,3,5,3.9200513539,6.0882352941,7.4411764706,0,0,0,0,0,0,0,0,1,1,5,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.1,0,0,0.7448314327,0.7448314327
Kunjin,10,10.N.3.C,K16,K143,E.loxophleba,YG.Control,10,573,North,3,10.North.3,Control,L,0,19,7.5,7.5,4,4,4,4,29.28,41.76,80.24,55.28,42.10666667,17,14,4.75,10.75,11.625,13.91666667,9,7.5,11,9.166666667,K16,BRGR,0,1,2,8,7,104,4.8,3.54,0.053,6.5,7.1,GR,0,1.5,3,5,2,117,3.8,1.86,0.049,6.4,7.1,8,22,20,2,5,3,8,3,79,54,25,5,5,3,2,1.9090909091,2.8181818182,3.7272727273,1,1,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.35,0,0,4.2056033592,4.2056033592
Kunjin,10,10.N.3.L,K15,K142,E.loxophleba,YG.Litter,10,573,North,3,10.North.3,Litter,R,1,19,7.5,7.5,4,4,4,4,25.12,43.84,79.2,67.76,45.57333333,18,13.5,5,7.75,11.0625,13.08333333,7,6.5,6.5,6.666666667,K15,BRGR,0,1,5,7,6,107,5.2,2.73,0.056,6.3,6.7,GRBR,0,1,2,3,3,90,3.1,1.9,0.035,5.9,6.5,5,34,22,12,5,0,8,4,61,49,12,4,6,4,2,2.82421583,3.8091233201,4.5264733458,2,1,0,0,0,0,0,0,2,1,16,1,0,0,11,1,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,2.389258698,2.389258698
Kunjin,10,10.N.4.C,K14,K141,E.loxophleba,YG.Control,10,573,North,4,10.North.4,Control,R,1,15,3.5,3.5,4,4,3,3.666666667,66.72,79.2,84.4,85.44,77.12,8,5,3.75,3.5,5.0625,5.5,5.5,5.5,8,6.333333333,K14,GRBR,0,1,7,23,14,133,23,4.59,0.244,6.1,6.6,BRGR,0,1.5,34,88,5,141,42.2,2.85,0.311,6.2,6.6,6,15,11,4,4,2,4,2,24,19,5,2,6,3,3,3.289044289,4.8827838828,6,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,1,1,0,0,0.95,0,0,4.837750551,4.837750551
Kunjin,10,10.N.4.L,K13,K140,E.loxophleba,YG.Litter,10,573,North,4,10.North.4,Litter,L,0,15,3.5,3.5,3,4,4,3.666666667,74,82.32,84.4,84.4,80.24,6.25,4.25,3.75,3.75,4.5,4.75,5,7.5,10,7.5,K13,BRGR,0,1.5,5,8,7,102,4.8,3.07,0.045,6,6.6,BRGR,0,1.5,8,29,5,74,12.3,2.55,0.112,6,6.4,5,18,6,12,2,3,4,1,30,3,27,3,6,2,4,3.1176470588,4.5294117647,5.4975490196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0.07,0,0,4.6709996531,4.6709996531
Kunjin,10,10.N.5.C,K12,K139,E.loxophleba,YG.Control,10,573,North,5,10.North.5,Control,L,0,14,2.5,2.5,4,4,4,4,75.04,82.32,79.2,79.2,78.85333333,6,4.25,5,5,5.0625,5.083333333,9,7.5,10,8.833333333,K12,BRGR,0,1,4,7,7,74,8.7,3.08,0.092,6.3,6.9,BRGR,0,1,11,21,8,72,17.9,2.97,0.166,6.1,6.5,6,71,26,45,4,2,3,0,34,0,34,3,6,5,1,2.1803039484,2.6638582144,3.0116238614,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,21,1,1,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.8,0,0,8.4101048898,8.4101048898
Kunjin,10,10.N.5.L,K11,K130,E.loxophleba,YG.Litter,10,573,North,5,10.North.5,Litter,R,1,14,2.5,2.5,4,4,4,4,62.56,88.56,77.12,81.28,77.46666667,9,2.75,5.5,4.5,5.4375,5.416666667,6.5,7,6.5,6.666666667,K11,BRGR,0,1.5,8,31,22,137,29.8,4.56,0.241,6.2,6.7,BRGR,0,1.5,5,12,7,78,17,2.95,0.118,6.1,6.6,3,5,2,3,2,1,3,1,8,6,2,2,3,1,2,3,3,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.85,0,0,10.6338190327,10.6338190327
