Block,Tree.species,Treatment,Plot.ID,A.calendula,A.tomentosum,B.drummondii,B.iberidifola,B.tournefortii,Borya,Bromus.sp,C.colorata,C.eremea,C.flava,C.obionoides,Dampiera,Dichopogon,E.botrys,E.longiflora,G.nodulosus,G.tenuissima,Green.orchid,H.glabra,H.pilifera,L.arvensis,Lily,M.crystallinum,M.monstrosus,Millotia.sp,N.rotundifolia,P.airoides,P.canescens,P.gnaphaloides,P.lessonni,Perr.grass,Ptilotus.sp,R.laevis,R.pygmaea,T.cyanopetala,T.isingiana,T.ornata,Thysanotus.sp,U.anthemoides,V.myuros,W.acuminata,Wallaby.grass,Z.divaricata
10,E.loxophleba,Control,10.N.1.C,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,25,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0
10,E.loxophleba,Control,10.N.2.C,0,0,0,0,0,0,2,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0
10,E.loxophleba,Control,10.N.3.C,1,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,E.loxophleba,Control,10.N.4.C,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0
10,E.loxophleba,Control,10.N.5.C,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,E.loxophleba,Control,10.S.1.C,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0
10,E.loxophleba,Control,10.S.2.C,0,0,0,0,0,0,7,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,1,0,0
10,E.loxophleba,Control,10.S.3.C,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,7,0
10,E.loxophleba,Control,10.S.4.C,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0
10,E.loxophleba,Control,10.S.5.C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,2,4,0
11,E.loxophleba,Control,11.N.1.C,1,0,0,0,1,0,16,1,2,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0
11,E.loxophleba,Control,11.N.2.C,0,0,0,0,1,0,14,14,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0
11,E.loxophleba,Control,11.N.3.C,0,0,0,1,3,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,E.loxophleba,Control,11.N.4.C,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,E.loxophleba,Control,11.N.5.C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
11,E.loxophleba,Control,11.S.1.C,0,0,0,0,3,0,5,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,3,0,0,0,0,16,1,0,0
11,E.loxophleba,Control,11.S.2.C,1,1,0,0,3,0,5,10,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0,0,0
11,E.loxophleba,Control,11.S.3.C,0,0,0,0,0,0,4,17,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4,0,0
11,E.loxophleba,Control,11.S.4.C,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,E.loxophleba,Control,11.S.5.C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,A.acuminata,Control,13.N.1.C,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,5,0,12
13,A.acuminata,Control,13.N.2.C,1,0,8,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,13,17,0,0
13,A.acuminata,Control,13.N.3.C,0,0,0,5,0,0,10,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
13,A.acuminata,Control,13.N.4.C,0,0,0,0,0,0,20,36,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,8,6,0,0
13,A.acuminata,Control,13.N.5.C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,A.acuminata,Control,13.S.1.C,0,9,0,5,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,5,0,0
13,A.acuminata,Control,13.S.2.C,0,0,0,0,0,0,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,19,0,0,0,0,0,0,6,0,0
13,A.acuminata,Control,13.S.3.C,0,0,0,1,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,6,3,0,0,0,0,0,0,14,0,0
13,A.acuminata,Control,13.S.4.C,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0
13,A.acuminata,Control,13.S.5.C,1,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0
14,E.loxophleba,Control,14.N.1.C,0,0,0,0,2,0,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,26,0,0,1,0,0,0,0
