Block,Transect,Pair,Plot.ID,Treatment,Species,Count,Plant.no,Exotic,Date,Seed.mass.available,Value.mg,Annual.perrennial 
10,N,3,10.N.3.C,Control,A.calendula,1,1,1,27-Aug-13,1,1.116985,Annual
10,N,3,10.N.3.L,Litter,A.calendula,2,1,1,27-Aug-13,1,1.116985,Annual
10,N,3,10.N.3.L,Litter,A.calendula,2,2,1,27-Aug-13,1,1.116985,Annual
11,N,1,11.N.1.C,Control,A.calendula,1,1,1,27-Aug-13,1,1.116985,Annual
11,N,1,11.N.1.L,Litter,A.calendula,2,1,1,27-Aug-13,1,1.116985,Annual
11,N,1,11.N.1.L,Litter,A.calendula,2,2,1,27-Aug-13,1,1.116985,Annual
11,N,2,11.N.2.L,Litter,A.calendula,1,1,1,27-Aug-13,1,1.116985,Annual
11,N,3,11.N.3.L,Litter,A.calendula,3,1,1,27-Aug-13,1,1.116985,Annual
11,N,3,11.N.3.L,Litter,A.calendula,3,2,1,27-Aug-13,1,1.116985,Annual
11,N,3,11.N.3.L,Litter,A.calendula,3,3,1,27-Aug-13,1,1.116985,Annual
11,S,2,11.S.2.C,Control,A.calendula,1,1,1,27-Aug-13,1,1.116985,Annual
11,S,2,11.S.2.L,Litter,A.calendula,4,1,1,27-Aug-13,1,1.116985,Annual
11,S,2,11.S.2.L,Litter,A.calendula,4,2,1,27-Aug-13,1,1.116985,Annual
11,S,2,11.S.2.L,Litter,A.calendula,4,3,1,27-Aug-13,1,1.116985,Annual
11,S,2,11.S.2.L,Litter,A.calendula,4,4,1,27-Aug-13,1,1.116985,Annual
13,N,1,13.N.1.C,Control,A.calendula,1,1,1,27-Aug-13,1,1.116985,Annual
13,N,1,13.N.1.L,Litter,A.calendula,4,1,1,27-Aug-13,1,1.116985,Annual
13,N,1,13.N.1.L,Litter,A.calendula,4,2,1,27-Aug-13,1,1.116985,Annual
13,N,1,13.N.1.L,Litter,A.calendula,4,3,1,27-Aug-13,1,1.116985,Annual
13,N,1,13.N.1.L,Litter,A.calendula,4,4,1,27-Aug-13,1,1.116985,Annual
13,N,2,13.N.2.C,Control,A.calendula,1,1,1,27-Aug-13,1,1.116985,Annual
13,N,2,13.N.2.L,Litter,A.calendula,4,1,1,27-Aug-13,1,1.116985,Annual
13,N,2,13.N.2.L,Litter,A.calendula,4,2,1,27-Aug-13,1,1.116985,Annual
13,N,2,13.N.2.L,Litter,A.calendula,4,3,1,27-Aug-13,1,1.116985,Annual
13,N,2,13.N.2.L,Litter,A.calendula,4,4,1,27-Aug-13,1,1.116985,Annual
13,N,3,13.N.3.L,Litter,A.calendula,7,1,1,27-Aug-13,1,1.116985,Annual
13,N,3,13.N.3.L,Litter,A.calendula,7,2,1,27-Aug-13,1,1.116985,Annual
13,N,3,13.N.3.L,Litter,A.calendula,7,3,1,27-Aug-13,1,1.116985,Annual
13,N,3,13.N.3.L,Litter,A.calendula,7,4,1,27-Aug-13,1,1.116985,Annual
13,N,3,13.N.3.L,Litter,A.calendula,7,5,1,27-Aug-13,1,1.116985,Annual
13,N,3,13.N.3.L,Litter,A.calendula,7,6,1,27-Aug-13,1,1.116985,Annual
13,N,3,13.N.3.L,Litter,A.calendula,7,7,1,27-Aug-13,1,1.116985,Annual
13,N,5,13.N.5.L,Litter,A.calendula,3,1,1,27-Aug-13,1,1.116985,Annual
13,N,5,13.N.5.L,Litter,A.calendula,3,2,1,27-Aug-13,1,1.116985,Annual
13,N,5,13.N.5.L,Litter,A.calendula,3,3,1,27-Aug-13,1,1.116985,Annual
13,S,4,13.S.4.C,Control,A.calendula,1,1,1,27-Aug-13,1,1.116985,Annual
13,S,5,13.S.5.C,Control,A.calendula,1,1,1,27-Aug-13,1,1.116985,Annual
13,S,5,13.S.5.L,Litter,A.calendula,1,1,1,27-Aug-13,1,1.116985,Annual
14,N,1,14.N.1.L,Litter,A.calendula,1,1,1,27-Aug-13,1,1.116985,Annual
14,N,3,14.N.3.L,Litter,A.calendula,1,1,1,27-Aug-13,1,1.116985,Annual
16,N,1,16.N.1.C,Control,A.calendula,14,1,1,27-Aug-13,1,1.116985,Annual
16,N,1,16.N.1.C,Control,A.calendula,14,2,1,27-Aug-13,1,1.116985,Annual
16,N,1,16.N.1.C,Control,A.calendula,14,3,1,27-Aug-13,1,1.116985,Annual
16,N,1,16.N.1.C,Control,A.calendula,14,4,1,27-Aug-13,1,1.116985,Annual
16,N,1,16.N.1.C,Control,A.calendula,14,5,1,27-Aug-13,1,1.116985,Annual
16,N,1,16.N.1.C,Control,A.calendula,14,6,1,27-Aug-13,1,1.116985,Annual
16,N,1,16.N.1.C,Control,A.calendula,14,7,1,27-Aug-13,1,1.116985,Annual
16,N,1,16.N.1.C,Control,A.calendula,14,8,1,27-Aug-13,1,1.116985,Annual
16,N,1,16.N.1.C,Control,A.calendula,14,9,1,27-Aug-13,1,1.116985,Annual
16,N,1,16.N.1.C,Control,A.calendula,14,10,1,27-Aug-13,1,1.116985,Annual
16,N,1,16.N.1.C,Control,A.calendula,14,11,1,27-Aug-13,1,1.116985,Annual
16,N,1,16.N.1.C,Control,A.calendula,14,12,1,27-Aug-13,1,1.116985,Annual
16,N,1,16.N.1.C,Control,A.calendula,14,13,1,27-Aug-13,1,1.116985,Annual
16,N,1,16.N.1.C,Control,A.calendula,14,14,1,27-Aug-13,1,1.116985,Annual
