Block,Transect,Pair,Plot.ID,Treatment,Species,Count,Exotic.count,Exotic,Date,Focal.species,Growth.form,Tot.annual.density,Tot.ex.annual.density,Tot.nat.annual.density,Plot.richness.annual,Plot.exotic.richness,Plot.native.richness,Tot.plant.density,Tot.exotic.density,Plot.richness,Plot.exotic.richness,Plot.native.richness
10,N,1,10.N.1.C,Control,B.tournefortii,3,3,1,27/08/2013,1,Annual.forb,19,15,4,7,5,2,45,15,9,5,4
10,N,1,10.N.1.C,Control,Bromus.sp,9,9,1,27/08/2013,1,Annual.forb,,,,,,,45,15,9,5,4
10,N,1,10.N.1.C,Control,H.glabra,1,1,1,27/08/2013,1,Annual.forb,,,,,,,45,15,9,5,4
10,N,1,10.N.1.C,Control,L.arvensis,1,1,1,27/08/2013,1,Annual.forb,,,,,,,45,15,9,5,4
10,N,1,10.N.1.C,Control,P.lessonni,2,0,0,27/08/2013,1,Annual.forb,,,,,,,45,15,9,5,4
10,N,1,10.N.1.C,Control,U.anthemoides,1,1,1,27/08/2013,1,Annual.forb,,,,,,,45,15,9,5,4
10,N,1,10.N.1.C,Control,W.acuminata,2,0,0,27/08/2013,1,Annual.forb,,,,,,,45,15,9,5,4
10,N,1,10.N.1.L,Litter,B.tournefortii,5,5,1,27/08/2013,1,Annual.forb,19,9,20,7,3,4,33,9,9,3,6
10,N,1,10.N.1.L,Litter,E.botrys,1,1,1,27/08/2013,1,Annual.forb,,,,,,,33,9,9,3,6
10,N,1,10.N.1.L,Litter,Millotia.sp,5,0,0,27/08/2013,1,Annual.forb,,,,,,,33,9,9,3,6
10,N,1,10.N.1.L,Litter,P.gnaphaloides,1,0,0,27/08/2013,1,Annual.forb,,,,,,,33,9,9,3,6
10,N,1,10.N.1.L,Litter,W.acuminata,2,0,0,27/08/2013,1,Annual.forb,,,,,,,33,9,9,3,6
10,N,1,10.N.1.L,Litter,C.eremea,2,0,0,27/08/2013,0,Annual.forb,,,,,,,33,9,9,3,6
10,N,1,10.N.1.L,Litter,Bromus.sp,3,3,1,27/08/2013,1,Annual.grass,,,,,,,33,9,9,3,6
