Block,Transect,Pair,Plot.ID,Treatment,Species,Count,Exotic.count,Exotic,Date
10,N,1,10.N.1.C,Control,B.tournefortii,3,3,1,27-Aug-13
10,N,1,10.N.1.C,Control,Bromus.sp,9,9,1,27-Aug-13
10,N,1,10.N.1.C,Control,Green.orchid,25,0,0,27-Aug-13
10,N,1,10.N.1.C,Control,H.glabra,1,1,1,27-Aug-13
10,N,1,10.N.1.C,Control,L.arvensis,1,1,1,27-Aug-13
10,N,1,10.N.1.C,Control,P.lessonni,2,0,0,27-Aug-13
10,N,1,10.N.1.C,Control,Perr.grass,1,0,0,27-Aug-13
10,N,1,10.N.1.C,Control,U.anthemoides,1,1,1,27-Aug-13
10,N,1,10.N.1.C,Control,W.acuminata,2,0,0,27-Aug-13
10,N,1,10.N.1.L,Litter,B.tournefortii,5,5,1,27-Aug-13
10,N,1,10.N.1.L,Litter,Bromus.sp,3,3,1,27-Aug-13
10,N,1,10.N.1.L,Litter,C.eremea,2,0,0,27-Aug-13
10,N,1,10.N.1.L,Litter,E.botrys,1,1,1,27-Aug-13
10,N,1,10.N.1.L,Litter,Green.orchid,12,0,0,27-Aug-13
10,N,1,10.N.1.L,Litter,Millotia.sp,5,0,0,27-Aug-13
10,N,1,10.N.1.L,Litter,P.gnaphaloides,1,0,0,27-Aug-13
10,N,1,10.N.1.L,Litter,Perr.grass,2,0,0,27-Aug-13
10,N,1,10.N.1.L,Litter,W.acuminata,2,0,0,27-Aug-13
10,N,2,10.N.2.C,Control,Bromus.sp,2,2,1,27-Aug-13
10,N,2,10.N.2.C,Control,C.eremea,7,0,0,27-Aug-13
10,N,2,10.N.2.C,Control,E.botrys,1,1,1,27-Aug-13
10,N,2,10.N.2.C,Control,Millotia.sp,3,0,0,27-Aug-13
10,N,2,10.N.2.C,Control,P.airoides,12,12,1,27-Aug-13
10,N,2,10.N.2.C,Control,T.ornata,1,0,0,27-Aug-13
10,N,2,10.N.2.C,Control,T.isingiana,1,0,0,27-Aug-13
10,N,2,10.N.2.C,Control,V.myuros,2,2,1,27-Aug-13
10,N,2,10.N.2.C,Control,W.acuminata,2,0,0,27-Aug-13
10,N,2,10.N.2.L,Litter,B.tournefortii,1,1,1,27-Aug-13
10,N,2,10.N.2.L,Litter,Bromus.sp,5,5,1,27-Aug-13
10,N,2,10.N.2.L,Litter,C.eremea,2,0,0,27-Aug-13
10,N,2,10.N.2.L,Litter,H.pilifera,2,0,0,27-Aug-13
10,N,2,10.N.2.L,Litter,Millotia.sp,1,0,0,27-Aug-13
10,N,2,10.N.2.L,Litter,P.canescens,2,0,0,27-Aug-13
10,N,2,10.N.2.L,Litter,Perr.grass,4,0,0,27-Aug-13
10,N,2,10.N.2.L,Litter,U.anthemoides,1,1,1,27-Aug-13
10,N,3,10.N.3.C,Control,A.calendula,1,1,1,27-Aug-13
10,N,3,10.N.3.C,Control,Bromus.sp,18,18,1,27-Aug-13
10,N,3,10.N.3.C,Control,E.botrys,1,1,1,27-Aug-13
10,N,3,10.N.3.C,Control,Millotia.sp,1,0,0,27-Aug-13
10,N,3,10.N.3.C,Control,W.acuminata,1,0,0,27-Aug-13
10,N,3,10.N.3.L,Litter,A.calendula,2,2,1,27-Aug-13
10,N,3,10.N.3.L,Litter,B.tournefortii,2,2,1,27-Aug-13
10,N,3,10.N.3.L,Litter,Bromus.sp,16,16,1,27-Aug-13
10,N,3,10.N.3.L,Litter,C.eremea,11,0,0,27-Aug-13
10,N,3,10.N.3.L,Litter,L.arvensis,2,2,1,27-Aug-13
10,N,3,10.N.3.L,Litter,Millotia.sp,1,0,0,27-Aug-13
10,N,4,10.N.4.C,Control,U.anthemoides,7,7,1,27-Aug-13
10,N,4,10.N.4.C,Control,V.myuros,1,1,1,27-Aug-13
10,N,4,10.N.4.C,Control,B.tournefortii,3,3,1,27-Aug-13
10,N,4,10.N.4.C,Control,C.eremea,1,0,0,27-Aug-13
10,N,4,10.N.4.C,Control,Millotia.sp,2,0,0,27-Aug-13
10,N,4,10.N.4.C,Control,T.ornata,1,0,0,27-Aug-13
10,N,4,10.N.4.L,Litter,C.eremea,1,0,0,27-Aug-13
10,N,4,10.N.4.L,Litter,L.arvensis,3,3,1,27-Aug-13
10,N,4,10.N.4.L,Litter,Millotia.sp,9,0,0,27-Aug-13
10,N,4,10.N.4.L,Litter,P.canescens,1,0,0,27-Aug-13
10,N,4,10.N.4.L,Litter,T.isingiana,1,0,0,27-Aug-13
10,N,4,10.N.4.L,Litter,U.anthemoides,3,3,1,27-Aug-13
10,N,5,10.N.5.C,Control,L.arvensis,21,21,1,27-Aug-13
10,N,5,10.N.5.C,Control,M.crystallinum,1,1,1,27-Aug-13
10,N,5,10.N.5.C,Control,Millotia.sp,45,0,0,27-Aug-13
10,N,5,10.N.5.C,Control,U.anthemoides,1,1,1,27-Aug-13
10,N,5,10.N.5.C,Control,B.tournefortii,1,1,1,27-Aug-13
10,N,5,10.N.5.C,Control,H.glabra,2,2,1,27-Aug-13
10,N,5,10.N.5.L,Litter,B.tournefortii,2,2,1,27-Aug-13
10,N,5,10.N.5.L,Litter,Millotia.sp,2,0,0,27-Aug-13
10,N,5,10.N.5.L,Litter,T.isingiana,1,0,0,27-Aug-13
10,S,1,10.S.1.C,Control,C.colorata,5,0,0,27-Aug-13
10,S,1,10.S.1.C,Control,Perr.grass,3,0,0,27-Aug-13
10,S,1,10.S.1.C,Control,W.acuminata,6,0,0,27-Aug-13
10,S,1,10.S.1.C,Control,Bromus.sp,3,3,1,27-Aug-13
10,S,1,10.S.1.L,Litter,B.tournefortii,1,1,1,27-Aug-13
10,S,1,10.S.1.L,Litter,Bromus.sp,7,7,1,27-Aug-13
10,S,1,10.S.1.L,Litter,C.colorata,3,0,0,27-Aug-13
10,S,1,10.S.1.L,Litter,C.eremea,4,0,0,27-Aug-13
10,S,2,10.S.2.C,Control,Bromus.sp,7,7,1,27-Aug-13
10,S,2,10.S.2.C,Control,C.colorata,17,0,0,27-Aug-13
10,S,2,10.S.2.C,Control,C.eremea,4,0,0,27-Aug-13
10,S,2,10.S.2.C,Control,Perr.grass,3,0,0,27-Aug-13
10,S,2,10.S.2.C,Control,T.isingiana,2,0,0,27-Aug-13
10,S,2,10.S.2.C,Control,U.anthemoides,1,1,1,27-Aug-13
10,S,2,10.S.2.C,Control,W.acuminata,1,0,0,27-Aug-13
10,S,2,10.S.2.L,Litter,Bromus.sp,12,12,1,27-Aug-13
10,S,2,10.S.2.L,Litter,C.colorata,2,0,0,27-Aug-13
10,S,2,10.S.2.L,Litter,C.eremea,1,0,0,27-Aug-13
10,S,2,10.S.2.L,Litter,E.botrys,2,2,1,27-Aug-13
10,S,2,10.S.2.L,Litter,P.lessonni,2,0,0,27-Aug-13
10,S,2,10.S.2.L,Litter,T.isingiana,14,0,0,27-Aug-13
10,S,2,10.S.2.L,Litter,U.anthemoides,1,1,1,27-Aug-13
10,S,2,10.S.2.L,Litter,W.acuminata,1,0,0,27-Aug-13
10,S,3,10.S.3.C,Control,Wallaby.grass,7,0,0,27-Aug-13
10,S,3,10.S.3.C,Control,C.eremea,1,0,0,27-Aug-13
10,S,3,10.S.3.C,Control,E.botrys,1,1,1,27-Aug-13
10,S,3,10.S.3.C,Control,L.arvensis,2,2,1,27-Aug-13
10,S,3,10.S.3.C,Control,N.rotundifolia,2,NA,NA,27-Aug-13
10,S,3,10.S.3.C,Control,U.anthemoides,5,5,1,27-Aug-13
10,S,3,10.S.3.C,Control,W.acuminata,3,0,0,27-Aug-13
10,S,3,10.S.3.L,Litter,B.tournefortii,2,2,1,27-Aug-13
10,S,3,10.S.3.L,Litter,C.eremea,1,0,0,27-Aug-13
10,S,3,10.S.3.L,Litter,W.acuminata,1,0,0,27-Aug-13
10,S,3,10.S.3.L,Litter,Wallaby.grass,6,0,0,27-Aug-13
10,S,4,10.S.4.C,Control,Wallaby.grass,12,0,0,27-Aug-13
10,S,4,10.S.4.C,Control,B.tournefortii,1,1,1,27-Aug-13
10,S,4,10.S.4.C,Control,E.botrys,1,1,1,27-Aug-13
10,S,4,10.S.4.C,Control,Millotia.sp,6,0,0,27-Aug-13
10,S,4,10.S.4.C,Control,U.anthemoides,6,6,1,27-Aug-13
10,S,4,10.S.4.L,Litter,B.tournefortii,2,2,1,27-Aug-13
10,S,4,10.S.4.L,Litter,C.eremea,2,0,0,27-Aug-13
10,S,4,10.S.4.L,Litter,E.botrys,1,1,1,27-Aug-13
10,S,4,10.S.4.L,Litter,Millotia.sp,1,0,0,27-Aug-13
10,S,4,10.S.4.L,Litter,Thysanotus.sp,1,0,0,27-Aug-13
10,S,4,10.S.4.L,Litter,U.anthemoides,3,3,1,27-Aug-13
10,S,4,10.S.4.L,Litter,Wallaby.grass,2,0,0,27-Aug-13
10,S,5,10.S.5.C,Control,Millotia.sp,14,0,0,27-Aug-13
10,S,5,10.S.5.C,Control,Thysanotus.sp,3,0,0,27-Aug-13
10,S,5,10.S.5.C,Control,U.anthemoides,8,8,1,27-Aug-13
10,S,5,10.S.5.C,Control,W.acuminata,2,0,0,27-Aug-13
10,S,5,10.S.5.C,Control,Wallaby.grass,4,0,0,27-Aug-13
10,S,5,10.S.5.L,Litter,E.botrys,1,1,1,27-Aug-13
10,S,5,10.S.5.L,Litter,E.longiflora,8,8,1,27-Aug-13
10,S,5,10.S.5.L,Litter,Millotia.sp,1,0,0,27-Aug-13
10,S,5,10.S.5.L,Litter,U.anthemoides,2,2,1,27-Aug-13
10,S,5,10.S.5.L,Litter,Wallaby.grass,15,0,0,27-Aug-13
11,N,1,11.N.1.C,Control,A.calendula,1,1,1,27-Aug-13
11,N,1,11.N.1.C,Control,B.tournefortii,1,1,1,27-Aug-13
11,N,1,11.N.1.C,Control,Bromus.sp,16,16,1,27-Aug-13
11,N,1,11.N.1.C,Control,C.colorata,1,0,0,27-Aug-13
11,N,1,11.N.1.C,Control,C.eremea,2,0,0,27-Aug-13
11,N,1,11.N.1.C,Control,H.glabra,2,2,1,27-Aug-13
11,N,1,11.N.1.C,Control,L.arvensis,8,8,1,27-Aug-13
11,N,1,11.N.1.C,Control,Millotia.sp,1,0,0,27-Aug-13
11,N,1,11.N.1.C,Control,P.canescens,1,0,0,27-Aug-13
11,N,1,11.N.1.C,Control,T.isingiana,14,0,0,27-Aug-13
11,N,1,11.N.1.C,Control,U.anthemoides,1,1,1,27-Aug-13
11,N,1,11.N.1.L,Litter,A.calendula,2,2,1,27-Aug-13
11,N,1,11.N.1.L,Litter,B.iberidifola,1,0,0,27-Aug-13
11,N,1,11.N.1.L,Litter,B.tournefortii,2,2,1,27-Aug-13
11,N,1,11.N.1.L,Litter,Bromus.sp,6,6,1,27-Aug-13
11,N,1,11.N.1.L,Litter,H.glabra,1,1,1,27-Aug-13
11,N,1,11.N.1.L,Litter,L.arvensis,1,1,1,27-Aug-13
11,N,1,11.N.1.L,Litter,Millotia.sp,2,0,0,27-Aug-13
11,N,1,11.N.1.L,Litter,Perr.grass,2,0,0,27-Aug-13
11,N,1,11.N.1.L,Litter,T.isingiana,1,0,0,27-Aug-13
11,N,1,11.N.1.L,Litter,U.anthemoides,4,4,1,27-Aug-13
11,N,2,11.N.2.C,Control,B.tournefortii,1,1,1,27-Aug-13
11,N,2,11.N.2.C,Control,Bromus.sp,14,14,1,27-Aug-13
11,N,2,11.N.2.C,Control,C.colorata,14,0,0,27-Aug-13
11,N,2,11.N.2.C,Control,C.eremea,3,0,0,27-Aug-13
11,N,2,11.N.2.C,Control,L.arvensis,1,1,1,27-Aug-13
11,N,2,11.N.2.C,Control,Ptilotus.sp,1,0,0,27-Aug-13
11,N,2,11.N.2.C,Control,T.isingiana,13,0,0,27-Aug-13
11,N,2,11.N.2.L,Litter,A.calendula,1,1,1,27-Aug-13
11,N,2,11.N.2.L,Litter,B.tournefortii,1,1,1,27-Aug-13
11,N,2,11.N.2.L,Litter,Bromus.sp,15,15,1,27-Aug-13
11,N,2,11.N.2.L,Litter,C.eremea,3,0,0,27-Aug-13
11,N,2,11.N.2.L,Litter,H.glabra,3,3,1,27-Aug-13
11,N,2,11.N.2.L,Litter,Millotia.sp,2,0,0,27-Aug-13
11,N,2,11.N.2.L,Litter,P.canescens,1,0,0,27-Aug-13
