Block,Transect,Pair,Plot.ID,Treatment,Species,Count,Exotic.count,Exotic,Date,Growth.form,Plant.rep,Plant.biomass,Total.biomass.g,Mean.biomass.perindivid.g,Dist.to.tree,Mean.SM,Meancanopy.NWE,t1.phosphorus,t2.phosphorus,t1.nitrate,t2.nitrate,t1.ph.h2o,t2.ph.h2o
10,N,3,10.N.3.C,Control,A.calendula,1,1,1,2-Oct-13,Annual.forb,1,1.5156,1.5156,1.5156,7.5,4,42.10666667,7,2,8,5,7.1,7.1
10,N,3,10.N.3.L,Litter,A.calendula,2,2,1,2-Oct-13,Annual.forb,NA,NA,3.36,1.68,7.5,4,45.57333333,6,3,7,3,6.7,6.5
11,N,1,11.N.1.C,Control,A.calendula,1,1,1,4-Oct-13,Annual.forb,1,0.4074,0.4074,0.4074,13.6,3.666666667,26.85333333,4,2,6,3,6.3,6.8
11,N,1,11.N.1.L,Litter,A.calendula,2,2,1,4-Oct-13,Annual.forb,1,0.1405,1.3798,0.6899,13.6,3.666666667,15.41333333,4,3,7,4,6.4,6.2
11,N,1,11.N.1.L,Litter,A.calendula,2,2,1,4-Oct-13,Annual.forb,2,1.2393,1.3798,0.6899,13.6,3.666666667,15.41333333,4,3,7,4,6.4,6.2
11,N,2,11.N.2.L,Litter,A.calendula,1,1,1,4-Oct-13,Annual.forb,1,1.077,1.077,1.077,12.1,4,18.53333333,4,2,6,4,6.5,6.3
11,N,3,11.N.3.L,Litter,A.calendula,3,3,1,4-Oct-13,Annual.forb,NA,NA,NA,NA,10.3,3.666666667,16.8,6,3,16,3,6.2,6.3
11,N,4,11.N.4.L,Control,A.calendula,3,3,1,4-Oct-13,Annual.forb,NA,NA,5.13,1.71,5.6,3,69.84,11,10,27,25,5.9,5.9
11,S,2,11.S.2.C,Control,A.calendula,2,2,1,4-Oct-13,Annual.forb,1,0.0834,0.135,0.0675,11.2,3.666666667,6.053333333,3,2,3,2,5.9,5.7
11,S,2,11.S.2.C,Control,A.calendula,2,2,1,4-Oct-13,Annual.forb,2,0.0516,0.135,0.0675,11.2,3.666666667,6.053333333,3,2,3,2,5.9,5.7
11,S,2,11.S.2.L,Litter,A.calendula,4,4,1,4-Oct-13,Annual.forb,1,0.1223,0.6331,0.158275,11.2,3.666666667,7.786666667,3,4,4,4,6,5.8
11,S,2,11.S.2.L,Litter,A.calendula,4,4,1,4-Oct-13,Annual.forb,2,0.1356,0.6331,0.158275,11.2,3.666666667,7.786666667,3,4,4,4,6,5.8
11,S,2,11.S.2.L,Litter,A.calendula,4,4,1,4-Oct-13,Annual.forb,3,0.3137,0.6331,0.158275,11.2,3.666666667,7.786666667,3,4,4,4,6,5.8
11,S,2,11.S.2.L,Litter,A.calendula,4,4,1,4-Oct-13,Annual.forb,4,0.0615,0.6331,0.158275,11.2,3.666666667,7.786666667,3,4,4,4,6,5.8
11,S,4,11.S.4.L,Litter,A.calendula,1,1,1,4-Oct-13,Annual.forb,1,0.0538,0.0538,0.0538,5.3,4.333333333,41.06666667,7,3,6,1,5.7,5.7
13,N,1,13.N.1.C,Control,A.calendula,2,2,1,7-Oct-13,Annual.forb,1,0.5675,2.4295,1.21475,6.9,4.666666667,0.16,2,2,5,2,5.7,5.9
13,N,1,13.N.1.C,Control,A.calendula,2,2,1,7-Oct-13,Annual.forb,2,1.862,2.4295,1.21475,6.9,4.666666667,0.16,2,2,5,2,5.7,5.9
13,N,1,13.N.1.L,Litter,A.calendula,4,4,1,7-Oct-13,Annual.forb,NA,NA,1.31,0.3275,6.9,5,0.16,2,2,8,3,5.9,5.5
13,N,2,13.N.2.C,Control,A.calendula,1,1,1,7-Oct-13,Annual.forb,1,3.27,3.27,3.27,5.4,4.666666667,0.16,3,3,8,14,5.6,5.1
13,N,2,13.N.2.L,Litter,A.calendula,4,4,1,NA,Annual.forb,NA,NA,NA,NA,5.4,5,0.16,2,2,3,2,6.1,5.6
13,N,3,13.N.3.C,Control,A.calendula,1,1,1,6-Oct-13,Annual.forb,1,0.8972,0.8972,0.8972,3.9,4.333333333,0.853333333,4,2,7,2,5.5,5.7
13,N,3,13.N.3.L,Litter,A.calendula,9,9,1,6-Oct-13,Annual.forb,NA,NA,5.1111,0.5679,3.9,5,0.16,4,2,7,4,6.3,5.3
13,N,4,13.N.4.C,Control,A.calendula,1,1,1,NA,Annual.forb,NA,NA,NA,NA,2.4,4,5.013333333,2,3,4,5,5.5,5.3
13,N,5,13.N.5.L,Litter,A.calendula,3,3,1,6-Oct-13,Annual.forb,NA,NA,18.75,6.25,0.9,5,71.57333333,2,3,4,4,4.9,5.1
13,S,4,13.S.4.C,Control,A.calendula,1,1,1,6-Oct-13,Annual.forb,1,0.464,0.464,0.464,2.6,4.666666667,61.17333333,2,2,1,3,5.9,4.9
13,S,5,13.S.5.C,Control,A.calendula,1,1,1,6-Oct-13,Annual.forb,1,5.24,5.24,5.24,0.9,6.333333333,60.82666667,3,3,1,2,5,5.3
13,S,5,13.S.5.L,Litter,A.calendula,1,1,1,6-Oct-13,Annual.forb,1,11.418,11.418,11.418,0.9,6.666666667,91.33333333,4,2,6,2,5.1,4.9
14,N,3,14.N.3.L,Litter,A.calendula,1,1,1,5-Oct-13,Annual.forb,1,0.1784,0.1784,0.1784,9,3,23.73333333,6,4,5,5,6.3,6.1
16,N,1,16.N.1.C,Control,A.calendula,3,3,1,1-Oct-13,Annual.forb,NA,NA,6.58,2.193333333,9,4.666666667,0.16,7,8,15,3,5.8,5.8
16,N,1,16.N.1.L,Litter,A.calendula,3,3,1,1-Oct-13,Annual.forb,NA,NA,11.93,3.976666667,9,5.333333333,0.16,7,4,11,7,6.5,6.3
16,N,2,16.N.2.L,Litter,A.calendula,3,3,1,1-Oct-13,Annual.forb,NA,NA,20.85,6.95,7,4.333333333,0.16,6,3,13,6,5.8,5.8
16,N,3,16.N.3.C,Control,A.calendula,6,6,1,1-Oct-13,Annual.forb,NA,NA,5.66,0.943333333,5,4.333333333,0.16,4,3,10,6,5.4,5.7
16,N,3,16.N.3.L,Litter,A.calendula,11,11,1,1-Oct-13,Annual.forb,NA,NA,19.01,1.728181818,5,4.333333333,0.16,5,4,7,9,5.7,5.8
16,N,4,16.N.4.C,Control,A.calendula,2,2,1,1-Oct-13,Annual.forb,NA,NA,3.43,1.715,3,3.666666667,32.05333333,3,2,2,2,5.3,5.7
16,N,4,16.N.4.L,Litter,A.calendula,4,4,1,1-Oct-13,Annual.forb,NA,NA,5.65,1.4125,3,4,35.52,4,4,5,3,5.5,5.3
16,N,5,16.N.5.C,Control,A.calendula,1,1,1,1-Oct-13,Annual.forb,1,1.163,1.163,1.163,1,4,93.06666667,6,9,3,23,5.4,5.4
16,N,5,16.N.5.L,Litter,A.calendula,5,5,1,1-Oct-13,Annual.forb,NA,NA,20.63,4.126,1,3.333333333,92.37333333,5,9,9,59,5.7,5.5
16,S,4,16.S.4.L,Litter,A.calendula,1,1,1,1-Oct-13,Annual.forb,1,0.3334,0.3334,0.3334,3,5.333333333,96.53333333,4,2,2,5,5.9,5.9
11,S,2,11.S.2.C,Control,A.tomentosus,1,0,0,4-Oct-13,Annual.forb,1,0.054,0.054,0.054,11.2,3.666666667,6.053333333,3,2,3,2,5.9,5.7
11,S,2,11.S.2.L,Litter,A.tomentosus,11,0,0,4-Oct-13,Annual.forb,NA,NA,0.2465,0.022409091,11.2,3.666666667,7.786666667,3,4,4,4,6,5.8
13,N,1,13.N.1.C,Control,A.tomentosus,3,0,0,7-Oct-13,Annual.forb,1,0.1061,0.1865,0.062166667,6.9,4.666666667,0.16,2,2,5,2,5.7,5.9
13,N,1,13.N.1.C,Control,A.tomentosus,3,0,0,7-Oct-13,Annual.forb,2,0.0741,0.1865,0.062166667,6.9,4.666666667,0.16,2,2,5,2,5.7,5.9
13,N,1,13.N.1.C,Control,A.tomentosus,3,0,0,7-Oct-13,Annual.forb,3,0.0063,0.1865,0.062166667,6.9,4.666666667,0.16,2,2,5,2,5.7,5.9
13,N,1,13.N.1.L,Litter,A.tomentosus,3,0,0,7-Oct-13,Annual.forb,1,0.0847,0.1786,0.059533333,6.9,5,0.16,2,2,8,3,5.9,5.5
13,N,1,13.N.1.L,Litter,A.tomentosus,3,0,0,7-Oct-13,Annual.forb,2,0.0678,0.1786,0.059533333,6.9,5,0.16,2,2,8,3,5.9,5.5
13,N,1,13.N.1.L,Litter,A.tomentosus,3,0,0,7-Oct-13,Annual.forb,3,0.0261,0.1786,0.059533333,6.9,5,0.16,2,2,8,3,5.9,5.5
13,N,2,13.N.2.L,Litter,A.tomentosus,2,0,0,NA,Annual.forb,NA,NA,NA,NA,5.4,5,0.16,2,2,3,2,6.1,5.6
13,N,3,13.N.3.L,Litter,A.tomentosus,2,0,0,6-Oct-13,Annual.forb,1,0.0494,0.0773,0.03865,3.9,5,0.16,4,2,7,4,6.3,5.3
13,N,3,13.N.3.L,Litter,A.tomentosus,2,0,0,6-Oct-13,Annual.forb,2,0.0279,0.0773,0.03865,3.9,5,0.16,4,2,7,4,6.3,5.3
13,S,1,13.S.1.C,Control,A.tomentosus,15,0,0,6-Oct-13,Annual.forb,NA,NA,1.3583,0.090553333,7.1,3.666666667,2.24,3,2,1,5,5.6,5.4
13,S,1,13.S.1.L,Litter,A.tomentosus,3,0,0,6-Oct-13,Annual.forb,1,0.0224,0.0463,0.015433333,7.1,5,2.24,5,2,9,2,5.6,5.6
13,S,1,13.S.1.L,Litter,A.tomentosus,3,0,0,6-Oct-13,Annual.forb,2,0.0156,0.0463,0.015433333,7.1,5,2.24,5,2,9,2,5.6,5.6
13,S,1,13.S.1.L,Litter,A.tomentosus,3,0,0,6-Oct-13,Annual.forb,3,0.0083,0.0463,0.015433333,7.1,5,2.24,5,2,9,2,5.6,5.6
13,S,2,13.S.2.L,Litter,A.tomentosus,4,0,0,6-Oct-13,Annual.forb,1,0.0368,0.1323,0.033075,5.6,4.333333333,6.4,2,2,2,2,5.5,5.6
13,S,2,13.S.2.L,Litter,A.tomentosus,4,0,0,6-Oct-13,Annual.forb,2,0.051,0.1323,0.033075,5.6,4.333333333,6.4,2,2,2,2,5.5,5.6
13,S,2,13.S.2.L,Litter,A.tomentosus,4,0,0,6-Oct-13,Annual.forb,3,0.0222,0.1323,0.033075,5.6,4.333333333,6.4,2,2,2,2,5.5,5.6
13,S,2,13.S.2.L,Litter,A.tomentosus,4,0,0,6-Oct-13,Annual.forb,4,0.0223,0.1323,0.033075,5.6,4.333333333,6.4,2,2,2,2,5.5,5.6
13,S,3,13.S.3.L,Litter,A.tomentosus,2,0,0,6-Oct-13,Annual.forb,1,0.0432,0.2126,0.1063,4.1,5.333333333,18.18666667,2,2,3,2,5.7,5.6
13,S,3,13.S.3.L,Litter,A.tomentosus,2,0,0,6-Oct-13,Annual.forb,2,0.1694,0.2126,0.1063,4.1,5.333333333,18.18666667,2,2,3,2,5.7,5.6
14,N,2,14.N.2.C,Control,A.tomentosus,2,0,0,5-Oct-13,Annual.forb,1,0.0129,0.2888,0.1444,11,3,7.44,4,10,2,3,6.1,6
14,N,2,14.N.2.C,Control,A.tomentosus,2,0,0,5-Oct-13,Annual.forb,2,0.2759,0.2888,0.1444,11,3,7.44,4,10,2,3,6.1,6
14,N,2,14.N.2.L,Litter,A.tomentosus,1,0,0,5-Oct-13,Annual.forb,1,0.0687,0.0687,0.0687,11,3,24.08,3,2,1,2,6.3,6.1
13,N,2,13.N.2.C,Control,B.drummondii,8,0,0,7-Oct-13,Annual.forb,NA,NA,0.6102,0.076275,5.4,4.666666667,0.16,3,3,8,14,5.6,5.1
13,N,2,13.N.2.L,Litter,B.drummondii,1,0,0,6-Oct-13,Annual.forb,1,0.0403,0.0403,0.0403,5.4,5,0.16,2,2,3,2,6.1,5.6
13,N,3,13.N.3.L,Litter,B.drummondii,15,0,0,6-Oct-13,Annual.forb,NA,NA,1.0749,0.07166,3.9,5,0.16,4,2,7,4,6.3,5.3
13,N,5,13.N.5.L,Litter,B.drummondii,2,0,0,6-Oct-13,Annual.forb,1,0.012,0.0263,0.01315,0.9,5,71.57333333,2,3,4,4,4.9,5.1
13,N,5,13.N.5.L,Litter,B.drummondii,2,0,0,6-Oct-13,Annual.forb,2,0.0143,0.0263,0.01315,0.9,5,71.57333333,2,3,4,4,4.9,5.1
11,N,3,11.N.3.C,Control,B.iberidifolia,1,0,0,4-Oct-13,Annual.forb,1,0.0204,0.0204,0.0204,10.3,3,22.34666667,6,3,13,2,6.1,6.4
11,S,1,11.S.1.C,Control,B.iberidifolia,1,0,0,4-Oct-13,Annual.forb,1,0.0934,0.0934,0.0934,13.2,4,5.706666667,4,2,3,3,5.8,5.6
11,S,1,11.S.1.L,Litter,B.iberidifolia,19,0,0,4-Oct-13,Annual.forb,NA,NA,0.1729,0.0091,13.2,4,2.933333333,3,2,3,2,6.2,5.8
13,N,1,13.N.1.C,Control,B.iberidifolia,3,0,0,7-Oct-13,Annual.forb,1,0.0353,0.1064,0.035466667,6.9,4.666666667,0.16,2,2,5,2,5.7,5.9
13,N,1,13.N.1.C,Control,B.iberidifolia,3,0,0,7-Oct-13,Annual.forb,2,0.0299,0.1064,0.035466667,6.9,4.666666667,0.16,2,2,5,2,5.7,5.9
13,N,1,13.N.1.C,Control,B.iberidifolia,3,0,0,7-Oct-13,Annual.forb,3,0.0412,0.1064,0.035466667,6.9,4.666666667,0.16,2,2,5,2,5.7,5.9
13,N,1,13.N.1.L,Litter,B.iberidifolia,8,0,0,7-Oct-13,Annual.forb,1,0.0415,0.2142,0.026775,6.9,5,0.16,2,2,8,3,5.9,5.5
13,N,1,13.N.1.L,Litter,B.iberidifolia,8,0,0,7-Oct-13,Annual.forb,2,0.0332,0.2142,0.026775,6.9,5,0.16,2,2,8,3,5.9,5.5
13,N,1,13.N.1.L,Litter,B.iberidifolia,8,0,0,7-Oct-13,Annual.forb,3,0.0191,0.2142,0.026775,6.9,5,0.16,2,2,8,3,5.9,5.5
13,N,1,13.N.1.L,Litter,B.iberidifolia,8,0,0,7-Oct-13,Annual.forb,4,0.0108,0.2142,0.026775,6.9,5,0.16,2,2,8,3,5.9,5.5
13,N,1,13.N.1.L,Litter,B.iberidifolia,8,0,0,7-Oct-13,Annual.forb,5,0.0104,0.2142,0.026775,6.9,5,0.16,2,2,8,3,5.9,5.5
13,N,1,13.N.1.L,Litter,B.iberidifolia,8,0,0,7-Oct-13,Annual.forb,6,0.0283,0.2142,0.026775,6.9,5,0.16,2,2,8,3,5.9,5.5
13,N,1,13.N.1.L,Litter,B.iberidifolia,8,0,0,7-Oct-13,Annual.forb,7,0.0496,0.2142,0.026775,6.9,5,0.16,2,2,8,3,5.9,5.5
13,N,1,13.N.1.L,Litter,B.iberidifolia,8,0,0,7-Oct-13,Annual.forb,8,0.0213,0.2142,0.026775,6.9,5,0.16,2,2,8,3,5.9,5.5
13,N,2,13.N.2.C,Control,B.iberidifolia,14,0,0,7-Oct-13,Annual.forb,NA,NA,0.9044,0.0646,5.4,4.666666667,0.16,3,3,8,14,5.6,5.1
