"","individual_id","plot_id","species"
"1","SHAD1_1","10A","H.glutinosum"
"2","SHAD1_2","10A","P.airoides"
"3","SHAD1_3","10A","V.rosea"
"4","SHAD1_4","10B","H.glutinosum"
"5","SHAD1_5","10B","M.minima"
"6","SHAD1_6","10B","P.canescens"
"7","SHAD1_7","10B","T.cyanopetala"
"8","SHAD1_8","10C","A.calendula"
"9","SHAD1_9","10C","H.glutinosum"
"10","SHAD1_10","10C","P.airoides"
"11","SHAD1_11","10C","P.canescens"
"12","SHAD1_12","10C","V.rosea"
"13","SHAD1_13","10D","A.calendula"
"14","SHAD1_14","10D","H.glabra"
"15","SHAD1_15","10D","P.canescens"
"16","SHAD1_16","10E","A.calendula"
"17","SHAD1_17","10E","P.canescens"
"18","SHAD1_18","10E","T.cyanopetala"
"19","SHAD1_19","10F","H.glabra"
"20","SHAD1_20","10F","P.canescens"
"21","SHAD1_21","10F","T.cyanopetala"
"22","SHAD1_22","10F","V.rosea"
"23","SHAD1_23","10G","H.glabra"
"24","SHAD1_24","10G","M.minima"
"25","SHAD1_25","10G","T.cyanopetala"
"26","SHAD1_26","10G","V.rosea"
"27","SHAD1_27","10H","A.calendula"
"28","SHAD1_28","10H","H.glutinosum"
"29","SHAD1_29","10H","P.airoides"
"30","SHAD1_30","10I","H.glabra"
"31","SHAD1_31","10I","M.minima"
"32","SHAD1_32","10I","P.airoides"
"33","SHAD1_33","10J","H.glutinosum"
"34","SHAD1_34","10K","A.calendula"
"35","SHAD1_35","10K","M.minima"
"36","SHAD1_36","10L","P.canescens"
"37","SHAD1_37","12A","H.glutinosum"
"38","SHAD1_38","12A","P.airoides"
"39","SHAD1_39","12A","P.canescens"
"40","SHAD1_40","12A","T.cyanopetala"
"41","SHAD1_41","12B","H.glabra"
"42","SHAD1_42","12B","P.canescens"
"43","SHAD1_43","12B","V.rosea"
"44","SHAD1_44","12C","A.calendula"
"45","SHAD1_45","12C","P.airoides"
"46","SHAD1_46","12C","P.canescens"
"47","SHAD1_47","12C","V.rosea"
"48","SHAD1_48","12D","A.calendula"
"49","SHAD1_49","12D","H.glutinosum"
"50","SHAD1_50","12D","P.airoides"
"51","SHAD1_51","12D","V.rosea"
"52","SHAD1_52","12E","H.glutinosum"
"53","SHAD1_53","12E","M.minima"
"54","SHAD1_54","12E","P.canescens"
"55","SHAD1_55","12F","H.glutinosum"
"56","SHAD1_56","12F","M.minima"
"57","SHAD1_57","12F","P.airoides"
"58","SHAD1_58","12F","P.canescens"
"59","SHAD1_59","12G","H.glutinosum"
"60","SHAD1_60","12G","P.canescens"
"61","SHAD1_61","12G","T.cyanopetala"
"62","SHAD1_62","12G","V.rosea"
"63","SHAD1_63","12H","H.glabra"
"64","SHAD1_64","12H","H.glutinosum"
"65","SHAD1_65","12H","V.rosea"
"66","SHAD1_66","12I","A.calendula"
"67","SHAD1_67","12I","M.minima"
"68","SHAD1_68","12I","P.airoides"
"69","SHAD1_69","12J","H.glabra"
"70","SHAD1_70","12J","M.minima"
"71","SHAD1_71","12K","A.calendula"
"72","SHAD1_72","12K","M.minima"
"73","SHAD1_73","12K","T.cyanopetala"
"74","SHAD1_74","12K","V.rosea"
"75","SHAD1_75","12L","A.calendula"
"76","SHAD1_76","12L","M.minima"
"77","SHAD1_77","12L","V.rosea"
"78","SHAD1_78","12M","A.calendula"
"79","SHAD1_79","12M","P.airoides"
"80","SHAD1_80","12N","T.cyanopetala"
"81","SHAD1_81","12O","H.glabra"
"82","SHAD1_82","15A","A.calendula"
"83","SHAD1_83","15A","H.glabra"
"84","SHAD1_84","15A","P.airoides"
"85","SHAD1_85","15A","T.cyanopetala"
"86","SHAD1_86","15B","A.calendula"
"87","SHAD1_87","15B","M.minima"
"88","SHAD1_88","15B","P.canescens"
"89","SHAD1_89","15B","T.cyanopetala"
"90","SHAD1_90","15C","H.glutinosum"
"91","SHAD1_91","15C","M.minima"
"92","SHAD1_92","15C","P.canescens"
"93","SHAD1_93","15C","T.cyanopetala"
"94","SHAD1_94","15D","H.glutinosum"
"95","SHAD1_95","15D","P.canescens"
"96","SHAD1_96","15D","T.cyanopetala"
"97","SHAD1_97","15D","V.rosea"
"98","SHAD1_98","15E","A.calendula"
"99","SHAD1_99","15E","H.glutinosum"
"100","SHAD1_100","15E","M.minima"
"101","SHAD1_101","15E","P.canescens"
"102","SHAD1_102","15F","A.calendula"
"103","SHAD1_103","15F","H.glabra"
"104","SHAD1_104","15F","P.airoides"
"105","SHAD1_105","15F","P.canescens"
"106","SHAD1_106","15F","V.rosea"
"107","SHAD1_107","15G","H.glabra"
"108","SHAD1_108","15G","V.rosea"
"109","SHAD1_109","15H","H.glabra"
"110","SHAD1_110","15H","M.minima"
"111","SHAD1_111","15H","P.canescens"
"112","SHAD1_112","15I","H.glutinosum"
"113","SHAD1_113","15I","P.airoides"
"114","SHAD1_114","15I","P.canescens"
"115","SHAD1_115","15I","V.rosea"
"116","SHAD1_116","15J","H.glutinosum"
"117","SHAD1_117","15J","P.airoides"
"118","SHAD1_118","15J","V.rosea"
"119","SHAD1_119","15K","H.glabra"
"120","SHAD1_120","15L","V.rosea"
"121","SHAD1_121","15M","M.minima"
"122","SHAD1_122","15M","T.cyanopetala"
"123","SHAD1_123","2A","H.glutinosum"
"124","SHAD1_124","2A","P.airoides"
"125","SHAD1_125","2A","P.canescens"
"126","SHAD1_126","2B","A.calendula"
"127","SHAD1_127","2B","H.glutinosum"
"128","SHAD1_128","2B","P.airoides"
"129","SHAD1_129","2B","P.canescens"
"130","SHAD1_130","2B","T.cyanopetala"
"131","SHAD1_131","2C","H.glutinosum"
"132","SHAD1_132","2C","P.airoides"
"133","SHAD1_133","2C","V.rosea"
"134","SHAD1_134","2D","H.glabra"
"135","SHAD1_135","2D","H.glutinosum"
"136","SHAD1_136","2D","P.airoides"
"137","SHAD1_137","2E","H.glabra"
"138","SHAD1_138","2E","M.minima"
"139","SHAD1_139","2E","P.canescens"
"140","SHAD1_140","2E","T.cyanopetala"
"141","SHAD1_141","2F","H.glabra"
"142","SHAD1_142","2F","M.minima"
"143","SHAD1_143","2F","P.canescens"
"144","SHAD1_144","2F","T.cyanopetala"
"145","SHAD1_145","2G","A.calendula"
"146","SHAD1_146","2G","M.minima"
"147","SHAD1_147","2G","T.cyanopetala"
"148","SHAD1_148","2G","V.rosea"
"149","SHAD1_149","2H","A.calendula"
"150","SHAD1_150","2H","H.glabra"
"151","SHAD1_151","2H","V.rosea"
"152","SHAD1_152","2I","A.calendula"
"153","SHAD1_153","2I","M.minima"
"154","SHAD1_154","2I","V.rosea"
"155","SHAD1_155","2J","V.rosea"
"156","SHAD1_156","2K","H.glabra"
"157","SHAD1_157","2K","P.canescens"
"158","SHAD1_158","2K","T.cyanopetala"
"159","SHAD1_159","2L","A.calendula"
"160","SHAD1_160","2L","V.rosea"
"161","SHAD1_161","6A","H.glutinosum"
"162","SHAD1_162","6A","P.airoides"
"163","SHAD1_163","6A","P.canescens"
"164","SHAD1_164","6B","H.glabra"
"165","SHAD1_165","6B","H.glutinosum"
"166","SHAD1_166","6B","P.airoides"
"167","SHAD1_167","6C","H.glabra"
"168","SHAD1_168","6C","H.glutinosum"
"169","SHAD1_169","6C","P.airoides"
"170","SHAD1_170","6D","A.calendula"
"171","SHAD1_171","6D","H.glutinosum"
"172","SHAD1_172","6D","T.cyanopetala"
"173","SHAD1_173","6E","A.calendula"
"174","SHAD1_174","6E","P.airoides"
"175","SHAD1_175","6E","P.canescens"
"176","SHAD1_176","6F","A.calendula"
"177","SHAD1_177","6F","H.glabra"
"178","SHAD1_178","6F","P.canescens"
"179","SHAD1_179","6F","V.rosea"
"180","SHAD1_180","6G","H.glabra"
"181","SHAD1_181","6G","M.minima"
"182","SHAD1_182","6H","M.minima"
"183","SHAD1_183","6H","V.rosea"
"184","SHAD1_184","6I","A.calendula"
"185","SHAD1_185","6I","M.minima"
"186","SHAD1_186","6J","M.minima"
"187","SHAD1_187","6J","V.rosea"
"188","SHAD1_188","6K","T.cyanopetala"
"189","SHAD1_189","6K","V.rosea"
"190","SHAD1_190","6L","P.canescens"
"191","SHAD1_191","6L","T.cyanopetala"
"192","SHAD1_192","6M","V.rosea"
"193","SHAD1_193","6N","V.rosea"
"194","SHAD1_194","6O","T.cyanopetala"
"195","SHAD1_195","10A","H.glutinosum"
"196","SHAD1_196","10A","P.airoides"
"197","SHAD1_197","10A","V.rosea"
"198","SHAD1_198","10B","H.glutinosum"
"199","SHAD1_199","10B","M.minima"
"200","SHAD1_200","10B","P.canescens"
"201","SHAD1_201","10B","T.cyanopetala"
"202","SHAD1_202","10C","A.calendula"
"203","SHAD1_203","10C","H.glutinosum"
"204","SHAD1_204","10C","P.airoides"
"205","SHAD1_205","10C","P.canescens"
