"","plot_id","field_season_id","site_id","block","treatment_id","lat","long"
"1","10A",1,1,10,"2",NA,NA
"2","10E",1,1,10,"2",NA,NA
"3","10G",1,1,10,"2",NA,NA
"4","10I",1,1,10,"2",NA,NA
"5","10J",1,1,10,"2",NA,NA
"6","10K",1,1,10,"2",NA,NA
"7","10L",1,1,10,"2",NA,NA
"8","12B",1,1,12,"2",NA,NA
"9","12D",1,1,12,"2",NA,NA
"10","12F",1,1,12,"2",NA,NA
"11","12G",1,1,12,"2",NA,NA
"12","12H",1,1,12,"2",NA,NA
"13","12J",1,1,12,"2",NA,NA
"14","12L",1,1,12,"2",NA,NA
"15","12N",1,1,12,"2",NA,NA
"16","15A",1,1,15,"2",NA,NA
"17","15B",1,1,15,"2",NA,NA
"18","15E",1,1,15,"2",NA,NA
"19","15I",1,1,15,"2",NA,NA
"20","15K",1,1,15,"2",NA,NA
"21","15L",1,1,15,"2",NA,NA
"22","2B",1,1,2,"2",NA,NA
"23","2D",1,1,2,"2",NA,NA
"24","2E",1,1,2,"2",NA,NA
"25","2F",1,1,2,"2",NA,NA
"26","2J",1,1,2,"2",NA,NA
"27","2L",1,1,2,"2",NA,NA
"28","6C",1,1,6,"2",NA,NA
"29","6D",1,1,6,"2",NA,NA
"30","6E",1,1,6,"2",NA,NA
"31","6G",1,1,6,"2",NA,NA
"32","6H",1,1,6,"2",NA,NA
"33","6L",1,1,6,"2",NA,NA
"34","6M",1,1,6,"2",NA,NA
"35","6N",1,1,6,"2",NA,NA
"36","10B",1,1,10,"2",NA,NA
"37","10C",1,1,10,"2",NA,NA
"38","10D",1,1,10,"2",NA,NA
"39","10F",1,1,10,"2",NA,NA
"40","10H",1,1,10,"2",NA,NA
"41","12A",1,1,12,"2",NA,NA
"42","12C",1,1,12,"2",NA,NA
"43","12E",1,1,12,"2",NA,NA
"44","12I",1,1,12,"2",NA,NA
"45","12K",1,1,12,"2",NA,NA
"46","12M",1,1,12,"2",NA,NA
"47","12O",1,1,12,"2",NA,NA
"48","15C",1,1,15,"2",NA,NA
"49","15D",1,1,15,"2",NA,NA
"50","15F",1,1,15,"2",NA,NA
"51","15G",1,1,15,"2",NA,NA
"52","15H",1,1,15,"2",NA,NA
"53","15J",1,1,15,"2",NA,NA
"54","15M",1,1,15,"2",NA,NA
"55","2A",1,1,2,"2",NA,NA
"56","2C",1,1,2,"2",NA,NA
"57","2G",1,1,2,"2",NA,NA
"58","2H",1,1,2,"2",NA,NA
"59","2I",1,1,2,"2",NA,NA
"60","2K",1,1,2,"2",NA,NA
"61","6A",1,1,6,"2",NA,NA
"62","6B",1,1,6,"2",NA,NA
"63","6F",1,1,6,"2",NA,NA
"64","6I",1,1,6,"2",NA,NA
"65","6J",1,1,6,"2",NA,NA
"66","6K",1,1,6,"2",NA,NA
"67","6O",1,1,6,"2",NA,NA
