"","soil_moisture_id","plot_id","soil_moisture_earlyAug_hc","soil_moisture_lateAug_hc","soil_moisture_earlySep_hc","soil_moisture_earlyAug_solo","soil_moisture_lateAug_solo","soil_moisture_earlySep_solo","date_collected","notes"
"1",1,"10A",22.46666667,22.46666667,10.5,19,20.3,10,2015,NA
"2",2,"10A",22.46666667,22.46666667,10.5,19,20.3,10,2015,NA
"3",3,"10A",22.46666667,22.46666667,10.5,17.9,20.63333333,8.75,2015,NA
"4",4,"10A",22.46666667,22.46666667,10.5,17.9,20.63333333,8.75,2015,NA
"5",5,"10A",22.46666667,22.46666667,10.5,18.7,20.96666667,7.85,2015,NA
"6",6,"10A",22.46666667,22.46666667,10.5,18.7,20.96666667,7.85,2015,NA
"7",7,"10B",18.33333333,18.33333333,6.433333333,18.23333333,21.96666667,8.066666667,2015,NA
"8",8,"10B",18.33333333,18.33333333,6.433333333,18.23333333,21.96666667,8.066666667,2015,NA
"9",9,"10B",18.33333333,18.33333333,6.433333333,12.5,15.73333333,4.6,2015,NA
"10",10,"10B",18.33333333,18.33333333,6.433333333,12.5,15.73333333,4.6,2015,NA
"11",11,"10B",18.33333333,18.33333333,6.433333333,16.56666667,20.33333333,4.9,2015,NA
"12",12,"10B",18.33333333,18.33333333,6.433333333,16.56666667,20.33333333,4.9,2015,NA
"13",13,"10B",18.33333333,18.33333333,6.433333333,14.4,15.43333333,5.433333333,2015,NA
"14",14,"10B",18.33333333,18.33333333,6.433333333,14.4,15.43333333,5.433333333,2015,NA
"15",15,"10C",20.66666667,20.66666667,10.5,16.4,20.33333333,8.366666667,2015,NA
"16",16,"10C",20.66666667,20.66666667,10.5,16.4,20.33333333,8.366666667,2015,NA
"17",17,"10C",20.66666667,20.66666667,10.5,19.16666667,21.46666667,12.66666667,2015,NA
"18",18,"10C",20.66666667,20.66666667,10.5,19.16666667,21.46666667,12.66666667,2015,NA
"19",19,"10C",20.66666667,20.66666667,10.5,16.9,20.8,11.16666667,2015,NA
"20",20,"10C",20.66666667,20.66666667,10.5,16.9,20.8,11.16666667,2015,NA
"21",21,"10C",20.66666667,20.66666667,10.5,18.06666667,21.96666667,11.5,2015,NA
"22",22,"10C",20.66666667,20.66666667,10.5,18.06666667,21.96666667,11.5,2015,NA
"23",23,"10D",17.53333333,17.53333333,6.1,14.76666667,16.9,5.766666667,2015,NA
"24",24,"10D",17.53333333,17.53333333,6.1,14.76666667,16.9,5.766666667,2015,NA
"25",25,"10D",17.53333333,17.53333333,6.1,13.76666667,14.26666667,5.433333333,2015,NA
