Plot.ID,Block,Plot.letter,Treatment,Focal.sp,Competition,Species.comp.combo,Species.comp.treatment,Species.treatment.block,Plot.Focalsp.comp.combo,Neighbour.density,Focal.height,Solo.height,Height,Nearest.neighbour.sp,Nearest.neighbour.height,Soilmoisture.11.or.12.Aug.1.hicomp,Soilmoisture.11.or.12.Aug.2.hicomp,Soilmoisture.11.or.12.Aug.3.hicomp,Mean.soilmoisture.11.or.12.Aug.hicomp,Mean.SM.earlyAug,Solo.soilmoisture.Aug11or12.1,Solo.soilmoisture.Aug11or12.2,Solo.soilmoisture.Aug11or12.3,Mean.solo.soilmoisture,Soilmoisture.22.or.23.Aug.1.hicomp,Soilmoisture.22.or.23.Aug.2.hicomp,Soilmoisture.22.or.23.Aug.3.hicomp,Mean.soilmoisture.22.or.23.Aug.hicomp,Solo.soilmoisture.22or23.Aug.1,Solo.soilmoisture.22or23Aug.2,Solo.soilmoisture.22or23Aug.3,Mean.solo.soilmoisture.22or23.Aug,Mean.SM.lateAug,Soilmoisture.3Sep.hicomp.1,Soilmoisture.3Sep.hicomp.2,Soilmoisture.3Sep.hicomp.3,Mean.soilmoisture.3Sep.hicomp,Solo.soilmoisture.3Sep.1,Solo.soilmoisture.3Sep.2,Solo.soilmoisture.3Sep.3,Mean.solo.soilmoisture.3Sep,Mean.SM.Sep,Delta.MeanSM.AugSep,Bare,Moss,Crust,CWD,Rock,Near.under.log,Jam.litter,Euc.litter,Notes,Colwell.P,Canopy.cover.final,Exclude.from.analysis,Num.fl.total,Num.fl.seeding.total,Seedcount.extrap.integer,Mean.solo.seedcount.extrap.integer.block,Delta.seedcount.meansolospeciesblock,Solo.seedcount.extrap.integer,Delta.seedcount.highcomp.solo.pair
10A,10,A,Open,H.glutinosum,Highcomp,H.glutinosum.Highcomp,H.glutinosum.Highcomp.Open,H.glutinosum.Open.10,10A.H.glutinosum.Highcomp,3,40,35,40,Not.focal.species,NA,20.8,19.8,21.8,20.8,20.8,19.3,19.3,18.4,19,23.3,21.3,22.8,22.46666667,20.8,19.8,20.3,20.3,22.46666667,11,10,NA,10.5,9,11,NA,10,10.5,-10.3,20,10,15,0,1,0,1,0,,7.7,0.704,0,1,1,9,0,9,0,9
10A,10,A,Open,H.glutinosum,Solo,H.glutinosum.Solo,H.glutinosum.Solo.Open,H.glutinosum.Open.10,10A.H.glutinosum.Solo,0,40,35,35,NA,NA,20.8,19.8,21.8,20.8,19,19.3,19.3,18.4,19,23.3,21.3,22.8,22.46666667,20.8,19.8,20.3,20.3,22.46666667,11,10,NA,10.5,9,11,NA,10,10,-9,90,0,10,0,0,0,0,0,,7.7,0.704,0,1,1,0,0,0,NA,NA
10A,10,A,Open,P.airoides,Highcomp,P.airoides.Highcomp,P.airoides.Highcomp.Open,P.airoides.Open.10,10A.P.airoides.Highcomp,1,70,35,70,Not.focal.species,NA,20.8,19.8,21.8,20.8,20.8,17.9,17.4,18.4,17.9,23.3,21.3,22.8,22.46666667,21.3,20.3,20.3,20.63333333,22.46666667,11,10,NA,10.5,8.5,9,NA,8.75,10.5,-10.3,20,10,15,0,1,0,1,0,,7.7,0.704,0,4,4,167,368.5,-201.5,204,-37
10A,10,A,Open,P.airoides,Solo,P.airoides.Solo,P.airoides.Solo.Open,P.airoides.Open.10,10A.P.airoides.Solo,0,70,35,35,NA,NA,20.8,19.8,21.8,20.8,17.9,17.9,17.4,18.4,17.9,23.3,21.3,22.8,22.46666667,21.3,20.3,20.3,20.63333333,20.63333333,11,10,NA,10.5,8.5,9,NA,8.75,8.75,-9.15,90,0,10,0,0,0,0,0,,7.7,0.704,0,5,5,204,368.5,-164.5,NA,NA
10A,10,A,Open,V.rosea,Highcomp,V.rosea.Highcomp,V.rosea.Highcomp.Open,V.rosea.Open.10,10A.V.rosea.Highcomp,3,25,70,25,Not.focal.species,NA,20.8,19.8,21.8,20.8,20.8,18.4,18.4,19.3,18.7,23.3,21.3,22.8,22.46666667,20.3,23.3,19.3,20.96666667,22.46666667,11,10,NA,10.5,7.6,8.1,NA,7.85,10.5,-10.3,20,10,15,0,1,0,1,0,,7.7,0.704,0,96,96,379,62,317,44,335
10A,10,A,Open,V.rosea,Solo,V.rosea.Solo,V.rosea.Solo.Open,V.rosea.Open.10,10A.V.rosea.Solo,0,25,70,70,NA,NA,20.8,19.8,21.8,20.8,18.7,18.4,18.4,19.3,18.7,23.3,21.3,22.8,22.46666667,20.3,23.3,19.3,20.96666667,20.96666667,11,10,NA,10.5,7.6,8.1,NA,7.85,7.85,-10.85,90,0,10,0,0,0,0,0,,7.7,0.704,0,14,14,44,62,-18,NA,NA
10B,10,B,Shade,H.glutinosum,Highcomp,H.glutinosum.Highcomp,H.glutinosum.Highcomp.Shade,H.glutinosum.Shade.10,10B.H.glutinosum.Highcomp,1,120,35,120,Not.focal.species,NA,13.5,12,16.9,14.13333333,14.13333333,17.4,18.4,18.9,18.23333333,20.3,14.4,20.3,18.33333333,22.8,23.3,19.8,21.96666667,18.33333333,5.6,6.6,7.1,6.433333333,8.1,8.5,7.6,8.066666667,6.433333333,-7.7,50,45,3,10,0,1,0,3,,7.5,44.895,0,1,1,0,1.666667,-1.666667,0,0
10B,10,B,Shade,H.glutinosum,Solo,H.glutinosum.Solo,H.glutinosum.Solo.Shade,H.glutinosum.Shade.10,10B.H.glutinosum.Solo,0,120,35,35,NA,NA,13.5,12,16.9,14.13333333,18.23333333,17.4,18.4,18.9,18.23333333,20.3,14.4,20.3,18.33333333,22.8,23.3,19.8,21.96666667,21.96666667,5.6,6.6,7.1,6.433333333,8.1,8.5,7.6,8.066666667,8.066666667,-10.16666667,10,80,10,0,0,1,0,0,,7.5,44.895,0,1,1,0,1.666667,-1.666667,NA,NA
10B,10,B,Shade,M.minima,Highcomp,M.minima.Highcomp,M.minima.Highcomp.Shade,M.minima.Shade.10,10B.M.minima.Highcomp,2,45,55,45,H.glutinosum,35,13.5,12,16.9,14.13333333,14.13333333,12,12,13.5,12.5,20.3,14.4,20.3,18.33333333,15.9,16.4,14.9,15.73333333,18.33333333,5.6,6.6,7.1,6.433333333,4.1,5.1,4.6,4.6,6.433333333,-7.7,50,45,3,10,0,1,0,3,,7.5,44.895,0,0,0,0,0,0,0,0
10B,10,B,Shade,M.minima,Solo,M.minima.Solo,M.minima.Solo.Shade,M.minima.Shade.10,10B.M.minima.Solo,0,45,55,55,NA,NA,13.5,12,16.9,14.13333333,12.5,12,12,13.5,12.5,20.3,14.4,20.3,18.33333333,15.9,16.4,14.9,15.73333333,15.73333333,5.6,6.6,7.1,6.433333333,4.1,5.1,4.6,4.6,4.6,-7.9,0,20,80,0,0,1,0,0,,7.5,44.895,0,0,0,0,0,0,NA,NA
