Plot.ID,PlotID.focalsp,PlotID.focalsp.comp.combo,Competition,Block ,Plot.letter,Treatment,Focal.sp,Nearest.neighbour.sp,Neighbour.ID,Notes,Exclude.from.analysis,Neighbour.density,Neighbour.exotic,Exotic.density
10A,10A.H.glutinosum,10A.H.glutinosum.Highcomp,Highcomp,10,A,Open,H.glutinosum,Not.focal.species,C.colorata,,0,1,0,0
10A,10A.H.glutinosum,10A.H.glutinosum.Highcomp,Highcomp,10,A,Open,H.glutinosum,Not.focal.species,H.glutinosum,,0,2,0,0
10A,10A.P.airoides,10A.P.airoides.Highcomp,Highcomp,10,A,Open,P.airoides,Not.focal.species,P.airoides,,0,1,1,1
10A,10A.V.rosea,10A.V.rosea.Highcomp,Highcomp,10,A,Open,V.rosea,Not.focal.species,C.colorata,,0,2,0,0
10A,10A.V.rosea,10A.V.rosea.Highcomp,Highcomp,10,A,Open,V.rosea,Not.focal.species,P.muelleriana,,0,1,0,0
10B,10B.H.glutinosum,10B.H.glutinosum.Highcomp,Highcomp,10,B,Shade,H.glutinosum,Not.focal.species,H.glutinosum,,0,1,0,0
10B,10B.M.minima,10B.M.minima.Highcomp,Highcomp,10,B,Shade,M.minima,H.glutinosum,H.glutinosum,,0,2,0,0
10B,10B.P.canescens,10B.P.canescens.Highcomp,Highcomp,10,B,Shade,P.canescens,Not.focal.species,C.hispidula,,0,1,0,0
10B,10B.T.cyanopetala,10B.T.cyanopetala.Highcomp,Highcomp,10,B,Shade,T.cyanopetala,Not.focal.species,NA,T.ornata,1,0,NA,NA
10C,10C.A.calendula,10C.A.calendula.Highcomp,Highcomp,10,C,Shade,A.calendula,A.calendula,A.calendula,,0,1,1,1
10C,10C.A.calendula,10C.A.calendula.Highcomp,Highcomp,10,C,Shade,A.calendula,A.calendula,P.muelleriana,,0,2,0,0
10C,10C.H.glutinosum,10C.H.glutinosum.Highcomp,Highcomp,10,C,Shade,H.glutinosum,H.glutinosum,H.glutinosum,,0,1,0,0
10C,10C.H.glutinosum,10C.H.glutinosum.Highcomp,Highcomp,10,C,Shade,H.glutinosum,H.glutinosum,P.muelleriana,,0,2,0,0
10C,10C.P.airoides,10C.P.airoides.Highcomp,Highcomp,10,C,Shade,P.airoides,P.airoides,P.airoides,,0,1,1,1
10C,10C.P.airoides,10C.P.airoides.Highcomp,Highcomp,10,C,Shade,P.airoides,P.airoides,P.debilis,,0,1,0,0
10C,10C.P.airoides,10C.P.airoides.Highcomp,Highcomp,10,C,Shade,P.airoides,P.airoides,P.muelleriana,,0,1,0,0
10C,10C.P.canescens,10C.P.canescens.Highcomp,Highcomp,10,C,Shade,P.canescens,Not.focal.species,P.muelleriana,,0,3,0,0
10C,10C.V.rosea,10C.V.rosea.Highcomp,Highcomp,10,C,Shade,V.rosea,Not.focal.species,P.muelleriana,G.pusiliflora,1,2,0,0
10D,10D.A.calendula,10D.A.calendula.Highcomp,Highcomp,10,D,Shade,A.calendula,Not.focal.species,A.calendula,,0,1,1,1
10D,10D.A.calendula,10D.A.calendula.Highcomp,Highcomp,10,D,Shade,A.calendula,Not.focal.species,D.glochidiatus,,0,1,0,0
10D,10D.H.glabra,10D.H.glabra.Highcomp,Highcomp,10,D,Shade,H.glabra,Not.focal.species,D.glochidiatus,,0,2,0,0
10D,10D.H.glabra,10D.H.glabra.Highcomp,Highcomp,10,D,Shade,H.glabra,Not.focal.species,M.polymorpha,,0,1,1,1
10D,10D.H.glabra,10D.H.glabra.Highcomp,Highcomp,10,D,Shade,H.glabra,Not.focal.species,P.muelleriana,,0,1,0,0
10D,10D.P.canescens,10D.P.canescens.Highcomp,Highcomp,10,D,Shade,P.canescens,Not.focal.species,P.muelleriana,,0,1,0,0
10E,10E.A.calendula,10E.A.calendula.Highcomp,Highcomp,10,E,Open,A.calendula,Not.focal.species,NA,,0,NA,NA,NA
10E,10E.P.canescens,10E.P.canescens.Highcomp,Highcomp,10,E,Open,P.canescens,P.canescens,P.canescens,,0,1,0,0
10E,10E.P.canescens,10E.P.canescens.Highcomp,Highcomp,10,E,Open,P.canescens,P.canescens,S.lineare,,0,1,0,0
10E,10E.T.cyanopetala,10E.T.cyanopetala.Highcomp,Highcomp,10,E,Open,T.cyanopetala,T.cyanopetala,T.cyanopetala,,0,1,0,0
10F,10F.H.glabra,10F.H.glabra.Highcomp,Highcomp,10,F,Shade,H.glabra,Not.focal.species,P.lessonni,,0,1,0,0
10F,10F.P.canescens,10F.P.canescens.Highcomp,Highcomp,10,F,Shade,P.canescens,Not.focal.species,NA,,0,0,NA,NA
10F,10F.T.cyanopetala,10F.T.cyanopetala.Highcomp,Highcomp,10,F,Shade,T.cyanopetala,T.cyanopetala,G.berardiana,,0,1,0,0
10F,10F.T.cyanopetala,10F.T.cyanopetala.Highcomp,Highcomp,10,F,Shade,T.cyanopetala,T.cyanopetala,T.cyanopetala,,0,1,0,0
10F,10F.V.rosea,10F.V.rosea.Highcomp,Highcomp,10,F,Shade,V.rosea,Not.focal.species,P.lessonni,,0,1,0,0
10G,10G.H.glabra,10G.H.glabra.Highcomp,Highcomp,10,G,Open,H.glabra,V.rosea,V.rosea,,0,1,0,0
10G,10G.M.minima,10G.M.minima.Highcomp,Highcomp,10,G,Open,M.minima,M.minima,B.semibarbata,,0,1,0,0
10G,10G.M.minima,10G.M.minima.Highcomp,Highcomp,10,G,Open,M.minima,M.minima,M.minima,,0,3,1,3
