Plot.ID,Block,Plot.letter,Treatment,Focal.sp,Competition,Species.comp.combo,Species.comp.treatment,Species.treatment.block,Plot.Focalsp.comp.combo,Neighbour.density,Focal.height,Solo.height,Height,Delta.height.highcomp.solo.pair,Leaf.length,Lat1,Lat2,Mean.Lat,Canopy.shape,Phenology.at.survey,Nearest.neighbour.sp,Nearest.neighbour.height,Soilmoisture.11.or.12.Aug.1.hicomp,Soilmoisture.11.or.12.Aug.2.hicomp,Soilmoisture.11.or.12.Aug.3.hicomp,Mean.soilmoisture.11.or.12.Aug.hicomp,Mean.SM.earlyAug,Solo.soilmoisture.Aug11or12.1,Solo.soilmoisture.Aug11or12.2,Solo.soilmoisture.Aug11or12.3,Mean.solo.soilmoisture,Soilmoisture.22.or.23.Aug.1.hicomp,Soilmoisture.22.or.23.Aug.2.hicomp,Soilmoisture.22.or.23.Aug.3.hicomp,Mean.soilmoisture.22.or.23.Aug.hicomp,Solo.soilmoisture.22or23.Aug.1,Solo.soilmoisture.22or23Aug.2,Solo.soilmoisture.22or23Aug.3,Mean.solo.soilmoisture.22or23.Aug,Mean.SM.lateAug,Soilmoisture.3Sep.hicomp.1,Soilmoisture.3Sep.hicomp.2,Soilmoisture.3Sep.hicomp.3,Mean.soilmoisture.3Sep.hicomp,Solo.soilmoisture.3Sep.1,Solo.soilmoisture.3Sep.2,Solo.soilmoisture.3Sep.3,Mean.solo.soilmoisture.3Sep,Mean.SM.Sep,Delta.MeanSM.AugSep,Bare,Moss,Crust,CWD,Rock,Near.under.log,Jam.litter,Euc.litter,Notes,Colwell.P,Canopy.cover.final,Exclude.from.analysis,Num.fl.total,Num.fl.seeding.total,Seedcount.extrap.integer,Mean.solo.seedcount.extrap.integer.block,Delta.seedcount.meansolospeciesblock,Solo.seedcount.extrap.integer,Delta.seedcount.highcomp.solo.pair,mean.trait.distance.height,mean.trait.distance.seedmass,mean.trait.distance.SLA,mean.trait.hierarchy.height,mean.trait.hierarchy.seedmass,mean.trait.hierarchy.SLA,var.trait.distance.height,var.trait.distance.seedmass,var.trait.distance.SLA,var.trait.hierarchy.height,var.trait.hierarchy.seedmass,var.trait.hierarchy.SLA,mean.trait.distance.canopyshape,var.trait.hierarchy.canopyshape,abundwghtd.mean.trait.distance.canopyshape,abundwghtd.mean.trait.distance.height,abundwghtd.mean.trait.distance.seedmass,abundwghtd.mean.trait.distance.SLA,abundwghtd.mean.trait.hierarchy.canopyshape,abundwghtd.mean.trait.hierarchy.height,abundwghtd.mean.trait.hierarchy.seedmass,abundwghtd.mean.trait.hierarchy.SLA,abundwghtd.var.trait.distance.canopyshape,abundwghtd.var.trait.distance.height,abundwghtd.var.trait.distance.seedmass,abundwghtd.var.trait.distance.SLA,abundwghtd.var.trait.hierarchy.canopyshape,abundwghtd.var.trait.hierarchy.height,abundwghtd.var.trait.hierarchy.seedmass,abundwghtd.var.trait.hierarchy.SLA,mean.trait.hierarchy.canopyshape
10A,10,A,Open,H.glutinosum,Highcomp,H.glutinosum.Highcomp,H.glutinosum.Highcomp.Open,H.glutinosum.Open.10,10A.H.glutinosum.Highcomp,3,40,35,40,5,5,10,5,7.5,0.1875,,Not.focal.species,NA,20.8,19.8,21.8,20.8,20.8,19.3,19.3,18.4,19,23.3,21.3,22.8,22.46666667,20.8,19.8,20.3,20.3,22.46666667,11,10,NA,10.5,9,11,NA,10,10.5,-10.3,20,10,15,0,1,0,1,0,,7.7,0.704,0,1,1,9,0,9,0,9,0.08275058,0.36144257,10.85457792,-0.08275058,0.36144257,-10.85457792,0.013695317,0.261281462,235.6437234,0.013695317,0.261281462,235.6437234,0.01641706,0.00053904,0.010944707,0.055167053,0.240961713,7.236385277,0.010944707,-0.055167053,0.240961713,-7.236385277,0.00035936,0.009130211,0.174187641,157.0958156,0.00035936,0.009130211,0.174187641,157.0958156,0.01641706
10A,10,A,Open,P.airoides,Highcomp,P.airoides.Highcomp,P.airoides.Highcomp.Open,P.airoides.Open.10,10A.P.airoides.Highcomp,1,70,35,70,35,25,10,0,5,0.071428571,,Not.focal.species,NA,20.8,19.8,21.8,20.8,20.8,17.9,17.4,18.4,17.9,23.3,21.3,22.8,22.46666667,21.3,20.3,20.3,20.63333333,22.46666667,11,10,NA,10.5,8.5,9,NA,8.75,10.5,-10.3,20,10,15,0,1,0,1,0,,7.7,0.704,0,4,4,167,368.5,-201.5,204,-37,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
10A,10,A,Open,V.rosea,Highcomp,V.rosea.Highcomp,V.rosea.Highcomp.Open,V.rosea.Open.10,10A.V.rosea.Highcomp,3,25,70,25,-45,45,150,40,95,3.8,,Not.focal.species,NA,20.8,19.8,21.8,20.8,20.8,18.4,18.4,19.3,18.7,23.3,21.3,22.8,22.46666667,20.3,23.3,19.3,20.96666667,22.46666667,11,10,NA,10.5,7.6,8.1,NA,7.85,10.5,-10.3,20,10,15,0,1,0,1,0,,7.7,0.704,0,96,96,379,62,317,44,335,43.00415211,2.266383622,12.06934356,-43.00415211,2.266383622,5.645560455,1168.844346,0.000507485,63.7447057,1168.844346,0.000507485,291.3381077,1.914065755,0.027346356,1.95304321,34.94587705,2.271693387,10.18749007,1.95304321,-34.94587705,2.271693387,1.622445937,0.018230904,779.229564,0.000338323,42.49647047,0.018230904,779.229564,0.000338323,194.2254051,1.914065755
10B,10,B,Shade,H.glutinosum,Highcomp,H.glutinosum.Highcomp,H.glutinosum.Highcomp.Shade,H.glutinosum.Shade.10,10B.H.glutinosum.Highcomp,1,120,35,120,85,10,25,15,20,0.166666667,,Not.focal.species,NA,13.5,12,16.9,14.13333333,14.13333333,17.4,18.4,18.9,18.23333333,20.3,14.4,20.3,18.33333333,22.8,23.3,19.8,21.96666667,18.33333333,5.6,6.6,7.1,6.433333333,8.1,8.5,7.6,8.066666667,6.433333333,-7.7,50,45,3,10,0,1,0,3,,7.5,44.895,0,1,1,0,1.666667,-1.666667,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
10B,10,B,Shade,M.minima,Highcomp,M.minima.Highcomp,M.minima.Highcomp.Shade,M.minima.Shade.10,10B.M.minima.Highcomp,2,45,55,45,-10,12,10,7,8.5,0.188888889,,H.glutinosum,35,13.5,12,16.9,14.13333333,14.13333333,12,12,13.5,12.5,20.3,14.4,20.3,18.33333333,15.9,16.4,14.9,15.73333333,18.33333333,5.6,6.6,7.1,6.433333333,4.1,5.1,4.6,4.6,6.433333333,-7.7,50,45,3,10,0,1,0,3,,7.5,44.895,0,0,0,0,0,0,0,0,10.49670619,0.329493333,11.84385068,-10.49670619,0.329493333,11.84385068,NA,NA,NA,NA,NA,NA,0.6959573,NA,0.6959573,10.49670619,0.329493333,11.84385068,0.6959573,-10.49670619,0.329493333,11.84385068,0,0,0,0,0,0,0,0,0.6959573
10B,10,B,Shade,P.canescens,Highcomp,P.canescens.Highcomp,P.canescens.Highcomp.Shade,P.canescens.Shade.10,10B.P.canescens.Highcomp,1,250,260,250,-10,75,110,30,70,0.28,,Not.focal.species,NA,13.5,12,16.9,14.13333333,14.13333333,16.4,17.4,15.9,16.56666667,20.3,14.4,20.3,18.33333333,18.4,20.8,21.8,20.33333333,18.33333333,5.6,6.6,7.1,6.433333333,2.5,5.6,6.6,4.9,6.433333333,-7.7,50,45,3,10,0,1,0,3,,7.5,44.895,0,51,30,1620,639.25,980.75,613,1007,5.48311693,0.635348889,2.43889256,-5.48311693,-0.635348889,-2.43889256,NA,NA,NA,NA,NA,NA,0.01857071,NA,0.01857071,5.48311693,0.635348889,2.43889256,-0.01857071,-5.48311693,-0.635348889,-2.43889256,NA,NA,NA,NA,NA,NA,NA,NA,-0.01857071
10B,10,B,Shade,T.cyanopetala,Highcomp,T.cyanopetala.Highcomp,T.cyanopetala.Highcomp.Shade,T.cyanopetala.Shade.10,10B.T.cyanopetala.Highcomp,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not.focal.species,NA,13.5,12,16.9,14.13333333,14.13333333,13.9,13.9,15.4,14.4,20.3,14.4,20.3,18.33333333,13,15.4,17.9,15.43333333,18.33333333,5.6,6.6,7.1,6.433333333,5.6,5.6,5.1,5.433333333,6.433333333,-7.7,50,45,3,10,0,1,0,3,,7.5,44.895,1,8,7,62,21,41,0,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10C,10,C,Shade,A.calendula,Highcomp,A.calendula.Highcomp,A.calendula.Highcomp.Shade,A.calendula.Shade.10,10C.A.calendula.Highcomp,3,120,110,120,10,140,135,105,120,1,,A.calendula,110,17.9,21.3,15.9,18.36666667,18.36666667,16.9,16.9,15.4,16.4,18.4,19.3,24.3,20.66666667,18.9,19.3,22.8,20.33333333,20.66666667,10,12.5,9,10.5,8.1,8.5,8.5,8.366666667,10.5,-7.866666667,35,5,3,3,0,0,0,0,,11.5,42.4,0,16,15,398,274,124,190,208,23.76599328,0.539585774,4.49328273,-23.76599328,0.539585774,4.49328273,1129.644873,0.582305615,40.37917938,1129.644873,0.582305615,40.37917938,0.371552945,0.276103182,0.495403927,31.68799104,0.719447699,5.99104364,0.495403927,-31.68799104,0.719447699,5.99104364,0.184068788,753.0965821,0.388203743,26.91945292,0.184068788,753.0965821,0.388203743,26.91945292,0.371552945
10C,10,C,Shade,H.glutinosum,Highcomp,H.glutinosum.Highcomp,H.glutinosum.Highcomp.Shade,H.glutinosum.Shade.10,10C.H.glutinosum.Highcomp,3,35,5,35,30,9,30,0,15,0.428571429,B,H.glutinosum,55,17.9,21.3,15.9,18.36666667,18.36666667,19.3,18.4,19.8,19.16666667,18.4,19.3,24.3,20.66666667,21.3,21.8,21.3,21.46666667,20.66666667,10,12.5,9,10.5,12,13,13,12.66666667,10.5,-7.866666667,35,5,3,3,0,0,0,0,,11.5,42.4,0,3,3,5,1.666667,3.333333,0,5,24.25757577,0.345513274,1.21476564,-24.25757577,0.345513274,1.21476564,1176.859964,0.238758845,2.95131112,1176.859964,0.238758845,2.95131112,0.100515305,0.020206653,0.134020407,32.34343436,0.460684365,1.61968752,-0.134020407,-32.34343436,0.460684365,1.61968752,0.013471102,784.5733096,0.159172563,1.967540747,0.013471102,784.5733096,0.159172563,1.967540747,-0.100515305
10C,10,C,Shade,P.airoides,Highcomp,P.airoides.Highcomp,P.airoides.Highcomp.Shade,P.airoides.Shade.10,10C.P.airoides.Highcomp,3,110,30,110,80,30,30,20,25,0.227272727,,P.airoides,40,17.9,21.3,15.9,18.36666667,18.36666667,15.4,18.4,16.9,16.9,18.4,19.3,24.3,20.66666667,20.3,19.8,22.3,20.8,20.66666667,10,12.5,9,10.5,11.5,11.5,10.5,11.16666667,10.5,-7.866666667,35,5,3,3,0,0,0,0,,11.5,42.4,0,6,6,437,194,243,0,437,16.56313132,0.16533922,3.41677461,-16.56313132,-0.156679198,3.33968019,289.2261301,0.075736628,33.85105504,289.2261301,0.079919658,34.63238248,0.053314687,0.006403162,0.053314687,16.56313132,0.16533922,3.41677461,0.053314687,-16.56313132,-0.156679198,3.33968019,0.006403162,289.2261301,0.075736628,33.85105504,0.006403162,289.2261301,0.079919658,34.63238248,0.053314687
