Plot.ID,Block,Plot.letter,Treatment,Competition,Species,delta.SM.AugSep,Mean.SM.earlyAug,Mean.SM.lateAug,Mean.SM.Sep
10A,10,A,Open,Dense,All,-10.3,20.8,22.46666667,10.5
10E,10,E,Open,Dense,All,-6.066666667,11.83333333,13.8,5.766666667
10G,10,G,Open,Dense,All,-8.5,14.26666667,14.56666667,5.766666667
10I,10,I,Open,Dense,All,-8.333333333,14.43333333,15.1,6.1
10J,10,J,Open,Dense,All,-6.9,17.56666667,15.1,10.66666667
10K,10,K,Open,Dense,All,-11.3,16.56666667,16.73333333,5.266666667
10L,10,L,Open,Dense,All,-8.233333333,16.9,18.23333333,8.666666667
12B,12,B,Open,Dense,All,-8.666666667,13.76666667,14.73333333,5.1
12D,12,D,Open,Dense,All,-8.2,16.06666667,17.73333333,7.866666667
12F,12,F,Open,Dense,All,-12.63333333,21.46666667,24.06666667,8.833333333
12G,12,G,Open,Dense,All,-4.566666667,11.16666667,12.66666667,6.6
12H,12,H,Open,Dense,All,-6.566666667,11.66666667,13.13333333,5.1
12J,12,J,Open,Dense,All,-13.23333333,19.5,15.26666667,6.266666667
12L,12,L,Open,Dense,All,-7.033333333,12.63333333,13.3,5.6
12N,12,N,Open,Dense,All,-5.566666667,14.76666667,14.4,9.2
15A,15,A,Open,Dense,All,-11.13333333,20.63333333,22.13333333,9.5
15B,15,B,Open,Dense,All,-13.13333333,21.5,24.43333333,8.366666667
15E,15,E,Open,Dense,All,-10.16666667,17.06666667,21.13333333,6.9
15I,15,I,Open,Dense,All,-7.9,12.33333333,16.23333333,4.433333333
15K,15,K,Open,Dense,All,-4.433333333,11,13.63333333,6.566666667
15L,15,L,Open,Dense,All,-4.733333333,9,10.83333333,4.266666667
2B,2,B,Open,Dense,All,-8.7,13.3,13.26666667,4.6
2D,2,D,Open,Dense,All,-8.466666667,15.9,15.9,7.433333333
2E,2,E,Open,Dense,All,-14.76666667,23.76666667,20.46666667,9
2F,2,F,Open,Dense,All,-14.1,25.1,20.66666667,11
2J,2,J,Open,Dense,All,-8.166666667,13.6,16.9,5.433333333
2L,2,L,Open,Dense,All,-6.566666667,11.16666667,14.26666667,4.6
6C,6,C,Open,Dense,All,-6.666666667,14.4,14.23333333,7.733333333
6D,6,D,Open,Dense,All,-5.733333333,13.46666667,13.63333333,7.733333333
6E,6,E,Open,Dense,All,-5.566666667,10.66666667,11.33333333,5.1
6G,6,G,Open,Dense,All,-4.4,10.33333333,11.5,5.933333333
6H,6,H,Open,Dense,All,-4.733333333,9.166666667,8.5,4.433333333
6L,6,L,Open,Dense,All,-5.9,10.16666667,10,4.266666667
6M,6,M,Open,Dense,All,-6.1,10.03333333,9.2,3.933333333
6N,6,N,Open,Dense,All,-5.733333333,11.33333333,10.16666667,5.6
10B,10,B,Shade,Dense,All,-7.7,14.13333333,18.33333333,6.433333333
10C,10,C,Shade,Dense,All,-7.866666667,18.36666667,20.66666667,10.5
10D,10,D,Shade,Dense,All,-11.13333333,17.23333333,17.53333333,6.1
10F,10,F,Shade,Dense,All,-4.766666667,14.1,15.4,9.333333333
10H,10,H,Shade,Dense,All,-6.866666667,13.96666667,18.66666667,7.1
12A,12,A,Shade,Dense,All,-8.366666667,15.9,16.9,7.533333333
12C,12,C,Shade,Dense,All,-6.366666667,13.76666667,17.9,7.4
12E,12,E,Shade,Dense,All,-8.6,14.76666667,18.06666667,6.166666667
12I,12,I,Shade,Dense,All,-6.966666667,12,12.83333333,5.033333333
12K,12,K,Shade,Dense,All,-7.316666667,12.16666667,16.6,4.85
12M,12,M,Shade,Dense,All,-6.9,13.96666667,18.06666667,7.066666667
12O,12,O,Shade,Dense,All,-16.06666667,23.76666667,25.26666667,7.7
15C,15,C,Shade,Dense,All,-5.366666667,15.06666667,22.66666667,9.7
15D,15,D,Shade,Dense,All,-10.46666667,16.06666667,18.36666667,5.6
15F,15,F,Shade,Dense,All,-5.4,11.83333333,15.9,6.433333333
15G,15,G,Shade,Dense,All,NA,12,15.9,NA
15H,15,H,Shade,Dense,All,-7.666666667,20.96666667,27.53333333,13.3
15J,15,J,Shade,Dense,All,-6.033333333,14.1,17.9,8.066666667
15M,15,M,Shade,Dense,All,-10.63333333,20.96666667,26.03333333,10.33333333
2A,2,A,Shade,Dense,All,-11.63333333,17.73333333,17.23333333,6.1
2C,2,C,Shade,Dense,All,-7.566666667,16.23333333,16.56666667,8.666666667
2G,2,G,Shade,Dense,All,-9.166666667,17.06666667,19.5,7.9
2H,2,H,Shade,Dense,All,-7.366666667,15.1,16.23333333,7.733333333
2I,2,I,Shade,Dense,All,-8.266666667,16.63333333,18.2,8.366666667
2K,2,K,Shade,Dense,All,-7.733333333,13.33333333,18.2,5.6
6A,6,A,Shade,Dense,All,-10.8,18.06666667,17.56666667,7.266666667
6B,6,B,Shade,Dense,All,-7.033333333,16.23333333,14.26666667,9.2
6F,6,F,Shade,Dense,All,-8.2,14.76666667,12,6.566666667
6I,6,I,Shade,Dense,All,-3.266666667,9.366666667,8.833333333,6.1
6J,6,J,Shade,Dense,All,-9.033333333,15.26666667,14.43333333,6.233333333
6K,6,K,Shade,Dense,All,-8,14.6,14.9,6.6
6O,6,O,Shade,Dense,All,-6.733333333,11.5,9.166666667,4.766666667
10A,10,A,Open,Solo,H.glutinosum,-9,19,20.3,10
10A,10,A,Open,Solo,P.airoides,-9.15,17.9,20.63333333,8.75
10A,10,A,Open,Solo,V.rosea,-10.85,18.7,20.96666667,7.85
10B,10,B,Shade,Solo,H.glutinosum,-10.16666667,18.23333333,21.96666667,8.066666667
10B,10,B,Shade,Solo,M.minima,-7.9,12.5,15.73333333,4.6
10B,10,B,Shade,Solo,P.canescens,-11.66666667,16.56666667,20.33333333,4.9
10B,10,B,Shade,Solo,T.cyanopetala,-8.966666667,14.4,15.43333333,5.433333333
10C,10,C,Shade,Solo,A.calendula,-8.033333333,16.4,20.33333333,8.366666667
10C,10,C,Shade,Solo,H.glutinosum,-6.5,19.16666667,21.46666667,12.66666667
10C,10,C,Shade,Solo,P.airoides,-5.733333333,16.9,20.8,11.16666667
10C,10,C,Shade,Solo,P.canescens,-6.566666667,18.06666667,21.96666667,11.5
10C,10,C,Shade,Solo,V.rosea,-7.833333333,19,20,11.16666667
10D,10,D,Shade,Solo,A.calendula,-9,14.76666667,16.9,5.766666667
10D,10,D,Shade,Solo,H.glabra,-8.333333333,13.76666667,14.26666667,5.433333333
10D,10,D,Shade,Solo,P.canescens,-9.8,15.4,17.06666667,5.6
10E,10,E,Open,Solo,A.calendula,-6.866666667,13.13333333,14.9,6.266666667
10E,10,E,Open,Solo,P.canescens,-8.666666667,14.43333333,15.73333333,5.766666667
10E,10,E,Open,Solo,T.cyanopetala,-5.9,11.83333333,16.9,5.933333333
10F,10,F,Shade,Solo,H.glabra,-8.4,17.23333333,19.66666667,8.833333333
10F,10,F,Shade,Solo,P.canescens,-8.4,17.73333333,19.33333333,9.333333333
10F,10,F,Shade,Solo,T.cyanopetala,-7.233333333,13,14.43333333,5.766666667
10F,10,F,Shade,Solo,V.rosea,-6.833333333,14.9,16.4,8.066666667
10G,10,G,Open,Solo,H.glabra,-6.866666667,12.63333333,13.43333333,5.766666667
10G,10,G,Open,Solo,M.minima,-7.7,13.43333333,10.83333333,5.733333333
10G,10,G,Open,Solo,T.cyanopetala,-6.233333333,12.16666667,12.16666667,5.933333333
10G,10,G,Open,Solo,V.rosea,-8.833333333,14.1,15.4,5.266666667
10H,10,H,Shade,Solo,A.calendula,-8.966666667,15.56666667,18.86666667,6.6
10H,10,H,Shade,Solo,H.glutinosum,-9.033333333,17.4,20.3,8.366666667
10H,10,H,Shade,Solo,P.airoides,-8.633333333,15.73333333,18.66666667,7.1
10I,10,I,Open,Solo,H.glabra,-8.166666667,13.93333333,16.9,5.766666667
10I,10,I,Open,Solo,M.minima,-8.466666667,13.9,15.73333333,5.433333333
10I,10,I,Open,Solo,P.airoides,-7.066666667,11.66666667,12.83333333,4.6
10J,10,J,Open,Solo,H.glutinosum,-7,14.4,17.9,7.4
10K,10,K,Open,Solo,A.calendula,-9.966666667,15.56666667,18.23333333,5.6
10K,10,K,Open,Solo,M.minima,-10.16666667,13.3,15.26666667,3.133333333
10L,10,L,Open,Solo,P.canescens,-9.666666667,17.06666667,19,7.4
12A,12,A,Shade,Solo,H.glutinosum,-7.733333333,16.4,17.23333333,8.666666667
12A,12,A,Shade,Solo,P.airoides,-7.2,16.56666667,18.2,9.366666667
12A,12,A,Shade,Solo,P.canescens,-8.9,17.56666667,18.43333333,8.666666667
12A,12,A,Shade,Solo,T.cyanopetala,-7.166666667,13.93333333,15.06666667,6.766666667
12B,12,B,Open,Solo,H.glabra,-11.6,17.86666667,17.06666667,6.266666667
12B,12,B,Open,Solo,P.canescens,-8,14.26666667,12.63333333,6.266666667
12B,12,B,Open,Solo,V.rosea,-4.7,11.96666667,17.53333333,7.266666667
12C,12,C,Shade,Solo,A.calendula,-9.833333333,16.73333333,16.73333333,6.9
12C,12,C,Shade,Solo,P.airoides,-11.3,17.9,16.9,6.6
12C,12,C,Shade,Solo,P.canescens,-11.3,17.73333333,18.83333333,6.433333333
12C,12,C,Shade,Solo,V.rosea,-5.9,13,15.76666667,7.1
12D,12,D,Open,Solo,A.calendula,-10.8,17.23333333,18.53333333,6.433333333
12D,12,D,Open,Solo,H.glutinosum,-9.633333333,15.9,16.9,6.266666667
12D,12,D,Open,Solo,P.airoides,-10.96666667,17.73333333,17.4,6.766666667
12D,12,D,Open,Solo,V.rosea,-10.3,16.73333333,17.73333333,6.433333333
12E,12,E,Shade,Solo,H.glutinosum,-8.933333333,14.43333333,15.4,5.5
12E,12,E,Shade,Solo,M.minima,-9.033333333,14.76666667,17.56666667,5.733333333
12E,12,E,Shade,Solo,P.canescens,-9.166666667,16.06666667,17.9,6.9
12F,12,F,Open,Solo,H.glutinosum,-10.83333333,21.16666667,23.76666667,10.33333333
12F,12,F,Open,Solo,M.minima,-12.9,20.63333333,20.63333333,7.733333333
12F,12,F,Open,Solo,P.airoides,-11.16666667,19.83333333,21.3,8.666666667
12F,12,F,Open,Solo,P.canescens,-10.3,20.3,20.66666667,10
12G,12,G,Open,Solo,H.glutinosum,-8.3,15.73333333,13.6,7.433333333
12G,12,G,Open,Solo,P.canescens,-6.066666667,11.83333333,12.63333333,5.766666667
12G,12,G,Open,Solo,T.cyanopetala,-5.9,12,14.6,6.1
12G,12,G,Open,Solo,V.rosea,-7.533333333,13.3,12.96666667,5.766666667
