b.p,b.p.l,b.p.l.d.pl,Block,Light,Plot,Density,no.plants,Plant.ID,species,competitor,Focal.1,Focal.2,Colwell P,Canopy Cover,Soil.Moisture.1.avg,Soil.Moisture.2.avg,Soil.Moisture.3.avg,Soil.Moisture.Mean,Soil.Moisture.Coefficient.Variation,Height,Lat.1,Lat.2,avg.lat,canopy.arch,Longest.Leaf,NearestNeighbour.ID,NearestNeighbour.Distandce,no.developed.flowers,Mean.seed.per.flower,Extrapolated.Seed.Total
10.chh,10.chh.s,10.chh.s.h.h.1,10,s,chh,h,6,h.1,h,c,A.calendula,H.glutinosum,5.530875683,48.09082015,17.4,19,8.025,14.80833333,0.373996542,33,7,3,5,0.151515152,3,h.2,25,1,12,12
10.chh,10.chh.s,10.chh.s.h.h.2,10,s,chh,h,6,h.2,h,c,A.calendula,H.glutinosum,5.530875683,48.09082015,17.4,19,8.025,14.80833333,0.373996542,80,17,4,10.5,0.13125,8,h.1,25,2,4,15
10.chh,10.chh.s,10.chh.s.h.h.3,10,s,chh,h,6,h.3,h,c,A.calendula,H.glutinosum,5.530875683,48.09082015,17.4,19,8.025,14.80833333,0.373996542,79,11,5,8,0.101265823,7,c.3,30,1,NA,6
10.chh,10.chh.s,10.chh.s.h.c.1,10,s,chh,h,6,c.1,c,h,A.calendula,H.glutinosum,5.530875683,48.09082015,16.775,17.5,6.85,13.70833333,0.393781324,73,57,11,34,0.465753425,54,c.2,7,2,27,54
10.chh,10.chh.s,10.chh.s.h.c.2,10,s,chh,h,6,c.2,c,h,A.calendula,H.glutinosum,5.530875683,48.09082015,16.775,17.5,6.85,13.70833333,0.393781324,95,123,0,61.5,0.647368421,78,c.1,7,5,34,172
10.chh,10.chh.s,10.chh.s.h.c.3,10,s,chh,h,6,c.3,c,h,A.calendula,H.glutinosum,5.530875683,48.09082015,16.775,17.5,6.85,13.70833333,0.393781324,125,110,58,84,0.672,97,h.3,30,5,51,253
10.chh2,10.chh2.o,10.chh2.o.h.h.1,10,o,chh2,h,6,h.1,h,c,A.calendula,H.glutinosum,14.69829809,0,17.875,21.2,10.5,16.525,0.324609691,13,16,3,9.5,0.730769231,6,c.1,30,0,NA,NA
10.chh2,10.chh2.o,10.chh2.o.h.h.2,10,o,chh2,h,6,h.2,h,c,A.calendula,H.glutinosum,14.69829809,0,19.2,19.725,9.15,16.025,0.334873612,36,13,3,8,0.222222222,12,c.3,43,1,1,1
10.chh2,10.chh2.o,10.chh2.o.h.h.3,10,o,chh2,h,6,h.3,h,c,A.calendula,H.glutinosum,14.69829809,0,19.35,20.7,9,16.35,0.361697563,39,20,7,13.5,0.346153846,11,c.3,45,1,1,1
10.chh2,10.chh2.o,10.chh2.o.h.c.1,10,o,chh2,h,6,c.1,c,h,A.calendula,H.glutinosum,14.69829809,0,19.35,20.7,9,16.35,0.361697563,49,115,60,87.5,1.785714286,115,c.2,22,2,55,109
10.chh2,10.chh2.o,10.chh2.o.h.c.2,10,o,chh2,h,6,c.2,c,h,A.calendula,H.glutinosum,14.69829809,0,16.525,17.6,7.35,13.825,0.374967775,64,115,80,97.5,1.5234375,152,c.3,25,18,47,854
10.chh2,10.chh2.o,10.chh2.o.h.c.3,10,o,chh2,h,6,c.3,c,h,A.calendula,H.glutinosum,14.69829809,0,16.525,17.6,7.35,13.825,0.374967775,55,122,115,118.5,2.154545455,130,c.1,22,6,44,266
10.chl,10.chl.s,10.chl.s.l.h.1,10,s,chl,l,2,h.1,h,c,A.calendula,H.glutinosum,11.5,48.71838455,13.575,16.05,5.225,11.61666667,0.468459956,30,10,2,6,0.2,8,NA,NA,0,NA,NA
10.chl,10.chl.s,10.chl.s.l.c.1,10,s,chl,l,2,c.1,c,h,A.calendula,H.glutinosum,11.5,48.71838455,13.575,16.05,5.225,11.61666667,0.468459956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.chl2,10.chl2.o,10.chl2.o.l.h.1,10,o,chl2,l,2,h.1,h,c,A.calendula,H.glutinosum,8.053435115,0,15.425,16.275,7.7,13.13333333,0.33032262,44,12,4,8,0.181818182,8,c.1,38,1,2,2
10.chl2,10.chl2.o,10.chl2.o.l.c.1,10,o,chl2,l,2,c.1,c,h,A.calendula,H.glutinosum,8.053435115,0,15.425,16.275,7.7,13.13333333,0.33032262,82,95,57,76,0.926829268,100,h.1,38,10,47,473
10.chm,10.chm.s,10.chm.s.m.h.1,10,s,chm,m,4,h.1,h,c,A.calendula,H.glutinosum,11.5,55.91441583,15.425,16.275,7.7,13.13333333,0.33032262,63,12,3,7.5,0.119047619,5,h.2,15,0,NA,NA
10.chm,10.chm.s,10.chm.s.m.h.2,10,s,chm,m,4,h.2,h,c,A.calendula,H.glutinosum,11.5,55.91441583,20.2,20.925,9.075,16.73333333,0.35909874,60,3,2,2.5,0.041666667,7,h.1,15,1,12,12
10.chm,10.chm.s,10.chm.s.m.c.1,10,s,chm,m,4,c.1,c,h,A.calendula,H.glutinosum,11.5,55.91441583,19.6,20.075,8.525,16.06666667,0.365003131,92,118,12,65,0.706521739,105,h.2,30,7,36,255
10.chm,10.chm.s,10.chm.s.m.c.2,10,s,chm,m,4,c.2,c,h,A.calendula,H.glutinosum,11.5,55.91441583,19.325,20.8,8.65,16.25833333,0.377601036,120,105,76,90.5,0.754166667,106,c.1,95,9,35,318
10.chm2,10.chm2.o,10.chm2.o.m.h.1,10,o,chm2,m,4,h.1,h,c,A.calendula,H.glutinosum,8.053435115,0,19.325,20.8,8.65,16.25833333,0.377601036,15,NA,NA,NA,NA,NA,c.1,34,1,0,0
10.chm2,10.chm2.o,10.chm2.o.m.h.2,10,o,chm2,m,4,h.2,h,c,A.calendula,H.glutinosum,8.053435115,0,15.675,18.875,8.175,14.24166667,0.376780093,14,NA,NA,NA,NA,NA,c.1,27,0,NA,NA
10.chm2,10.chm2.s,10.chm2.s.m.h.1,10,s,chm2,m,4,h.1,h,c,A.calendula,H.glutinosum,10.42480983,37.99819034,15.675,18.875,8.175,14.24166667,0.376780093,35,16,4,10,0.285714286,8,c.1,28,1,0,0
10.chm2,10.chm2.s,10.chm2.s.m.h.2,10,s,chm2,m,4,h.2,h,c,A.calendula,H.glutinosum,10.42480983,37.99819034,16.025,17.025,7.575,13.54166667,0.352916147,87,18,7,12.5,0.143678161,12,c.2,70,NA,NA,NA
10.chm2,10.chm2.o,10.chm2.o.m.c.1,10,o,chm2,m,4,c.1,c,h,A.calendula,H.glutinosum,8.053435115,0,16.025,17.025,7.575,13.54166667,0.352916147,54,56,24,40,0.740740741,59,c.2,18,3,28,84
10.chm2,10.chm2.o,10.chm2.o.m.c.2,10,o,chm2,m,4,c.2,c,h,A.calendula,H.glutinosum,8.053435115,0,16.025,17.025,7.575,13.54166667,0.352916147,67,67,32,49.5,0.73880597,80,c.1,18,3,36,107
10.chm2,10.chm2.s,10.chm2.s.m.c.1,10,s,chm2,m,4,c.1,c,h,A.calendula,H.glutinosum,10.42480983,37.99819034,20.475,22.275,9.125,17.29166667,0.383936818,135,160,130,145,1.074074074,170,h.1,28,11,50,546
10.chm2,10.chm2.s,10.chm2.s.m.c.2,10,s,chm2,m,4,c.2,c,h,A.calendula,H.glutinosum,10.42480983,37.99819034,18.275,19.95,8.425,15.55,0.374015712,135,150,40,95,0.703703704,180,c.1,29,9,41,366
10.cph,10.cph.s,10.cph.s.h.p.1,10,s,cph,h,6,p.1,p,c,A.calendula,P.airoides,5.530875683,49.01785309,12.75,15.3,5.85,11.3,0.419779144,40,12,3,7.5,0.1875,18,p.2,44,2,20,40
10.cph,10.cph.s,10.cph.s.h.p.2,10,s,cph,h,6,p.2,p,c,A.calendula,P.airoides,5.530875683,49.01785309,12.75,15.3,5.85,11.3,0.419779144,39,20,2,11,0.282051282,34,c.2,23,1,50,50
