"site_id","site","area","units","lat","long","max_temp","min_temp","ann_precip"
1,"bowman",0,"ha",0,0,0,0,0
2,"buntine",0,"ha",0,0,0,0,0
3,"latham",0,"ha",0,0,0,0,0
4,"perenjori",0,"ha",0,0,0,0,0
5,"solomon",0,"ha",0,0,0,0,0
6,"stokes",0,"ha",0,0,0,0,0
7,"yandi",0,"ha",0,0,0,0,0
8,"ben",0,"ha",0,0,0,0,0
9,"camelsoak",0,"ha",0,0,0,0,0
10,"gh",0,"ha",0,0,0,0,0
11,"korr",0,"ha",0,0,0,0,0
12,"kunjin",0,"ha",0,0,0,0,0
13,"mn10",0,"ha",0,0,0,0,0
14,"nam",0,"ha",0,0,0,0,0
15,"quair",0,"ha",0,0,0,0,0
16,"white",0,"ha",0,0,0,0,0
