"plot_id","field_season_id","site_id","block","treatment_id"
1,1,1,1,2
2,1,1,1,2
3,1,1,1,2
4,1,1,1,2
5,1,1,1,2
6,1,1,1,2
7,1,1,1,2
8,1,1,1,2
9,1,1,1,2
10,1,1,1,2
11,1,1,1,2
12,1,1,1,2
13,1,1,1,2
14,1,1,1,2
15,1,1,1,2
16,1,1,2,2
17,1,1,2,2
18,1,1,2,2
19,1,1,2,2
20,1,1,2,2
21,1,1,2,2
22,1,1,2,2
23,1,1,2,2
24,1,1,2,2
25,1,1,2,2
26,1,1,2,2
27,1,1,2,2
28,1,1,2,2
29,1,1,2,2
30,1,1,2,2
31,1,1,3,2
32,1,1,3,2
33,1,1,3,2
34,1,1,3,2
35,1,1,3,2
36,1,1,3,2
37,1,1,3,2
38,1,1,3,2
39,1,1,3,2
40,1,1,3,2
41,1,1,3,2
42,1,1,3,2
43,1,1,3,2
44,1,1,3,2
45,1,1,3,2
46,1,2,1,1
47,1,2,1,1
48,1,2,1,1
49,1,2,1,1
50,1,2,1,1
51,1,2,1,1
52,1,2,1,1
53,1,2,1,1
54,1,2,1,1
55,1,2,1,1
56,1,2,1,1
57,1,2,1,1
58,1,2,1,1
59,1,2,1,1
60,1,2,1,1
61,1,2,2,1
62,1,2,2,1
63,1,2,2,1
64,1,2,2,1
65,1,2,2,1
66,1,2,2,1
67,1,2,2,1
68,1,2,2,1
69,1,2,2,1
70,1,2,2,1
71,1,2,2,1
72,1,2,2,1
73,1,2,2,1
74,1,2,2,1
75,1,2,2,1
76,1,2,3,1
77,1,2,3,1
78,1,2,3,1
79,1,2,3,1
80,1,2,3,1
81,1,2,3,1
82,1,2,3,1
83,1,2,3,1
84,1,2,3,1
85,1,2,3,1
86,1,2,3,1
87,1,2,3,1
88,1,2,3,1
89,1,2,3,1
90,1,2,3,1
91,1,3,1,2
92,1,3,1,2
93,1,3,1,2
94,1,3,1,2
95,1,3,1,2
96,1,3,1,2
97,1,3,1,2
98,1,3,1,2
99,1,3,1,2
100,1,3,1,2
101,1,3,1,2
102,1,3,1,2
103,1,3,1,2
104,1,3,1,2
105,1,3,1,2
106,1,3,2,2
107,1,3,2,2
108,1,3,2,2
109,1,3,2,2
110,1,3,2,2
111,1,3,2,2
112,1,3,2,2
113,1,3,2,2
114,1,3,2,2
115,1,3,2,2
116,1,3,2,2
117,1,3,2,2
118,1,3,2,2
119,1,3,2,2
120,1,3,2,2
121,1,3,3,2
122,1,3,3,2
123,1,3,3,2
124,1,3,3,2
125,1,3,3,2
126,1,3,3,2
127,1,3,3,2
128,1,3,3,2
129,1,3,3,2
130,1,3,3,2
131,1,3,3,2
132,1,3,3,2
133,1,3,3,2
134,1,3,3,2
135,1,3,3,2
136,1,4,1,1
137,1,4,1,1
138,1,4,1,1
139,1,4,1,1
140,1,4,1,1
141,1,4,1,1
142,1,4,1,1
143,1,4,1,1
144,1,4,1,1
145,1,4,1,1
146,1,4,1,1
147,1,4,1,1
148,1,4,1,1
149,1,4,1,1
150,1,4,1,1
151,1,4,2,1
152,1,4,2,1
153,1,4,2,1
154,1,4,2,1
155,1,4,2,1
156,1,4,2,1
157,1,4,2,1
158,1,4,2,1
159,1,4,2,1
160,1,4,2,1
161,1,4,2,1
162,1,4,2,1
163,1,4,2,1
164,1,4,2,1
165,1,4,2,1
166,1,4,3,1
167,1,4,3,1
168,1,4,3,1
169,1,4,3,1
170,1,4,3,1
171,1,4,3,1
172,1,4,3,1
173,1,4,3,1
174,1,4,3,1
175,1,4,3,1
176,1,4,3,1
177,1,4,3,1
178,1,4,3,1
179,1,4,3,1
180,1,4,3,1
181,1,4,4,2
182,1,4,4,2
183,1,4,4,2
184,1,4,4,2
185,1,4,4,2
186,1,4,4,2
187,1,4,4,2
188,1,4,4,2
189,1,4,4,2
190,1,4,4,2
191,1,4,4,2
192,1,4,4,2
193,1,4,4,2
194,1,4,4,2
195,1,4,4,2
196,1,4,5,2
197,1,4,5,2
198,1,4,5,2
199,1,4,5,2
200,1,4,5,2
201,1,4,5,2
202,1,4,5,2
203,1,4,5,2
204,1,4,5,2
205,1,4,5,2
206,1,4,5,2
207,1,4,5,2
208,1,4,5,2
209,1,4,5,2
210,1,4,5,2
211,1,4,6,2
212,1,4,6,2
213,1,4,6,2
214,1,4,6,2
215,1,4,6,2
216,1,4,6,2
217,1,4,6,2
218,1,4,6,2
219,1,4,6,2
220,1,4,6,2
221,1,4,6,2
222,1,4,6,2
223,1,4,6,2
224,1,4,6,2
225,1,4,6,2
