yrsq,litter.cover,edge
2011.ben.1.1,96,0
2011.ben.1.2,45,0
2011.ben.1.3,85,0
2011.ben.1.4,60,0
2011.ben.1.5,57,0
2011.ben.1.6,84,0
2011.ben.1.7,74,0
2011.ben.1.8,96,0
2011.ben.1.9,92,0
2011.ben.1.10,41,0
2011.ben.1.11,70,0
2011.ben.1.12,100,0
2011.ben.1.13,85,0
2011.ben.1.14,89,0
2011.ben.1.15,81,0
2011.ben.2.1,97,0
2011.ben.2.2,95,0
2011.ben.2.3,85,0
2011.ben.2.4,98,0
2011.ben.2.5,100,0
2011.ben.2.6,95,0
2011.ben.2.7,98,0
2011.ben.2.8,99,0
2011.ben.2.9,95,0
2011.ben.2.10,100,0
2011.ben.2.11,97,0
2011.ben.2.12,98,0
2011.ben.2.13,100,0
2011.ben.2.14,99,0
2011.ben.2.15,99,0
2011.ben.3.1,97,0
2011.ben.3.2,35,0
2011.ben.3.3,77,0
2011.ben.3.4,77,0
2011.ben.3.5,66,0
2011.ben.3.6,97,0
2011.ben.3.7,98,0
2011.ben.3.8,69,0
2011.ben.3.9,68,0
2011.ben.3.10,14,0
2011.ben.3.11,100,0
2011.ben.3.12,97,0
2011.ben.3.13,96,0
2011.ben.3.14,96,0
2011.ben.3.15,84,0
2011.buntine.1.1,95,0
2011.buntine.1.2,94,0
2011.buntine.1.3,55,0
2011.buntine.1.4,88,0
2011.buntine.1.5,22,0
2011.buntine.1.6,52,0
2011.buntine.1.7,57,0
2011.buntine.1.8,45,0
2011.buntine.1.9,90,0
2011.buntine.1.10,39,0
2011.buntine.1.11,58,0
2011.buntine.1.12,100,0
2011.buntine.1.13,18,0
2011.buntine.1.14,37,0
2011.buntine.1.15,67,0
2011.buntine.2.1,20,0
2011.buntine.2.2,10,0
2011.buntine.2.3,33,0
2011.buntine.2.4,15,0
2011.buntine.2.5,16,0
2011.buntine.2.6,41,0
2011.buntine.2.7,57,0
2011.buntine.2.8,26,0
2011.buntine.2.9,29,0
2011.buntine.2.10,15,0
2011.buntine.2.11,54,0
2011.buntine.2.12,43,0
2011.buntine.2.13,71,0
2011.buntine.2.14,39,0
2011.buntine.2.15,43,0
2011.buntine.3.1,48,0
2011.buntine.3.2,52,0
2011.buntine.3.3,33,0
2011.buntine.3.4,61,0
2011.buntine.3.5,16,0
2011.buntine.3.6,26,0
2011.buntine.3.7,16,0
2011.buntine.3.8,10,0
2011.buntine.3.9,14,0
2011.buntine.3.10,35,0
2011.buntine.3.11,37,0
2011.buntine.3.12,24,0
2011.buntine.3.13,52,0
2011.buntine.3.14,70,0
2011.buntine.3.15,57,0
2011.camelsoak.1.1,7,0
2011.camelsoak.1.2,5,0
2011.camelsoak.1.3,5,0
2011.camelsoak.1.4,79,0
2011.camelsoak.1.5,7,0
2011.camelsoak.1.6,60,0
2011.camelsoak.1.7,41,0
2011.camelsoak.1.8,12,0
2011.camelsoak.1.9,44,0
2011.camelsoak.1.10,66,0
2011.camelsoak.1.11,88,0
2011.camelsoak.1.12,36,0
2011.camelsoak.1.13,65,0
2011.camelsoak.1.14,78,0
2011.camelsoak.1.15,8,0
2011.camelsoak.2.1,4,0
2011.camelsoak.2.2,34,0
2011.camelsoak.2.3,0,0
2011.camelsoak.2.4,0,0
2011.camelsoak.2.5,37,0
2011.camelsoak.2.6,86,0
2011.camelsoak.2.7,5,0
2011.camelsoak.2.8,2,0
2011.camelsoak.2.9,6,0
2011.camelsoak.2.10,14,0
2011.camelsoak.2.11,21,0
2011.camelsoak.2.12,10,0
2011.camelsoak.2.13,39,0
2011.camelsoak.2.14,1,0
2011.camelsoak.2.15,23,0
2011.camelsoak.3.1,2,0
2011.camelsoak.3.2,5,0
2011.camelsoak.3.3,10,0
2011.camelsoak.3.4,1,0
2011.camelsoak.3.5,98,0
2011.camelsoak.3.6,36,0
2011.camelsoak.3.7,12,0
2011.camelsoak.3.8,31,0
2011.camelsoak.3.9,8,0
2011.camelsoak.3.10,3,0
2011.camelsoak.3.11,16,0
2011.camelsoak.3.12,8,0
2011.camelsoak.3.13,19,0
2011.camelsoak.3.14,49,0
2011.camelsoak.3.15,11,0
2011.kunjin.1.1,2,0
2011.kunjin.1.2,43,0
2011.kunjin.1.3,28,0
2011.kunjin.1.4,72,0
2011.kunjin.1.5,33,0
2011.kunjin.1.6,30,0
2011.kunjin.1.7,48,0
2011.kunjin.1.8,28,0
2011.kunjin.1.9,58,0
2011.kunjin.1.10,56,0
2011.kunjin.1.11,97,0
2011.kunjin.1.12,98,0
2011.kunjin.1.13,93,0
2011.kunjin.1.14,80,0
2011.kunjin.1.15,93,0
2011.kunjin.2.1,36,0
2011.kunjin.2.2,61,0
2011.kunjin.2.3,61,0
2011.kunjin.2.4,52,0
2011.kunjin.2.5,46,0
2011.kunjin.2.6,15,0
2011.kunjin.2.7,43,0
2011.kunjin.2.8,11,0
2011.kunjin.2.9,86,0
2011.kunjin.2.10,73,0
2011.kunjin.2.11,87,0
2011.kunjin.2.12,7,0
2011.kunjin.2.13,54,0
2011.kunjin.2.14,23,0
2011.kunjin.2.15,38,0
2011.kunjin.3.1,98,0
2011.kunjin.3.2,99,0
2011.kunjin.3.3,94,0
2011.kunjin.3.4,56,0
2011.kunjin.3.5,100,0
2011.kunjin.3.6,29,0
2011.kunjin.3.7,48,0
2011.kunjin.3.8,82,0
2011.kunjin.3.9,47,0
2011.kunjin.3.10,65,0
2011.kunjin.3.11,96,0
2011.kunjin.3.12,96,0
2011.kunjin.3.13,10,0
2011.kunjin.3.14,5,0
2011.kunjin.3.15,58,0
2011.mn10.1.1,93,0
2011.mn10.1.2,13,0
2011.mn10.1.3,58,0
2011.mn10.1.4,77,0
2011.mn10.1.5,55,0
2011.mn10.1.6,98,0
2011.mn10.1.7,97,0
2011.mn10.1.8,81,0
2011.mn10.1.9,78,0
2011.mn10.1.10,74,0
2011.mn10.1.11,94,0
2011.mn10.1.12,88,0
2011.mn10.1.13,94,0
2011.mn10.1.14,78,0
2011.mn10.1.15,78,0
2011.mn10.2.1,48,0
2011.mn10.2.2,50,0
2011.mn10.2.3,93,0
2011.mn10.2.4,95,0
2011.mn10.2.5,85,0
2011.mn10.2.6,65,0
2011.mn10.2.7,65,0
2011.mn10.2.8,89,0
2011.mn10.2.9,78,0
2011.mn10.2.10,97,0
2011.mn10.2.11,14,0
2011.mn10.2.12,10,0
2011.mn10.2.13,46,0
2011.mn10.2.14,84,0
2011.mn10.2.15,56,0
2011.mn10.3.1,81,0
2011.mn10.3.2,30,0
2011.mn10.3.3,18,0
2011.mn10.3.4,10,0
2011.mn10.3.5,40,0
2011.mn10.3.6,42,0
2011.mn10.3.7,53,0
2011.mn10.3.8,65,0
2011.mn10.3.9,62,0
2011.mn10.3.10,33,0
2011.mn10.3.11,82,0
2011.mn10.3.12,18,0
2011.mn10.3.13,79,0
2011.mn10.3.14,13,0
2011.mn10.3.15,85,0
2011.nam.1.1,12,0
2011.nam.1.2,88,0
2011.nam.1.3,10,0
2011.nam.1.4,20,0
2011.nam.1.5,78,0
2011.nam.1.6,74,0
2011.nam.1.7,81,0
2011.nam.1.8,35,0
2011.nam.1.9,78,0
2011.nam.1.10,23,0
2011.nam.1.11,12,0
2011.nam.1.12,16,0
2011.nam.1.13,16,0
2011.nam.1.14,7,0
2011.nam.1.15,70,0
2011.nam.2.1,96,0
2011.nam.2.2,78,0
2011.nam.2.3,41,0
2011.nam.2.4,41,0
2011.nam.2.5,59,0
2011.nam.2.6,73,0
2011.nam.2.7,14,0
2011.nam.2.8,56,0
2011.nam.2.9,5,0
2011.nam.2.10,94,0
2011.nam.2.11,68,0
2011.nam.2.12,82,0
2011.nam.2.13,91,0
2011.nam.2.14,16,0
2011.nam.2.15,76,0
2011.nam.3.1,69,0
2011.nam.3.2,78,0
2011.nam.3.3,97,0
2011.nam.3.4,28,0
2011.nam.3.5,93,0
2011.nam.3.6,100,0
2011.nam.3.7,100,0
2011.nam.3.8,76,0
2011.nam.3.9,87,0
2011.nam.3.10,100,0
2011.nam.3.11,79,0
2011.nam.3.12,80,0
2011.nam.3.13,98,0
2011.nam.3.14,90,0
2011.nam.3.15,58,0
2011.perenjori.1.1,80,0
2011.perenjori.1.2,5,0
2011.perenjori.1.3,99,0
2011.perenjori.1.4,69,0
2011.perenjori.1.5,7,0
2011.perenjori.1.6,4,0
2011.perenjori.1.7,1,0
2011.perenjori.1.8,19,0
2011.perenjori.1.9,10,0
2011.perenjori.1.10,9,0
2011.perenjori.1.11,2,0
2011.perenjori.1.12,22,0
2011.perenjori.1.13,93,0
2011.perenjori.1.14,29,0
2011.perenjori.1.15,50,0
2011.perenjori.2.1,1,0
2011.perenjori.2.2,0,0
2011.perenjori.2.3,4,0
2011.perenjori.2.4,6,0
2011.perenjori.2.5,12,0
2011.perenjori.2.6,50,0
2011.perenjori.2.7,97,0
