Plot,Class.Litt,Class.Bare,Class.Woody,Per.Litt,Per.Bare,Per.Woody,Lat,Long,Elevation,Name,Density,Block,Num.Indivs,Num.Species,Num.Focal.Species,Focals,Beta.Diversity,Soil.P,Soil.Water,Canopy.Cover,UTM.Long,UTM.Lat,Dist.to.Lat.edge,Dist.to.Long.edge,NOTES
1,3,4,2,23,40.5,10.5,-29.47914465,116.2027541,311.8309326,H001D100,100,1,48,5,1,VERO,0,11.6,22.539444027,13.1,422707.82507737,-3261337.27512807,116.7017881733,767.9047151356,
2,T,1,1,0.5,3.1,3.1,-29.47926753,116.2028715,310.6292725,H002D100,100,1,0,5,1,VERO,0,5.4,18.4907151324,13.1,422719.300494332,-3261350.81290148,103.0228491443,779.2807107731,
3,4,1,3,40.5,3.1,23,-29.47920525,116.2028947,309.6680908,H003D100,100,1,0,16,4,ARCA.PEAI.POCA.VERO,0,12.5,17.731629393,3.7,422721.502534596,-3261343.89656896,109.955827031,781.5294422574,
4,T,1,1,0.5,3.1,3.1,-29.47915069,116.202962,309.9083252,H004D100,100,1,0,11,4,ARCA.PEAI.POCA.VERO,0,14.9,18.1782178218,5.2,422727.986027191,-3261337.80637917,116.0294184486,788.0517372672,
5,1,T,1,3.1,0.5,3.1,-29.47909201,116.2030259,309.9083252,H005D100,100,1,0,10,3,ARCA.PEAI.VERO,0,10,19.9608610568,11.1,422734.136763963,-3261331.26193348,122.5616461686,794.2445859271,
6,2,1,3,10.5,3.1,23,-29.47918958,116.2030275,309.9083252,H006D100,100,1,0,16,3,ARCA.PEAI.POCA,0,21.9,25.9964093357,17.9,422734.365896464,-3261342.07210984,111.7002034514,794.3988732801,
7,2,4,2,10.5,40.5,10.5,-29.4791325,116.2031241,309.4277344,H007D100,100,1,146,13,3,PEAI.POCA.VERO,0,10.7,19.0927021696,14.5,422743.688186059,-3261335.68325501,118.0543199864,803.7605862076,
8,T,3,1,0.5,23,3.1,-29.4790869,116.2028833,307.7454834,H008D100,100,1,0,7,2,POCA.VERO,0,10.4,19.0027483314,0.2,422720.307492687,-3261330.79037115,123.1304887665,780.4256087017,
9,2,2,4,10.5,10.5,40.5,-29.479017,116.2028027,307.9857178,H009D100,100,1,0,17,4,ARCA.PEAI.POCA.VERO,0,14.7,27.0862800566,35.4,422712.440103345,-3261323.09861137,130.9117211729,772.615392645,
10,2,3,3,10.5,23,23,-29.47895246,116.2028116,308.4664307,H010D100,100,1,0,11,1,ARCA,0,19.7,27.5668073136,25.4,422713.254011299,-3261315.94135187,138.0962811085,773.4783629941,
11,3,2,3,23,10.5,23,-29.47907626,116.2029693,311.3503418,H011D100,100,1,263,16,4,ARCA.PEAI.POCA.VERO,0,19.2,22.7511244378,38.8,422728.637317626,-3261329.55432193,124.3149281485,788.7597411878,
12,2,T,1,10.5,0.5,3.1,-29.47900141,116.2028822,311.3503418,H012D100,100,1,382,9,3,ARCA.PEAI.VERO,0,14.6,22.4466891134,8.9,422720.135987617,-3261321.31838675,132.6471920344,780.3196685615,
13,3,T,T,23,0.5,0.5,-29.47916938,116.202919,311.1099854,H013D100,100,1,0,7,3,ARCA.POCA.VERO,0,13.2,13.7494727963,3,422723.831260412,-3261339.90586543,113.9488571659,783.884570498,
