Site,Species,Spp_Code,Replication,Survey_Date,Harvest_Date,Measurement_Date,mean_SLA,mean_leaf_area,leaf_count,tuft_width,leaf_N,total_seed_weight(mg),seed_count,seed_mass,root_mass(mg),root_mass(g),total_root_length(m),specific_root_length,notes,,
OAT,Acaena echinata,ACAECH,1,22/10/2016,23/10/2016,28/11/2016,41.090,2531.213,15,,2.46,1.294,1,1.294,1.866,0.001866,0.083696,44.853,,,
OAT,Acaena echinata,ACAECH,2,22/10/2016,23/10/2016,28/11/2016,50.033,1430.001,47,,2.43,0.896,1,0.896,2.894,0.002894,0.147024,50.803,,,
OAT,Acaena echinata,ACAECH,3,22/10/2016,23/10/2016,28/11/2016,42.335,1112.093,28,,1.9,6.698,5,1.340,1.218,0.001218,0.324614,266.514,,,
OAT,Acetosella vulgaris,ACEVUL,1,5/10/2016,5/10/2016,14/10/2016,23.784,138.006,14,,2.37,10.882,34,0.320,7.134,0.007134,0.752893,105.536,,,
OAT,Acetosella vulgaris,ACEVUL,2,5/10/2016,5/10/2016,14/10/2016,44.930,300.674,21,,4.01,11.918,30,0.397,0.978,0.000978,0.151358,154.763,,,
OAT,Acetosella vulgaris,ACEVUL,3,9/11/2016,10/11/2016,20/01/2017,23.664,120.553,50,,3.96,9.92,29,0.342,1.262,0.001262,0.179794,142.468,,,
OAT,Arthropodium strictum,ARTSTI,1,5/10/2016,5/10/2016,14/10/2016,36.224,195.040,11,,3.51,6.262,10,0.626,3.292,0.003292,0.450941,136.981,,,
OAT,Arthropodium strictum,ARTSTI,2,5/10/2016,5/10/2016,14/10/2016,22.294,85.091,9,,3.91,4.68,10,0.468,5.596,0.005596,0.725487,129.644,,,
OAT,Arthropodium strictum,ARTSTI,3,5/10/2016,5/10/2016,14/10/2016,20.907,66.060,11,,1.85,6.454,10,0.645,1.996,0.001996,0.528461,264.760,,,
OAT,Asperula conferta,ASPCON,1,5/10/2016,5/10/2016,14/10/2016,14.337,7.793,725,,2.15,5.562,6,0.927,1.08,0.00108,0.248805,230.375,,,
OAT,Asperula conferta,ASPCON,2,5/10/2016,5/10/2016,14/10/2016,14.331,8.300,320,,1.89,9.28,6,1.547,1.894,0.001894,0.061286,32.358,,,
OAT,Asperula conferta,ASPCON,3,9/11/2016,10/11/2016,29/11/2016,15.663,8.012,205,,2.51,14.124,10,1.412,1.442,0.001442,0.116684,80.918,,,
OAT,Austostipa stuposa,AUSSTU,1,22/10/2016,23/10/2016,28/11/2016,24.864,1082.580,,90.48,1.94,0.952,7,0.136,4.96,0.00496,0.469745,94.707,,,
OAT,Austostipa stuposa,AUSSTU,2,22/10/2016,23/10/2016,28/11/2016,15.553,396.993,,39.65,2.08,0.678,5,0.136,0.37,0.00037,0.043647,117.965,,,
OAT,Austostipa stuposa,AUSSTU,3,22/10/2016,23/10/2016,28/11/2016,20.245,704.086,,41.6,1.96,,,,6.808,0.006808,0.474994,69.770,,,
OAT,Austrostipoa mollis,AUSMOL,1,4/11/2016,5/11/2016,28/11/2016,59.329,833.227,,69.28,1.33,,,,2.682,0.002682,0.219124,81.702,,,
OAT,Austrostipoa mollis,AUSMOL,2,4/11/2016,5/11/2016,28/11/2016,29.670,714.510,,88.67,1.11,,,,4.728,0.004728,0.138171,29.224,,,
OAT,Austrostipoa mollis,AUSMOL,3,4/11/2016,5/11/2016,28/11/2016,21.421,1286.770,,71.84,1.26,,,,7.018,0.007018,0.143474,20.444,,,
OAT,Chrysocephalum apiculatum,CHRAPI,1,5/10/2016,5/10/2016,14/10/2016,28.186,287.510,135,,1.79,,,,3.886,0.003886,0.244104,62.816,,,
OAT,Chrysocephalum apiculatum,CHRAPI,2,5/10/2016,5/10/2016,14/10/2016,12.924,225.462,400,,1.48,,,,3.288,0.003288,0.191418,58.217,,,
OAT,Chrysocephalum apiculatum,CHRAPI,3,5/10/2016,5/10/2016,14/10/2016,15.236,194.592,350,,2.18,,,,3.188,0.003188,0.147318,46.210,,,
OAT,Cirsium vulgare,CIRVUL,1,22/10/2016,23/10/2016,28/11/2016,54.568,1042.253,10,,1.83,19.806,5,3.961,0.396,0.000396,0.027847,70.321,,,
OAT,Cirsium vulgare,CIRVUL,2,22/10/2016,23/10/2016,28/11/2016,45.081,7768.229,9,,2.09,,,,2.548,0.002548,0.21642,84.937,,,
OAT,Cirsium vulgare,CIRVUL,3,22/10/2016,23/10/2016,28/11/2016,43.572,5326.535,7,,1.56,,,,0.29,0.00029,0.049144,169.462,,,
OAT,Convolvulus erubescens,CONERU,1,5/10/2016,5/10/2016,14/10/2016,37.834,802.667,24,,3.93,48.688,13,3.745,,,,,,,
OAT,Convolvulus erubescens,CONERU,2,5/10/2016,5/10/2016,14/10/2016,32.428,795.870,21,,4.25,34.24,8,4.280,,,,,,,
OAT,Convolvulus erubescens,CONERU,3,5/10/2016,5/10/2016,14/10/2016,34.364,886.150,16,,3.77,97.694,16,6.105875,,,,,,,
OAT,Cynoglossum suaveolens,CYNSUA,1,5/10/2016,5/10/2016,14/10/2016,16.861,1051.192,25,,2.73,6.276,5,1.255,,,,,,,
OAT,Cynoglossum suaveolens,CYNSUA,2,5/10/2016,5/10/2016,14/10/2016,11.129,620.105,22,,2.82,11.192,5,2.238,,,,,,,
OAT,Cynoglossum suaveolens,CYNSUA,3,5/10/2016,5/10/2016,14/10/2016,10.627,332.602,21,,2.34,6.128,5,1.226,,,,,,,
OAT,Dactylis glomerata,DACGLO,1,22/10/2016,23/10/2016,29/11/2016,107.866,3529.749,,102.5,3.84,,,,22.584,0.022584,0.899063,39.810,,,
OAT,Dactylis glomerata,DACGLO,2,22/10/2016,23/10/2016,29/11/2016,107.562,2139.057,,150.5,2.84,,,,7.446,0.007446,0.53671,72.080,,,
OAT,Dactylis glomerata,DACGLO,3,22/10/2016,23/10/2016,29/11/2016,122.887,2779.328,,92.25,2.93,,,,6.482,0.006482,1.225491,189.061,,,
OAT,Elymus scaber,ELYSCA,1,4/11/2016,5/11/2016,28/11/2016,51.467,857.513,,7.16,2.14,,,,6.872,0.006872,0.408335,59.420,,,
OAT,Elymus scaber,ELYSCA,2,4/11/2016,5/11/2016,28/11/2016,58.256,863.920,,34.62,2.35,,,,4.122,0.004122,0.246973,59.916,,,
OAT,Elymus scaber,ELYREP,3,4/11/2016,5/11/2016,28/11/2016,46.505,1263.912,,25.57,2.7,,,,3.672,0.003672,0.290528,79.120,,,
OAT,Erodium spp.,EROSPP,1,5/10/2016,5/10/2016,14/10/2016,35.077,492.393,14,,3.25,,,,,,,,,,
OAT,Erodium spp.,EROSPP,2,5/10/2016,5/10/2016,14/10/2016,34.501,300.305,13,,3.15,,,,,,,,,,
OAT,Erodium spp.,EROSPP,3,5/10/2016,5/10/2016,14/10/2016,33.105,223.449,12,,2.41,,,,,,,,,,
OAT,Geranium potentilliodes,GERPOT,1,5/10/2016,5/10/2016,14/10/2016,31.098,361.501,6,,2.41,,,,,,,,,,
OAT,Geranium potentilliodes,GERPOT,2,5/10/2016,5/10/2016,14/10/2016,14.700,237.351,6,,1.97,,,,,,,,,,
OAT,Geranium potentilliodes,GERPOT,3,5/10/2016,5/10/2016,14/10/2016,23.594,538.786,15,,2.09,,,,,,,,,,
OAT,Hypochaeris radicata,HYPRAD,1,5/10/2016,5/10/2016,14/10/2016,30.103,1325.041,11,,2.22,6.574,10,0.657,0.81,0.00081,0.277758,342.911,,,
OAT,Hypochaeris radicata,HYPRAD,2,5/10/2016,5/10/2016,14/10/2016,16.016,823.935,19,,2.38,6.452,10,0.645,2.424,0.002424,0.726514,299.717,,,
OAT,Hypochaeris radicata,HYPRAD,3,5/10/2016,5/10/2016,14/10/2016,36.316,981.305,21,,3.07,8.368,10,0.837,4.314,0.004314,1.723628,399.543,,,
OAT,Leontodon taraxcoides,LEOTAR,1,22/10/2016,23/10/2016,29/11/2016,80.395,6174.614,7,,3.07,,,,3.084,0.003084,0.739061,239.644,,,
