genus_id,genus,family
0,Aa,Orchidaceae
1,Aaronsohnia,Compositae
2,Abacopteris,Thelypteridaceae
3,Abacosa,Leguminosae
4,Abarema,Leguminosae
5,Abasoloa,Compositae
6,Abatia,Salicaceae
7,Abbevillea,Myrtaceae
8,Abdominea,Orchidaceae
9,Abelia,Caprifoliaceae
10,Abelicea,Ulmaceae
11,Abeliophyllum,Oleaceae
12,Abelmoschus,Malvaceae
13,Aberemoa,Annonaceae
14,Aberia,Salicaceae
15,Abies,Pinaceae
16,Abietinella,Thuidiaceae
17,Abildgaardia,Cyperaceae
18,Abobra,Cucurbitaceae
19,Abolboda,Xyridaceae
20,Aboriella,Urticaceae
21,Abrahamia,Anacardiaceae
22,Abrodictyum,Hymenophyllaceae
23,Abroma,Malvaceae
24,Abronia,Nyctaginaceae
25,Abrophyllum,Rousseaceae
26,Abrotanella,Compositae
27,Abrus,Leguminosae
28,Absinthium,Compositae
29,Absolmsia,Apocynaceae
30,Abuta,Menispermaceae
31,Abutilon,Malvaceae
32,Abutua,Gnetaceae
33,Acacia,Leguminosae
34,Acaciella,Leguminosae
35,Acaena,Rosaceae
36,Acalypha,Euphorbiaceae
37,Acampe,Orchidaceae
38,Acamptopappus,Compositae
39,Acanthanthus,Cactaceae
40,Acantharia,Leguminosae
41,Acanthella,Melastomataceae
42,Acanthephippium,Orchidaceae
43,Acanthobotrya,Leguminosae
44,Acanthocalycium,Cactaceae
45,Acanthocalyx,Caprifoliaceae
46,Acanthocarpus,Asparagaceae
47,Acanthocephalus,Compositae
48,Acanthocereus,Cactaceae
49,Acanthochlamys,Velloziaceae
50,Acanthocladiella,Sematophyllaceae
51,Acanthocladium,Compositae
52,Acanthocladium,Sematophyllaceae
53,Acanthocladus,Polygalaceae
54,Acanthocoleus,Lejeuneaceae
55,Acanthodesmos,Compositae
56,Acanthodium,Acanthaceae
57,Acanthodium,Sematophyllaceae
58,Acanthogilia,Polemoniaceae
59,Acantholejeunea,Lejeuneaceae
60,Acantholimon,Plumbaginaceae
61,Acantholippia,Verbenaceae
62,Acantholobivia,Cactaceae
63,Acanthomintha,Lamiaceae
64,Acanthonema,Gesneriaceae
65,Acanthopale,Acanthaceae
66,Acanthopanax,Araliaceae
67,Acanthopetalus,Cactaceae
68,Acanthophaca,Leguminosae
69,Acanthophippium,Orchidaceae
70,Acanthophoenix,Arecaceae
71,Acanthophyllum,Caryophyllaceae
72,Acanthoprasium,Lamiaceae
73,Acanthopsis,Acanthaceae
74,Acanthorhipsalis,Cactaceae
75,Acanthorrhinum,Plantaginaceae
76,Acanthorrhiza,Arecaceae
77,Acanthorrhynchium,Sematophyllaceae
78,Acanthoscyphus,Polygonaceae
79,Acanthosicyos,Cucurbitaceae
80,Acanthospermum,Compositae
81,Acanthosphaera,Moraceae
82,Acanthostachys,Bromeliaceae
83,Acanthostyles,Compositae
84,Acanthosyris,Santalaceae
85,Acanthothamnus,Celastraceae
86,Acanthotrichilia,Meliaceae
87,Acanthoxanthium,Compositae
88,Acanthura,Acanthaceae
89,Acanthus,Acanthaceae
90,Acanthyllis,Leguminosae
91,Acareosperma,Vitaceae
92,Acarna,Compositae
93,Acarphaea,Compositae
