genus_id,genus
1,arctotheca
2,austrostipa
3,bromus
4,crassula
5,enchylaena
6,hypochaeris
7,lolium
8,pentameris
9,actinobole
10,aristida
11,calandrinia
12,erodium
13,hyalosperma
14,podolepis
15,rhodanthe
16,waitzia
17,ptilotus
18,blennospora
19,juncus
20,vulpia
21,velleia
22,trachymene
23,borya
24,caesia
25,avena
26,brassica
27,bulbine
28,monoculus
29,sonchus
30,brachyscome
31,ehrharta
32,millotia
33,pogonolepis
34,cephalipterum
35,plantago
36,calotis
37,petrorhagia
38,hydrocotyle
39,medicago
40,senecio
41,atriplex
42,goodenia
43,burchardia
44,cheilanthes
45,gnephosis
46,ursinia
47,dichopogon
48,lawrencella
49,podotheca
50,rhyncharrhena
51,triglochin
52,zygophyllum
53,angianthus
54,hordeum
55,trifolium
56,mesembryanthemum
57,silene
58,rostraria
59,daucus
60,lamarckia
61,haloragis
62,gilberta
63,schoenia
64,ceratogyne
65,stenopetalum
66,monachather
67,arthropodium
68,zaluzianskya
69,echium
70,urospermum
71,erymophyllum
72,carrichtera
73,isoetopsis
74,gonocarpus
75,sida
76,phyllangium
77,aira
78,briza
79,hedypnois
80,parentucellia
81,euphorbia
82,wahlenbergia
83,moraea
84,rytidosperma
85,lobelia
86,schoenus
87,neurachne
88,quinetia
89,stackhousia
90,prasophyllum
91,thysanotus
92,poranthera
93,nicotiana
94,centrolepis
95,lysimachia
96,oxalis
97,pimelea
98,drosera
99,levenhookia
100,dampiera
101,rapistrum
102,parietaria
103,santalum
104,lomandra
105,ophioglossum
106,chthonocephalus
107,caladenia
108,bellida
109,gilruthia
110,menkea
111,wurmbea
112,myriocephalus
113,emex
114,grevillea
115,romulea
116,dianella
117,chamaescilla
118,brunonia
119,cotula
120,hibbertia
121,isotropis
122,pheladenia
123,cyanicula
124,lepidium
125,calocephalus
126,polycarpon
