neighbour.id,Correct.species.name,Origin,Mean.maxheight.Perenjori.2011.mm,Mean.maxheight.Bendering.2011.mm,Invader.strategy,Invader.strategy.quantified,Phenology.Perenjori.2011,Phenology.Bendering.2011,Phenology.averaged.2011,Mean.canopy.shape.Perenjori,Canopy.shape.sample.size.Perenjori,Mean.canopy.shape.Bendering,Canopy.shape.sample.size.Bendering,Life.form
Angianthus.tomentosus,Angianthus.tomentosus,Native,308.64,NA,NA,NA,Mid,NA,Mid,0.05466303,7,NA,NA,Annual.forb
Arctotheca.calendula,Arctotheca.calendula,Exotic,156.48,131.43,Exploiter,1,Mid,Mid,Mid,0.33029911,8,0.37054418,4,Annual.forb
Brachyscome.iberidifolia,Brachyscome.iberidifolia,Native,106.25,65.67,NA,NA,Mid,Mid,Mid,0.18181818,1,0.09995849,10,Annual.forb
Brachyscome.sp,Brachyscome.sp,Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annual.forb
Brassica.tournefortii,Brassica.tournefortii,Exotic,393.33,284.71,Exploiter,1,Mid,Mid,Mid,NA,NA,NA,NA,Annual.forb
Calandrinia.eremaea,Calandrinia.eremaea,Native,41.58,33.04,NA,NA,Mid,Mid,Mid,0.44888889,10,1.6209632,11,Annual.forb
Calotis.hispidula,Calotis.hispidula,Native,51.09,NA,NA,NA,Mid,NA,Mid,0.40907861,9,NA,NA,Annual.forb
Calotis.multicaulis,Calotis.multicaulis,Native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annual.forb
Ceratogyne.obionoides,Ceratogyne.obionoides,Native,51.75,80.59,NA,NA,Mid,Mid,Mid,0.398945,7,0.39198489,11,Annual.forb
Chthonocephalus.pseudevax,Chthonocephalus.pseudevax,Native,2.73,NA,NA,NA,Mid,NA,Mid,2.47916667,8,NA,NA,Annual.forb
Crassula.colorata.or.exserta,Crassula.colorata.or.exserta,Native,32.96,46.82,NA,NA,Mid,Mid,Mid,0.18017928,10,0.0980671,10,Annual.forb
Daucus.glochidiatus,Daucus.glochidiatus,Native,204.5,NA,NA,NA,Mid,NA,Mid,0.08928571,1,NA,NA,Annual.forb
Echium.plantagineum,Echium.plantagineum,Exotic,370,NA,Exploiter,0,NA,NA,NA,NA,NA,NA,NA,Annual.forb
