Code ,Species name,Family,Code on envelopes,,,Level to put into spreadsheet,
ACUL,Actinobole uliginosum,Asteraceae,fuzzy cups,FZCP,,,
ANCU,Arthropodium curvipes,Asparagaceae,dionella-like,,,,
ANTO,Angianthus tomentosus,Asteraceae,corncob,,,,
ARCA,Arctotheca calendula,Asteraceae,ARCA,,,HEAD/FLOWER,
ARCO,Aristida contorta,Poaceae,Aristida,,,STEM,
AVFA,Avena fatua,Poaceae,Avena grass,Av.Gr,barbata??,STEM,
BEBR,Bellida graminea,Asteraceae,yellow flower to red hair seeds,,,,
BLDR,Blennospora drummondii,Asteraceae,fuzzy black tip,,,,
BOSP,Borya sp.,Boryaceae,ring of white flowers and spiky leaves,,,,
BRAU,Brunonia australis,Goodeniaceae,,,,,
BRIB,Brachyscome iberidifolia,Asteraceae,BRIB,,,HEAD/FLOWER,
BRPE,Brachyscome perpusilla,Asteraceae,calotis sp,,in plot 25,,
BRRD,,,brachyscome round seed,,,,
BRRU,Bromis rubens,Poaceae,Bromis,,,STEM,
BRTO,Brassica tournefortii,Fabaceae,Brassica,round seed,,,
BRTU,,Brassicaceae,tumble mustard,flat seed,,,
BUSE,Bulbine semibarbata,Asphodelaceae,Bulbine,,,,
CAFL,Caladenia flava,Orchidaceae,cowslip orchid,,,,
CAHI,Calotis hispidula,Asteraceae,Calotis hispidula,,,.,
CAHI,Caladenia hiemalis,Orchidaceae,spider orchid,,,,
CALA,Calandrinia sp.,Portulaceae,,,,,
CALO,Maybe… Brachyscome perpusilla,Asteraceae,appears to be some sort of calotis,,in plot 18,,
CAMU,Calotis multicaulis,Asteraceae,fuzzy calotis,,,,
CARO,Caladenia roei,Orchidaceae,ant orchid,,,,
CEOB,Ceratogyne obionoides,Asteraceae,weird goodenia,,"in plot 18,12",,
CHPS,Chthonocephalus pseudevax,Asteraceae,"small, flat circle of leaves with flower in center",,,,
CRAS,Crassula sp,Crassulaceae,Crass/Crassula,,,.,
DAGL,Daucus glochidiatus,Apiaceae,Daucus,,,.,
DISP,Diuris sp.,Orchidaceae,donkey orchids,,,,
DRGL,Drosera glanduligera,Droseraceae,drosera with small orange flower,,,,
ECPL,Echium plantagineum,Boraginaceae,P Curse,Patteson Curse,,.,
EHLO,Ehrharta longiflora,Poaceae,LG Grass,huge grass,,,
ELYM,Elymus sp. (scabra??),Poaceae,Auricle grass,Au Gr,,STEM,
EMAU,Emex australis,Polygonaceae,Large bur,,,.,
EROD,Erodium sp.,Geraniaceae,EROD,Erodium,,POD,
FISH,,Poaceae,fishbone grass,,,,
G1PO,,Poaceae,G1,,,,
GITE,Gilberta tenuifolia,Asteraceae,Rhodanthe-like,,,.,
GOBE,Goodenia berardiana,Goodeniaceae,GOBE,GOOD,Goodenia,POD,
GOSP,Gonocarpus sp.,Haloragaceae,,,in plot 18,,
GONO,Gonocarpus nodulosus,Haloragaceae,opposite leaves with mini spines on edge,,,,
GOPU,Goodenia pusilliflora,Goodeniaceae,GOsm,Goodenia small,,STEM,Need to double check the stem/pod level in spreadsheet
HAOD,Haloragis odontocarpa,Haloragaceae,Halo,red stem dentate,,STEM,
HYGL,Hyalosperma glutinosum,Asteraceae,HYGL,,,HEAD/FLOWER,
HYPI,Hydrocotyle pilifera,Araliaceae,*maybe picture drawn,,,.,
HYPO,Hypochaeris glabra,Asteraceae,Hypochaeris,Hypo,,HEAD/FLOWER,
LAAU,Lamarckia aurea,Poaceae,toothbrush grass,,,,
LADA,Lawrencella davenportii,Asteraceae,Maia focal,thin leaves on stem,,,
LARO,Lawrencella rosea,Asteraceae,Lawrencella,basal leaves,,HEAD/FLOWER,
MACA,Maireana carnosa,Chenopodiaceae,fuzzy seed,white/green whorled,,,
MECR,Mesembryanthemum crystallinum,Aizoaceae,ice plant,,,,
MEDI,Medicago sp.,Fabaceae,Med,,,POD,
MOMO,Monoculus monstrosus,Asteraceae,MOMO,,,.,
MYGU,Myriocephalus guerinae,Asteraceae,yellow head of flower w/o ray flowers,,,,
NIRO,Nicotiana rotundifolia,Solanaceae,Nictonia,,,.,
OMCO,Omphalolappula concava,Boraginaceae,Lappula sp,Stickseed,,.,
PEAI,Pentameris airoides,Poaceae,PEAI,PENT,,STEM,
PEDU,Petrorhagia dubia,Carophyllaceae,PEDU,Peterohagia,,POD,
PHSP,Pheladenia sp.,Orchidaceae,blue fairy orchids,,,,
PLDE,Plantago debilis,Plantaginaceae,PLDE,PLAN,,STEM,
POCA,Podolepis canescens,Asteraceae,POCA,,,HEAD/FLOWER,
POGN,Podosperma gnaphalodes,Asteraceae,,,,,
POLE,Podolepis lessonii,Asteraceae,POLE,,,HEAD/FLOWER,
POMU,Pogonolepis muelleriana,Asteraceae,Christmas wreath,,,,
PRSP,Prasophyllum sp.,Orchidaceae,leek orchids,,,,
PTBR,Pterostylis brunneola,Orchidaceae,snail orchid,,,,
PTGA,Ptilotus gaudichaudii ssp. parviflorus,Amaranthaceae,Ptilo,Green spine tip,,.,
PTGA,Ptilotus gaudichaudii ssp.gaudichaudii,Amaranthaceae,Ptilo,yellow ptilo,,,
PTNO,Ptilotus nobilis,Amaranthaceae,mulla muula,,,,
RHCL,Rhodante chlorocephala,Asteraceae,,,,,
RHPY,Rhodante pygmeae,Asteraceae,unknown fuzzy seed,,,,
SCCA,Sceovola canescens,Goodeniaceae,shrub,,,,
SCER,Sclerolaena eriacantha,Chenopodiaceae,fuzzy spine seed,bull head seed,,,
SEGL,Senecio glossanthus,Asteraceae,Senecio,*maybe picture drawn,,HEAD/FLOWER,
SHCA,Shoenia cassiniana,Asteraceae,Shoenia,SHCA,,HEAD/FLOWER,
SOOL,Sonchus oleraceus,Asteraceae,Lettuce-like,,,HEAD/FLOWER,
SPAR,Spergula arvensis,Carophyllaceae,whorled leaves,,,,
STPA,Austrostipa sp.,Poaceae,STPA,Stipa,,STEM,
THSP,Thysanotus sp.,Asparagaceae,"purple fringe lily, vine",,,,
TRCY,Trachymene cyanopetala,Araliaceae,TRCY,,,.,
TROR,Trachymene ornata,Araliaceae,TROR,,,.,
UKAS,,Asteraceae,unknown aster,yellow aster,,,
UKS1,,,UKSP1,LONG POD WITH 5 BRACTS ON TOP,,,
UKS2,,,UKSP2,circle pod on top of culm,,,
UNGR1,most likely Schoenus nanus,Poaceae,rush-like grass,,in plot 18,,
UNGR2,,Poaceae,"large grass with hairy ligule, broad leaf blades",,in plot 18,,
VECY,Velleia cycnopotamica,Goodeniaceae,VECY,,,STEM,Need to double check the stem/pod level in spreadsheet
VERO,Velleia rosea,Goodeniaceae,VERO,,,STEM,Need to double check the stem/pod level in spreadsheet
WAAC,Waitzia accuminata,Asteraceae,Waitzia,,,HEAD/FLOWER,
WANI,Waitzia nitida,Asteraceae,Waac with yellow pappus seeds,,,,
WEBR,Stenopetalum filifolium,Brassicaceae,weird brassica,,,,
ZADI,Zaluzianskya divaricata,Scrophulariaceae,ZADI,Thistle-like,,.,
