project,species,traits
FACL1,W.acuminata,plant_height
FACL1,W.acuminata,biomass
FACL1,W.acuminata,flower_number
LITT1,A.calendula,seed_mass
LITT1,A.uliginosum,seed_mass
LITT1,B.drummondii,seed_mass
LITT1,B.iberidifola,seed_mass
LITT1,B.tournefortii,seed_mass
LITT1,Borya,seed_mass
LITT1,Bromus.sp,seed_mass
LITT1,C.colorata,seed_mass
LITT1,C.eremea,seed_mass
LITT1,C.flava,seed_mass
LITT1,C.obionoides,seed_mass
LITT1,Dampiera,seed_mass
LITT1,Dichopogon,seed_mass
LITT1,Erodium.sp,seed_mass
LITT1,E.longiflora,seed_mass
LITT1,G.nodulosus,seed_mass
LITT1,G.tenuissima,seed_mass
LITT1,Green.orchid,seed_mass
LITT1,H.glabra,seed_mass
LITT1,H.pilifera,seed_mass
LITT1,L.arvensis,seed_mass
LITT1,Lily,seed_mass
LITT1,M.crystallinum,seed_mass
LITT1,M.monstrosus,seed_mass
LITT1,Millotia.myositidifolia,seed_mass
LITT1,N.rotundifolia,seed_mass
LITT1,NA,seed_mass
LITT1,P.airoides,seed_mass
LITT1,P.canescens,seed_mass
LITT1,P.gnaphaloides,seed_mass
LITT1,P.lessonni,seed_mass
LITT1,Perr.grass,seed_mass
LITT1,Ptilotus.sp,seed_mass
LITT1,R.laevis,seed_mass
LITT1,R.pygmaea,seed_mass
LITT1,T.cyanopetala,seed_mass
LITT1,T.isingiana,seed_mass
LITT1,T.ornata,seed_mass
LITT1,Thysanotus.sp,seed_mass
LITT1,U.anthemoides,seed_mass
LITT1,V.myuros,seed_mass
LITT1,W.acuminata,seed_mass
LITT1,Wallaby.grass,seed_mass
LITT1,Z.divaricata,seed_mass
LITT1,B.tournefortii,biomass
LITT1,P.lessonii,biomass
LITT1,U.anthemoides,biomass
LITT1,W.acuminata,biomass
LITT1,E.botrys,biomass
LITT1,H.glabra,biomass
LITT1,P.gnaphaloides,biomass
LITT1,T.cyanopetala,biomass
LITT1,Millotia.sp,biomass
LITT1,P.canescens,biomass
LITT1,A.calendula,biomass
LITT1,T.insingiana,biomass
LITT1,M.crystallinum,biomass
LITT1,P.angustifolia,biomass
LITT1,P.latifolia,biomass
LITT1,L.arvensis,biomass
LITT1,H.pilifera,biomass
LITT1,W.capensis,biomass
LITT1,B.iberidifolia,biomass
LITT1,Z.divaricata,biomass
LITT1,A.tomentosus,biomass
LITT1,G.tenuissima,biomass
LITT1,R.laevis,biomass
LITT1,B.drummondii,biomass
LITT1,M.monstrosus,biomass
LITT1,H.demissum,biomass
LITT1,V.cycnopotamica,biomass
LITT1,V.myuros,biomass
LITT1,C.obionoides,biomass
LITT1,L.gibbosa,biomass
LITT1,R.polyphylla,biomass
LITT1,E.longiflora,biomass
LITT1,Grasses,biomass
LITT1,P.airoides,biomass
LITT1,W.gracilenta,biomass
LITT1,B.perpusilla,biomass
LITT1,G.nodulosus,biomass
SHAD1,H.glutinosum,height
SHAD1,P.airoides,height
SHAD1,V.rosea,height
SHAD1,M.minima,height
SHAD1,P.canescens,height
SHAD1,T.cyanopetala,height
SHAD1,A.calendula,height
SHAD1,H.glabra,height
SHAD1,H.glutinosum,flower_number
SHAD1,P.airoides,flower_number
SHAD1,V.rosea,flower_number
SHAD1,M.minima,flower_number
SHAD1,P.canescens,flower_number
SHAD1,T.cyanopetala,flower_number
SHAD1,A.calendula,flower_number
SHAD1,H.glabra,flower_number
SHAD1,H.glutinosum,seed_number
SHAD1,P.airoides,seed_number
SHAD1,V.rosea,seed_number
SHAD1,M.minima,seed_number
SHAD1,P.canescens,seed_number
SHAD1,T.cyanopetala,seed_number
SHAD1,A.calendula,seed_number
SHAD1,H.glabra,seed_number
SHAD1,H.glutinosum,height
SHAD1,A.calendula,height
SHAD1,P.airoides,height
SHAD1,V.rosea,height
SHAD1,H.glutinosum,canopy.arch
SHAD1,A.calendula,canopy.arch
SHAD1,P.airoides,canopy.arch
SHAD1,V.rosea,canopy.arch
SHAD1,H.glutinosum,longest_leaf
SHAD1,A.calendula,longest_leaf
SHAD1,P.airoides,longest_leaf
SHAD1,V.rosea,longest_leaf
SHAD1,H.glutinosum,flower_number
SHAD1,A.calendula,flower_number
SHAD1,P.airoides,flower_number
SHAD1,V.rosea,flower_number
SHAD1,H.glutinosum,mean_seed_number_per_flower
SHAD1,A.calendula,mean_seed_number_per_flower
SHAD1,P.airoides,mean_seed_number_per_flower
SHAD1,V.rosea,mean_seed_number_per_flower
WATR1,A.calendula,above_biomass
WATR1,H.glabra,above_biomass
WATR1,W.acuminata,above_biomass
WATR1,T.cyanopetala,above_biomass
WATR1,A.calendula,below_biomass
WATR1,H.glabra,below_biomass
WATR1,W.acuminata,below_biomass
WATR1,T.cyanopetala,below_biomass
WATR1,A.calendula,flower_number
WATR1,H.glabra,flower_number
WATR1,W.acuminata,flower_number
WATR1,T.cyanopetala,flower_number
WATR1,A.calendula,seed_number
WATR1,H.glabra,seed_number
WATR1,T.cyanopetala,seed_number
WATR1,W.acuminata,seed_number
